hostname,modulename,modulepath
215SQONS,rdbss.sys,C:\Windows\System32\drivers\
215SQONS,udfs.sys,C:\Windows\System32\drivers\
215SQONS,ETD.sys,C:\Windows\System32\drivers\
215SQONS,igdkmd64.sys,C:\Windows\System32\DriverStore\FileRepository\igdlh64.inf_amd64_12cbd645391cbdcb\
215SQONS,uefi.sys,C:\Windows\System32\drivers\
215SQONS,msgpioclx.sys,C:\Windows\System32\drivers\
215SQONS,NetAdapterCx.sys,C:\Windows\System32\drivers\
215SQONS,TsUsbFlt.sys,C:\Windows\System32\drivers\
215SQONS,RtsUer.sys,C:\Windows\System32\drivers\
215SQONS,WdNisDrv.sys,C:\Windows\System32\drivers\wd\
215SQONS,WpdUpFltr.sys,C:\Windows\System32\drivers\
215SQONS,amdk8.sys,C:\Windows\System32\drivers\
215SQONS,arcsas.sys,C:\Windows\System32\drivers\
215SQONS,usbohci.sys,C:\Windows\System32\drivers\
215SQONS,mvumis.sys,C:\Windows\System32\drivers\
215SQONS,mslldp.sys,C:\Windows\System32\drivers\
215SQONS,monitor.sys,C:\Windows\System32\drivers\
215SQONS,USBHUB3.SYS,C:\Windows\System32\drivers\
215SQONS,intelpep.sys,C:\Windows\System32\drivers\
215SQONS,srvnet.sys,C:\Windows\System32\drivers\
215SQONS,sbp2port.sys,C:\Windows\System32\drivers\
215SQONS,filetrace.sys,C:\Windows\System32\drivers\
215SQONS,vmgid.sys,C:\Windows\System32\drivers\
215SQONS,mrxdav.sys,C:\Windows\System32\drivers\
215SQONS,UcmUcsi.sys,C:\Windows\System32\drivers\
215SQONS,volmgrx.sys,C:\Windows\System32\drivers\
215SQONS,ItSas35i.sys,C:\Windows\System32\drivers\
215SQONS,vmgencounter.sys,C:\Windows\System32\drivers\
215SQONS,acpipagr.sys,C:\Windows\System32\drivers\
215SQONS,stornvme.sys,C:\Windows\System32\drivers\
215SQONS,iai2c.sys,C:\Windows\System32\drivers\
215SQONS,UcmCx.sys,C:\Windows\System32\drivers\
215SQONS,cdfs.sys,C:\Windows\System32\drivers\
215SQONS,Netwtw04.sys,C:\Windows\System32\drivers\
