hostname,modulename,modulepath
738QRINB,ACPI.sys,C:\Windows\system32\drivers\
738QRINB,disk.sys,C:\Windows\system32\drivers\
738QRINB,monitor.sys,C:\Windows\system32\DRIVERS\
738QRINB,NDProxy.SYS,C:\Windows\System32\Drivers\
738QRINB,intelppm.sys,C:\Windows\system32\DRIVERS\
738QRINB,cdfs.sys,C:\Windows\system32\DRIVERS\
738QRINB,mup.sys,C:\Windows\System32\Drivers\
738QRINB,pacer.sys,C:\Windows\system32\DRIVERS\
738QRINB,mouclass.sys,C:\Windows\system32\DRIVERS\
738QRINB,fltmgr.sys,C:\Windows\system32\drivers\
738QRINB,tcpip.sys,C:\Windows\System32\drivers\
738QRINB,PSHED.dll,C:\Windows\system32\
738QRINB,TDI.SYS,C:\Windows\system32\DRIVERS\
738QRINB,fwpkclnt.sys,C:\Windows\System32\drivers\
738QRINB,ksecpkg.sys,C:\Windows\System32\Drivers\
738QRINB,mountmgr.sys,C:\Windows\System32\drivers\
738QRINB,fvevol.sys,C:\Windows\System32\DRIVERS\
738QRINB,dump_pciidex.sys,C:\Windows\System32\Drivers\
738QRINB,discache.sys,C:\Windows\System32\drivers\
738QRINB,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
738QRINB,HTTP.sys,C:\Windows\system32\drivers\
738QRINB,peauth.sys,C:\Windows\system32\drivers\
738QRINB,cng.sys,C:\Windows\System32\Drivers\
738QRINB,csc.sys,C:\Windows\system32\drivers\
738QRINB,spsys.sys,C:\Windows\system32\drivers\
738QRINB,VBoxSF.sys,C:\Windows\System32\drivers\
738QRINB,cdrom.sys,C:\Windows\system32\DRIVERS\
738QRINB,HIDPARSE.SYS,C:\Windows\system32\DRIVERS\
738QRINB,nsiproxy.sys,C:\Windows\system32\drivers\
738QRINB,volmgrx.sys,C:\Windows\System32\drivers\
738QRINB,AgileVpn.sys,C:\Windows\system32\DRIVERS\
738QRINB,rdyboost.sys,C:\Windows\System32\drivers\
738QRINB,kbdclass.sys,C:\Windows\system32\DRIVERS\
738QRINB,umbus.sys,C:\Windows\system32\DRIVERS\
738QRINB,CLASSPNP.SYS,C:\Windows\system32\drivers\
738QRINB,i8042prt.sys,C:\Windows\system32\DRIVERS\
738QRINB,partmgr.sys,C:\Windows\System32\drivers\
738QRINB,srv.sys,C:\Windows\System32\DRIVERS\
738QRINB,Msfs.SYS,C:\Windows\System32\Drivers\
738QRINB,afd.sys,C:\Windows\system32\drivers\
738QRINB,srvnet.sys,C:\Windows\System32\DRIVERS\
738QRINB,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
738QRINB,termdd.sys,C:\Windows\system32\DRIVERS\
738QRINB,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
738QRINB,luafv.sys,C:\Windows\system32\drivers\
738QRINB,CompositeBus.sys,C:\Windows\system32\DRIVERS\
738QRINB,mrxsmb.sys,C:\Windows\system32\DRIVERS\
738QRINB,Npfs.SYS,C:\Windows\System32\Drivers\
738QRINB,USBD.SYS,C:\Windows\system32\DRIVERS\
738QRINB,crashdmp.sys,C:\Windows\System32\Drivers\
738QRINB,ntoskrnl.exe,C:\Windows\system32\
738QRINB,volmgr.sys,C:\Windows\system32\drivers\
738QRINB,lltdio.sys,C:\Windows\system32\DRIVERS\
738QRINB,kdcom.dll,C:\Windows\system32\
738QRINB,dump_dumpfve.sys,C:\Windows\System32\Drivers\
738QRINB,ataport.SYS,C:\Windows\system32\drivers\
738QRINB,raspptp.sys,C:\Windows\system32\DRIVERS\
738QRINB,win32k.sys,C:\Windows\System32\
738QRINB,tunnel.sys,C:\Windows\system32\DRIVERS\
738QRINB,E1G6032E.sys,C:\Windows\system32\DRIVERS\
738QRINB,usbohci.sys,C:\Windows\system32\DRIVERS\
738QRINB,srv2.sys,C:\Windows\System32\DRIVERS\
738QRINB,ndistapi.sys,C:\Windows\system32\DRIVERS\
738QRINB,Fs_Rec.sys,C:\Windows\System32\Drivers\
738QRINB,msisadrv.sys,C:\Windows\system32\drivers\
738QRINB,vga.sys,C:\Windows\System32\drivers\
738QRINB,rspndr.sys,C:\Windows\system32\DRIVERS\
738QRINB,Beep.SYS,C:\Windows\System32\Drivers\
738QRINB,msrpc.sys,C:\Windows\System32\Drivers\
738QRINB,ksthunk.sys,C:\Windows\system32\drivers\
738QRINB,VIDEOPRT.SYS,C:\Windows\System32\drivers\
738QRINB,netbios.sys,C:\Windows\system32\DRIVERS\
738QRINB,hidusb.sys,C:\Windows\system32\DRIVERS\
738QRINB,mssmbios.sys,C:\Windows\system32\DRIVERS\
738QRINB,hwpolicy.sys,C:\Windows\System32\drivers\
738QRINB,CI.dll,C:\Windows\system32\
738QRINB,compbatt.sys,C:\Windows\system32\DRIVERS\
738QRINB,mpsdrv.sys,C:\Windows\System32\drivers\
738QRINB,fileinfo.sys,C:\Windows\system32\drivers\
