hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
215SQONS,2432,C:\Windows\System32\en-US\svchost.exe.mui,3081a3125d59559f8212ddbfb0e3683b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2392,C:\Windows\System32\wship6.dll,c91b4d619e8bff910bdca5bb7f146139,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,5556,C:\Windows\System32\sspicli.dll,f1025c7cbc115896197750cc4edd57cc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,748,C:\Windows\System32\p2psvc.dll,14b255550195b82d3b7210c2fd0b185a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2116,C:\Windows\System32\cryptbase.dll,39a06d1122c38bbb71fe1479d0a265cf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,4424,C:\Windows\System32\msasn1.dll,cf04eaefd11372e7e5366d3d216c7efb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2116,C:\Windows\System32\KernelBase.dll,b07e450d1f9cb1d7b58edc143d09f2fe,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,200,C:\Windows\System32\advapi32.dll,4d3e058f71acf9c03446e013947010de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,4452,C:\Windows\System32\pcwum.dll,b578e64c22fd9e90147c0d8d749f08a5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,5876,C:\Windows\System32\esent.dll,56374589d923136193321de3dd9390de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,1608,C:\Windows\System32\sechost.dll,ea8b42373346a72e66772c78d48fb677,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2420,C:\Windows\System32\credssp.dll,788e0cbff75fd33d5f56de526e8873a3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,200,C:\Windows\System32\nsi.dll,1a0fb467a4abefa2d2c1d497ea2464d8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,5716,C:\Windows\System32\ncrypt.dll,a3d3c733073857713697c8709eb4769f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,5236,C:\Windows\System32\shlwapi.dll,4c6c8d5837e8da3b6124aee7343e01a5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,1072,C:\Windows\System32\rsaenh.dll,7a9c31a41f3edf438fe40359f86f6195,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,3216,C:\Windows\System32\shell32.dll,702cdab9905190ea7309a646a918efa7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,4196,C:\Windows\System32\esent.dll,56374589d923136193321de3dd9390de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,5036,C:\Windows\System32\xmllite.dll,726d88165ec8eb3e2c9e6e83b3dd94b3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,5800,C:\Windows\System32\KernelBase.dll,b07e450d1f9cb1d7b58edc143d09f2fe,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,1072,C:\Windows\System32\schannel.dll,1cbdb30f6225bd5716519ba2276c5542,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,244,C:\Windows\System32\ssdpapi.dll,54def9f5ad20195736f4718a9112ba5d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2392,C:\Windows\System32\locale.nls,23d569dc407623649236281d23a23c08,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,3528,C:\Windows\System32\imm32.dll,e6074d44afe4046423ee899d4cab13f8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,244,C:\Windows\System32\ncrypt.dll,a3d3c733073857713697c8709eb4769f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,4840,C:\Windows\System32\dhcpcsvc6.dll,68e94f92c469193aa6e4b99c0e59112c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,3904,C:\Windows\System32\nsi.dll,1a0fb467a4abefa2d2c1d497ea2464d8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,244,C:\Windows\System32\ntdll.dll,e85d2e1bc14b0f85a407eeb897db3308,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2420,C:\Windows\System32\gdi32.dll,c150ce8165279af095f31f1b069bbbf2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,6156,C:\Windows\System32\user32.dll,fb595255927b7bb336362fe7a9f5424a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2116,C:\Windows\System32\gdi32.dll,c150ce8165279af095f31f1b069bbbf2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,1072,C:\Windows\System32\rasadhlp.dll,b71a74309d7c40e51dd578ec872eb40c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,2004,C:\Windows\System32\gdi32.dll,c150ce8165279af095f31f1b069bbbf2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,5876,C:\Windows\System32\en-US\KernelBase.dll.mui,7fd752534ec43ed6fcf6fe0c385286aa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,1592,C:\Windows\System32\ole32.dll,ed2c6cee685ee9d859e431b01b75ba4b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
215SQONS,3528,C:\Windows\System32\bcrypt.dll,977eb7d98df1b267d69549e0ef6dc023,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
