hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
803AJJEL,892,C:\Windows\System32\svchost.exe,e297bd5c80a880d4538812a484404180,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,1464,C:\Windows\System32\psapi.dll,6c666e8143c5e91c19e77582d509c5c3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,1108,C:\Windows\System32\sqmapi.dll,d298ef0e2f1c2d5ff2bce4d90e241881,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,4836,C:\Windows\System32\oleaccrc.dll,a5d7086a29101fa0b014e8e8b6ff4552,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,4144,C:\Windows\System32\ole32.dll,6c2b88f7b1d19382d129d4e7440ea0bd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,1464,C:\Windows\System32\RpcRtRemote.dll,8fb18bb79e191bbd90a90e47e1ed123a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,1932,C:\Windows\System32\KernelBase.dll,01d50baeb314943cc5968919284a9328,true,true,The file is signed and the signature was verified.,Microsoft Windows,
803AJJEL,1464,C:\Windows\System32\msctf.dll,f2717a1a4428f2defe75d46e3e882837,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,6216,C:\Windows\System32\cryptsp.dll,217c6af3957ddb93686faf9be3fef067,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
803AJJEL,4836,C:\Windows\System32\en-US\SyncCenter.dll.mui,79b5f84e7dc91cad71edb7cc35d0df17,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
