hostname,name,arguments,username,path,pid
501UZWNC,smss.exe,\SystemRoot\System32\smss.exe,NT AUTHORITY\SYSTEM,\SystemRoot\System32,3260
501UZWNC,svchost.exe,C:\Windows\System32\svchost.exe -k secsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,1468
501UZWNC,ruby.exe,"""C:\Ruby24-x64\bin\ruby.exe"" ",gavimorri73,C:\Ruby24-x64\bin,6047
501UZWNC,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",logbrooks,C:\Program Files\TightVNC,4343
501UZWNC,SearchIndexer.exe,C:\Windows\system32\SearchIndexer.exe /Embedding,NT AUTHORITY\SYSTEM,C:\Windows\system32,1556
501UZWNC,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,5816
501UZWNC,cmd.exe,"C:\WINDOWS\system32\cmd.exe /c """"C:\Ruby24-x64\bin\irb.cmd"" """,gavimorri73,C:\WINDOWS\system32,1968
501UZWNC,KeePassXC.exe,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",gavimorri73,C:\Program Files\KeePassXC,1231
501UZWNC,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\system32,6256
501UZWNC,taskhost.exe,"""taskhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,5256
501UZWNC,mbam.exe,"""C:\Program Files\Malwarebytes\Anti-Malware\mbam.exe""",patpowe,C:\Program Files\Malwarebytes\Anti-Malware,4329
501UZWNC,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,312
501UZWNC,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5688
501UZWNC,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",patpowe,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,3642
501UZWNC,chrome.exe,"""C:\Program Files (x86)\Google\Chrome\Application\chrome.exe"" --type=renderer --field-trial-handle=1556 1270622256617353588 15561965010207222735 131072 --service-pipe-token=1352282089870284743 --lang=en-US --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --device-scale-factor=1 --num-raster-threads=3 --enable-main-frame-before-activation --service-request-channel-token=1352282089870284743 --renderer-client-id=45 --mojo-platform-channel-handle=7884 /prefetch:1",patpowe,C:\Program Files (x86)\Google\Chrome\Application,3734
501UZWNC,armsvc.exe,"""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""",patpowe,C:\Program Files (x86)\Common Files\Adobe\ARM\1.0,6494
