hostname,modulename,modulepath
NT579BHT,iaLPSS2i_I2C.sys,C:\Windows\System32\drivers\
NT579BHT,mlx4_bus.sys,C:\Windows\System32\drivers\
NT579BHT,hidi2c.sys,C:\Windows\System32\drivers\
NT579BHT,filetrace.sys,C:\Windows\System32\drivers\
NT579BHT,usbohci.sys,C:\Windows\System32\drivers\
NT579BHT,hdaudbus.sys,C:\Windows\System32\drivers\
NT579BHT,usbser.sys,C:\Windows\System32\drivers\
NT579BHT,lsi_sas2i.sys,C:\Windows\System32\drivers\
NT579BHT,arcsas.sys,C:\Windows\System32\drivers\
NT579BHT,MTConfig.sys,C:\Windows\System32\drivers\
NT579BHT,mouclass.sys,C:\Windows\System32\drivers\
NT579BHT,WpdUpFltr.sys,C:\Windows\System32\drivers\
NT579BHT,ipnat.sys,C:\Windows\System32\drivers\
NT579BHT,vmswitch.sys,C:\Windows\System32\drivers\
NT579BHT,tdx.sys,C:\Windows\System32\drivers\
NT579BHT,scmbus.sys,C:\Windows\System32\drivers\
NT579BHT,tunnel.sys,C:\Windows\System32\drivers\
NT579BHT,uefi.sys,C:\Windows\System32\drivers\
NT579BHT,amdk8.sys,C:\Windows\System32\drivers\
NT579BHT,ufx01000.sys,C:\Windows\System32\drivers\
NT579BHT,SPUVCbv64.sys,C:\Windows\System32\drivers\
NT579BHT,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
NT579BHT,WdFilter.sys,C:\Windows\System32\drivers\wd\
NT579BHT,VMBusHID.sys,C:\Windows\System32\drivers\
NT579BHT,appid.sys,C:\Windows\System32\drivers\
NT579BHT,winmad.sys,C:\Windows\System32\drivers\
NT579BHT,hidinterrupt.sys,C:\Windows\System32\drivers\
NT579BHT,EhStorClass.sys,C:\Windows\System32\drivers\
NT579BHT,urscx01000.sys,C:\Windows\System32\drivers\
NT579BHT,svchost.exe,C:\Windows\System32\
NT579BHT,volume.sys,C:\Windows\System32\drivers\
NT579BHT,AcpiDev.sys,C:\Windows\System32\drivers\
NT579BHT,ipfltdrv.sys,C:\Windows\System32\drivers\
NT579BHT,bindflt.sys,C:\Windows\System32\drivers\
NT579BHT,iorate.sys,C:\Windows\System32\drivers\
NT579BHT,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_bcb89b3386563bd7\
NT579BHT,tcpip.sys,C:\Windows\System32\drivers\
NT579BHT,ndiswan.sys,C:\Windows\System32\drivers\
NT579BHT,irda.sys,C:\Windows\System32\drivers\
NT579BHT,sisraid4.sys,C:\Windows\System32\drivers\
NT579BHT,pdc.sys,C:\Windows\System32\drivers\
NT579BHT,iaLPSS2i_I2C_BXT_P.sys,C:\Windows\System32\drivers\
NT579BHT,NdisImPlatform.sys,C:\Windows\System32\drivers\
NT579BHT,Udecx.sys,C:\Windows\System32\drivers\
NT579BHT,WUDFPf.sys,C:\Windows\System32\drivers\
NT579BHT,VmsProxyHNic.sys,C:\Windows\System32\drivers\
NT579BHT,USBHUB3.SYS,C:\Windows\System32\drivers\
NT579BHT,vmstorfl.sys,C:\Windows\System32\drivers\
NT579BHT,ws2ifsl.sys,C:\Windows\System32\drivers\
NT579BHT,pci.sys,C:\Windows\System32\drivers\
NT579BHT,nvraid.sys,C:\Windows\System32\drivers\
NT579BHT,swenum.sys,C:\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_ea7b19c04e7a8136\
NT579BHT,mslldp.sys,C:\Windows\System32\drivers\
NT579BHT,netvsc.sys,C:\Windows\System32\drivers\
NT579BHT,HpSAMD.sys,C:\Windows\System32\drivers\
NT579BHT,dptf_cpu.sys,C:\Windows\System32\drivers\
NT579BHT,sfloppy.sys,C:\Windows\System32\drivers\
NT579BHT,rasacd.sys,C:\Windows\System32\drivers\
NT579BHT,bthmodem.sys,C:\Windows\System32\drivers\
NT579BHT,pcw.sys,C:\Windows\System32\drivers\
NT579BHT,parport.sys,C:\Windows\System32\drivers\
NT579BHT,TsUsbFlt.sys,C:\Windows\System32\drivers\
NT579BHT,mrxsmb10.sys,C:\Windows\System32\drivers\
NT579BHT,dam.sys,C:\Windows\System32\drivers\
NT579BHT,megasas35i.sys,C:\Windows\System32\drivers\
NT579BHT,wimmount.sys,C:\Windows\System32\drivers\
NT579BHT,dxgkrnl.sys,C:\Windows\System32\drivers\
NT579BHT,ramdisk.sys,C:\Windows\System32\drivers\
NT579BHT,qwavedrv.sys,C:\Windows\System32\drivers\
NT579BHT,ibbus.sys,C:\Windows\System32\drivers\
NT579BHT,dmvsc.sys,C:\Windows\System32\drivers\
NT579BHT,SpbCx.sys,C:\Windows\System32\drivers\
NT579BHT,cng.sys,C:\Windows\System32\drivers\
NT579BHT,bcmfn2.sys,C:\Windows\System32\drivers\
NT579BHT,pmem.sys,C:\Windows\System32\drivers\
NT579BHT,mrxsmb20.sys,C:\Windows\System32\drivers\
NT579BHT,WUDFRd.sys,C:\Windows\System32\drivers\
NT579BHT,condrv.sys,C:\Windows\System32\drivers\
NT579BHT,ndistapi.sys,C:\Windows\System32\drivers\
NT579BHT,umbus.sys,C:\Windows\System32\drivers\
NT579BHT,mmcss.sys,C:\Windows\System32\drivers\
NT579BHT,rdpdr.sys,C:\Windows\System32\drivers\
NT579BHT,megasr.sys,C:\Windows\System32\drivers\
NT579BHT,percsas3i.sys,C:\Windows\System32\drivers\
NT579BHT,i8042prt.sys,C:\Windows\System32\drivers\
NT579BHT,bridge.sys,C:\Windows\System32\drivers\
NT579BHT,usbuhci.sys,C:\Windows\System32\drivers\
NT579BHT,hidbth.sys,C:\Windows\System32\drivers\
NT579BHT,isapnp.sys,C:\Windows\System32\drivers\
NT579BHT,msisadrv.sys,C:\Windows\System32\drivers\
NT579BHT,UfxChipidea.sys,C:\Windows\System32\drivers\
NT579BHT,sbp2port.sys,C:\Windows\System32\drivers\
NT579BHT,EhStorTcgDrv.sys,C:\Windows\System32\drivers\
NT579BHT,nwifi.sys,C:\Windows\System32\drivers\
NT579BHT,pcmcia.sys,C:\Windows\System32\drivers\
NT579BHT,vmgencounter.sys,C:\Windows\System32\drivers\
NT579BHT,wcnfs.sys,C:\Windows\System32\drivers\
NT579BHT,flpydisk.sys,C:\Windows\System32\drivers\
NT579BHT,amdxata.sys,C:\Windows\System32\drivers\
NT579BHT,mshidkmdf.sys,C:\Windows\System32\drivers\
NT579BHT,storufs.sys,C:\Windows\System32\drivers\
NT579BHT,ksecdd.sys,C:\Windows\System32\drivers\
NT579BHT,SgrmAgent.sys,C:\Windows\System32\drivers\
NT579BHT,udfs.sys,C:\Windows\System32\drivers\
NT579BHT,Ndu.sys,C:\Windows\System32\drivers\
NT579BHT,agilevpn.sys,C:\Windows\System32\drivers\
NT579BHT,mausbhost.sys,C:\Windows\System32\drivers\
NT579BHT,WdBoot.sys,C:\Windows\System32\drivers\wd\
NT579BHT,esif_lf.sys,C:\Windows\System32\drivers\
NT579BHT,bthport.sys,C:\Windows\System32\drivers\
NT579BHT,sdbus.sys,C:\Windows\System32\drivers\
NT579BHT,Wdf01000.sys,C:\Windows\System32\drivers\
NT579BHT,WdiWiFi.sys,C:\Windows\System32\drivers\
NT579BHT,mssmbios.sys,C:\Windows\System32\drivers\
NT579BHT,raspptp.sys,C:\Windows\System32\drivers\
NT579BHT,intelide.sys,C:\Windows\System32\drivers\
NT579BHT,fdc.sys,C:\Windows\System32\drivers\
NT579BHT,netbt.sys,C:\Windows\System32\drivers\
NT579BHT,terminpt.sys,C:\Windows\System32\drivers\
NT579BHT,NetAdapterCx.sys,C:\Windows\System32\drivers\
NT579BHT,wmiacpi.sys,C:\Windows\System32\drivers\
NT579BHT,storqosflt.sys,C:\Windows\System32\drivers\
NT579BHT,ETDSMBus.sys,C:\Windows\System32\drivers\
NT579BHT,bxvbda.sys,C:\Windows\System32\drivers\
NT579BHT,lsi_sss.sys,C:\Windows\System32\drivers\
NT579BHT,intelppm.sys,C:\Windows\System32\drivers\
NT579BHT,kdnic.sys,C:\Windows\System32\drivers\
NT579BHT,mountmgr.sys,C:\Windows\System32\drivers\
NT579BHT,intelpep.sys,C:\Windows\System32\drivers\
NT579BHT,modem.sys,C:\Windows\System32\drivers\
NT579BHT,UcmUcsi.sys,C:\Windows\System32\drivers\
NT579BHT,processr.sys,C:\Windows\System32\drivers\
NT579BHT,mspqm.sys,C:\Windows\System32\drivers\
NT579BHT,iaStorV.sys,C:\Windows\System32\drivers\
NT579BHT,mouhid.sys,C:\Windows\System32\drivers\
NT579BHT,genericusbfn.sys,C:\Windows\System32\drivers\
NT579BHT,rhproxy.sys,C:\Windows\System32\drivers\
NT579BHT,rdbss.sys,C:\Windows\System32\drivers\
NT579BHT,srvnet.sys,C:\Windows\System32\drivers\
NT579BHT,volmgrx.sys,C:\Windows\System32\drivers\
NT579BHT,luafv.sys,C:\Windows\System32\drivers\
NT579BHT,nsiproxy.sys,C:\Windows\System32\drivers\
NT579BHT,lsi_sas3i.sys,C:\Windows\System32\drivers\
NT579BHT,http.sys,C:\Windows\System32\drivers\
NT579BHT,fvevol.sys,C:\Windows\System32\drivers\
NT579BHT,iagpio.sys,C:\Windows\System32\drivers\
NT579BHT,vmbus.sys,C:\Windows\System32\drivers\
NT579BHT,rdpbus.sys,C:\Windows\System32\drivers\
NT579BHT,capimg.sys,C:\Windows\System32\drivers\
NT579BHT,VSTXRAID.SYS,C:\Windows\System32\drivers\
NT579BHT,spaceport.sys,C:\Windows\System32\drivers\
NT579BHT,CHDRT64.sys,C:\Windows\System32\drivers\
