hostname,modulename,modulepath
WB723JAK,mountmgr.sys,C:\Windows\System32\drivers\
WB723JAK,PSHED.dll,C:\Windows\system32\
WB723JAK,Wdf01000.sys,C:\Windows\system32\drivers\
WB723JAK,ksecdd.sys,C:\Windows\System32\drivers\
WB723JAK,WMILIB.SYS,C:\Windows\System32\drivers\
WB723JAK,condrv.sys,C:\Windows\System32\drivers\
WB723JAK,terminpt.sys,C:\Windows\System32\drivers\
WB723JAK,CLFS.SYS,C:\Windows\System32\drivers\
WB723JAK,Wof.sys,C:\Windows\System32\Drivers\
WB723JAK,NETIO.SYS,C:\Windows\system32\DRIVERS\
WB723JAK,cdd.dll,C:\Windows\System32\
WB723JAK,ahcache.sys,C:\Windows\system32\DRIVERS\
WB723JAK,msisadrv.sys,C:\Windows\System32\drivers\
WB723JAK,crashdmp.sys,C:\Windows\System32\Drivers\
WB723JAK,disk.sys,C:\Windows\System32\drivers\
WB723JAK,werkernel.sys,C:\Windows\System32\drivers\
WB723JAK,spaceport.sys,C:\Windows\System32\drivers\
WB723JAK,ksecpkg.sys,C:\Windows\System32\Drivers\
WB723JAK,rdpdr.sys,C:\Windows\System32\drivers\
WB723JAK,storqosflt.sys,C:\Windows\system32\drivers\
WB723JAK,pvpanic.sys,C:\Windows\System32\drivers\
WB723JAK,pacer.sys,C:\Windows\System32\drivers\
WB723JAK,serenum.sys,C:\Windows\System32\drivers\
WB723JAK,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
WB723JAK,intelppm.sys,C:\Windows\System32\drivers\
WB723JAK,dump_vioscsi.sys,C:\Windows\System32\Drivers\
WB723JAK,srv.sys,C:\Windows\System32\DRIVERS\
WB723JAK,netbios.sys,C:\Windows\system32\drivers\
WB723JAK,fwpkclnt.sys,C:\Windows\System32\drivers\
WB723JAK,TSDDD.dll,C:\Windows\System32\
WB723JAK,ntoskrnl.exe,C:\Windows\system32\
WB723JAK,rdbss.sys,C:\Windows\system32\DRIVERS\
WB723JAK,ntosext.sys,C:\Windows\System32\drivers\
WB723JAK,volsnap.sys,C:\Windows\System32\drivers\
WB723JAK,storport.sys,C:\Windows\System32\drivers\
WB723JAK,mslldp.sys,C:\Windows\system32\drivers\
WB723JAK,BOOTVID.dll,C:\Windows\system32\
WB723JAK,monitor.sys,C:\Windows\System32\drivers\
WB723JAK,WppRecorder.sys,C:\Windows\System32\Drivers\
WB723JAK,HIDPARSE.SYS,C:\Windows\System32\drivers\
WB723JAK,tm.sys,C:\Windows\System32\drivers\
WB723JAK,bowser.sys,C:\Windows\system32\DRIVERS\
WB723JAK,dump_storport.sys,C:\Windows\System32\Drivers\
WB723JAK,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
WB723JAK,Fs_Rec.sys,C:\Windows\System32\Drivers\
WB723JAK,hal.dll,C:\Windows\system32\
WB723JAK,intelpep.sys,C:\Windows\System32\drivers\
WB723JAK,NTFS.sys,C:\Windows\System32\Drivers\
WB723JAK,RDPUDD.dll,C:\Windows\System32\
WB723JAK,wcifs.sys,C:\Windows\system32\drivers\
WB723JAK,WdFilter.sys,C:\Windows\system32\drivers\
WB723JAK,wfplwfs.sys,C:\Windows\System32\drivers\
WB723JAK,dfsc.sys,C:\Windows\System32\Drivers\
WB723JAK,afd.sys,C:\Windows\system32\drivers\
WB723JAK,lltdio.sys,C:\Windows\system32\drivers\
WB723JAK,FLTMGR.SYS,C:\Windows\System32\drivers\
WB723JAK,win32kbase.sys,C:\Windows\System32\
WB723JAK,acpiex.sys,C:\Windows\System32\Drivers\
WB723JAK,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WB723JAK,tcpipreg.sys,C:\Windows\System32\drivers\
WB723JAK,msrpc.sys,C:\Windows\System32\drivers\
WB723JAK,pci.sys,C:\Windows\System32\drivers\
WB723JAK,netkvm.sys,C:\Windows\System32\drivers\
