hostname,modulename,modulepath
WN905XDW,vga.sys,C:\Windows\System32\drivers\
WN905XDW,umbus.sys,C:\Windows\system32\DRIVERS\
WN905XDW,rdpbus.sys,C:\Windows\system32\DRIVERS\
WN905XDW,vmstorfl.sys,C:\Windows\system32\drivers\
WN905XDW,msrpc.sys,C:\Windows\System32\Drivers\
WN905XDW,rdbss.sys,C:\Windows\system32\DRIVERS\
WN905XDW,swenum.sys,C:\Windows\system32\DRIVERS\
WN905XDW,usbohci.sys,C:\Windows\system32\DRIVERS\
WN905XDW,fwpkclnt.sys,C:\Windows\System32\drivers\
WN905XDW,rassstp.sys,C:\Windows\system32\DRIVERS\
WN905XDW,Null.SYS,C:\Windows\System32\Drivers\
WN905XDW,discache.sys,C:\Windows\System32\drivers\
WN905XDW,ksthunk.sys,C:\Windows\system32\drivers\
WN905XDW,peauth.sys,C:\Windows\system32\drivers\
WN905XDW,CI.dll,C:\Windows\system32\
WN905XDW,portcls.sys,C:\Windows\system32\drivers\
WN905XDW,ACPI.sys,C:\Windows\system32\drivers\
WN905XDW,netbios.sys,C:\Windows\system32\DRIVERS\
WN905XDW,NETIO.SYS,C:\Windows\system32\drivers\
WN905XDW,netbt.sys,C:\Windows\System32\DRIVERS\
WN905XDW,rdprefmp.sys,C:\Windows\system32\drivers\
WN905XDW,cdfs.sys,C:\Windows\system32\DRIVERS\
WN905XDW,i8042prt.sys,C:\Windows\system32\DRIVERS\
WN905XDW,VBoxSF.sys,C:\Windows\System32\drivers\
WN905XDW,mountmgr.sys,C:\Windows\System32\drivers\
WN905XDW,dump_msahci.sys,C:\Windows\System32\Drivers\
WN905XDW,amdxata.sys,C:\Windows\system32\drivers\
WN905XDW,ndis.sys,C:\Windows\system32\drivers\
WN905XDW,blbdrive.sys,C:\Windows\system32\DRIVERS\
WN905XDW,VBoxVideo.sys,C:\Windows\system32\DRIVERS\
WN905XDW,Msfs.SYS,C:\Windows\System32\Drivers\
WN905XDW,cng.sys,C:\Windows\System32\Drivers\
WN905XDW,kbdclass.sys,C:\Windows\system32\DRIVERS\
WN905XDW,volmgrx.sys,C:\Windows\System32\drivers\
WN905XDW,VBoxGuest.sys,C:\Windows\system32\DRIVERS\
WN905XDW,VIDEOPRT.SYS,C:\Windows\System32\drivers\
WN905XDW,csc.sys,C:\Windows\system32\drivers\
WN905XDW,spldr.sys,C:\Windows\System32\Drivers\
WN905XDW,WMILIB.SYS,C:\Windows\system32\drivers\
WN905XDW,termdd.sys,C:\Windows\system32\DRIVERS\
WN905XDW,bowser.sys,C:\Windows\system32\DRIVERS\
WN905XDW,Fs_Rec.sys,C:\Windows\System32\Drivers\
WN905XDW,win32k.sys,C:\Windows\System32\
WN905XDW,HTTP.sys,C:\Windows\system32\drivers\
WN905XDW,msisadrv.sys,C:\Windows\system32\drivers\
WN905XDW,ksecdd.sys,C:\Windows\System32\Drivers\
WN905XDW,disk.sys,C:\Windows\system32\drivers\
WN905XDW,raspppoe.sys,C:\Windows\system32\DRIVERS\
WN905XDW,volmgr.sys,C:\Windows\system32\drivers\
WN905XDW,Beep.SYS,C:\Windows\System32\Drivers\
WN905XDW,srvnet.sys,C:\Windows\System32\DRIVERS\
WN905XDW,hidusb.sys,C:\Windows\system32\DRIVERS\
WN905XDW,tunnel.sys,C:\Windows\system32\DRIVERS\
WN905XDW,compbatt.sys,C:\Windows\system32\DRIVERS\
WN905XDW,mouclass.sys,C:\Windows\system32\DRIVERS\
WN905XDW,ksecpkg.sys,C:\Windows\System32\Drivers\
WN905XDW,TSDDD.dll,C:\Windows\System32\
WN905XDW,wfplwf.sys,C:\Windows\system32\DRIVERS\
WN905XDW,hwpolicy.sys,C:\Windows\System32\drivers\
WN905XDW,raspptp.sys,C:\Windows\system32\DRIVERS\
WN905XDW,watchdog.sys,C:\Windows\System32\drivers\
WN905XDW,NDProxy.SYS,C:\Windows\System32\Drivers\
WN905XDW,spsys.sys,C:\Windows\system32\drivers\
WN905XDW,srv2.sys,C:\Windows\System32\DRIVERS\
WN905XDW,drmk.sys,C:\Windows\system32\drivers\
WN905XDW,RDPCDD.sys,C:\Windows\System32\DRIVERS\
