hostname,modulename,modulepath
WW911YBM,NETIO.SYS,C:\Windows\system32\DRIVERS\
WW911YBM,cmimcext.sys,C:\Windows\System32\drivers\
WW911YBM,intelpep.sys,C:\Windows\System32\drivers\
WW911YBM,spaceport.sys,C:\Windows\System32\drivers\
WW911YBM,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
WW911YBM,dfsc.sys,C:\Windows\System32\Drivers\
WW911YBM,sacdrv.sys,C:\Windows\system32\DRIVERS\
WW911YBM,mouclass.sys,C:\Windows\System32\drivers\
WW911YBM,acpiex.sys,C:\Windows\System32\Drivers\
WW911YBM,werkernel.sys,C:\Windows\System32\drivers\
WW911YBM,NTFS.sys,C:\Windows\System32\Drivers\
WW911YBM,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
WW911YBM,Fs_Rec.sys,C:\Windows\System32\Drivers\
WW911YBM,serial.sys,C:\Windows\System32\drivers\
WW911YBM,Null.SYS,C:\Windows\System32\Drivers\
WW911YBM,RDPUDD.dll,C:\Windows\System32\
WW911YBM,pvpanic.sys,C:\Windows\System32\drivers\
WW911YBM,tunnel.sys,C:\Windows\System32\drivers\
WW911YBM,filecrypt.sys,C:\Windows\system32\drivers\
WW911YBM,volsnap.sys,C:\Windows\System32\drivers\
WW911YBM,mslldp.sys,C:\Windows\system32\drivers\
WW911YBM,registry.sys,C:\Windows\System32\drivers\
WW911YBM,rdpbus.sys,C:\Windows\System32\drivers\
WW911YBM,CLASSPNP.SYS,C:\Windows\System32\drivers\
WW911YBM,WDFLDR.SYS,C:\Windows\system32\drivers\
WW911YBM,pci.sys,C:\Windows\System32\drivers\
WW911YBM,gpuenergydrv.sys,C:\Windows\System32\drivers\
WW911YBM,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
WW911YBM,ksecpkg.sys,C:\Windows\System32\Drivers\
WW911YBM,swenum.sys,C:\Windows\System32\drivers\
WW911YBM,volume.sys,C:\Windows\System32\drivers\
WW911YBM,PSHED.dll,C:\Windows\system32\
WW911YBM,WdFilter.sys,C:\Windows\system32\drivers\
WW911YBM,srv2.sys,C:\Windows\System32\DRIVERS\
WW911YBM,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
WW911YBM,EhStorClass.sys,C:\Windows\System32\drivers\
WW911YBM,rdbss.sys,C:\Windows\system32\DRIVERS\
WW911YBM,ntosext.sys,C:\Windows\System32\drivers\
WW911YBM,Wof.sys,C:\Windows\System32\Drivers\
WW911YBM,rdpdr.sys,C:\Windows\System32\drivers\
WW911YBM,BasicRender.sys,C:\Windows\System32\drivers\
WW911YBM,netbt.sys,C:\Windows\System32\DRIVERS\
WW911YBM,peauth.sys,C:\Windows\system32\drivers\
WW911YBM,Npfs.SYS,C:\Windows\System32\Drivers\
WW911YBM,mssmbios.sys,C:\Windows\System32\drivers\
WW911YBM,pdc.sys,C:\Windows\system32\drivers\
WW911YBM,wcifs.sys,C:\Windows\system32\drivers\
WW911YBM,tbs.sys,C:\Windows\system32\drivers\
WW911YBM,ntoskrnl.exe,C:\Windows\system32\
WW911YBM,tcpipreg.sys,C:\Windows\System32\drivers\
WW911YBM,condrv.sys,C:\Windows\System32\drivers\
WW911YBM,CI.dll,C:\Windows\system32\
WW911YBM,afd.sys,C:\Windows\system32\drivers\
WW911YBM,rspndr.sys,C:\Windows\system32\drivers\
WW911YBM,WMILIB.SYS,C:\Windows\System32\drivers\
WW911YBM,mmcss.sys,C:\Windows\system32\drivers\
WW911YBM,TSDDD.dll,C:\Windows\System32\
WW911YBM,dxgkrnl.sys,C:\Windows\System32\drivers\
WW911YBM,umbus.sys,C:\Windows\System32\drivers\
WW911YBM,monitor.sys,C:\Windows\System32\drivers\
WW911YBM,msrpc.sys,C:\Windows\System32\drivers\
WW911YBM,Wdf01000.sys,C:\Windows\system32\drivers\
WW911YBM,dxgmms2.sys,C:\Windows\System32\drivers\
WW911YBM,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
WW911YBM,ACPI.sys,C:\Windows\System32\drivers\
WW911YBM,BasicDisplay.sys,C:\Windows\System32\drivers\
WW911YBM,lltdio.sys,C:\Windows\system32\drivers\
WW911YBM,NDIS.SYS,C:\Windows\system32\DRIVERS\
WW911YBM,disk.sys,C:\Windows\System32\drivers\
WW911YBM,clipsp.sys,C:\Windows\System32\drivers\
WW911YBM,srv.sys,C:\Windows\System32\DRIVERS\
WW911YBM,ahcache.sys,C:\Windows\system32\DRIVERS\
