hostname,name,pid,descriptivename,description,path,pathmd5sum,arguments,pathcertificatesubject,pathsignatureverified,pathsignaturedescription,pathcertificateissuer
NE318YTQ,NdisWan,0,Remote Access NDIS WAN Driver,Remote Access NDIS WAN Driver,C:\Windows\System32\drivers\ndiswan.sys,f5d0079500952a1e41d3c8baf8e30b30,\SystemRoot\System32\drivers\ndiswan.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,VerifierExt,0,VerifierExt,,C:\Windows\System32\drivers\VerifierExt.sys,67956fd52dddfae1ff509e5864c0229c,system32\drivers\VerifierExt.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,xennet,0,AWS PV Network Device,,C:\Windows\System32\drivers\xennet.sys,088a76a768b922b54f5990da40fb3483,\SystemRoot\system32\DRIVERS\xennet.sys,Microsoft Windows Hardware Compatibility Publisher,true,The file is signed and the signature was verified.,Microsoft Windows Hardware Compatibility PCA
NE318YTQ,DeviceAssociationService,0,Device Association Service,Enables pairing between the system and wired or wireless devices.,C:\Windows\System32\svchost.exe,ecd55c1165b9e98446950872981e2129,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,MpsSvc,808,Windows Firewall,Windows Firewall helps protect your computer by preventing unauthorized users from gaining access to your computer through the Internet or a network.,C:\Windows\System32\svchost.exe,ecd55c1165b9e98446950872981e2129,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,VSS,0,Volume Shadow Copy,Manages and implements Volume Shadow Copies used for backup and other purposes. If this service is stopped  shadow copies will be unavailable for backup and the backup may fail. If this service is disabled  any services that explicitly depend on it will fail to start.,C:\Windows\System32\VSSVC.exe,40c7e86c35997b8f8610539cbbb799ed,C:\Windows\system32\vssvc.exe,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,kbdclass,0,Keyboard Class Driver,,C:\Windows\System32\drivers\kbdclass.sys,ba5de0e293060fec83809485656a3c2e,\SystemRoot\System32\drivers\kbdclass.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,BasicRender,0,BasicRender,,C:\Windows\System32\drivers\BasicRender.sys,2cc5f1956e1843251c0739a4713d259a,\SystemRoot\System32\drivers\BasicRender.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,WcsPlugInService,0,Windows Color System,The WcsPlugInService service hosts third-party Windows Color System color device model and gamut map model plug-in modules. These plug-in modules are vendor-specific extensions to the Windows Color System baseline color device and gamut map models. Stopping or disabling the WcsPlugInService service will disable this extensibility feature  and the Windows Color System will use its baseline model processing rather than the vendor's desired processing. This might result in inaccurate color rendering.,C:\Windows\System32\svchost.exe,ecd55c1165b9e98446950872981e2129,C:\Windows\system32\svchost.exe -k wcssvc,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NE318YTQ,IpFilterDriver,0,IP Traffic Filter Driver,IP Traffic Filter Driver,C:\Windows\System32\drivers\ipfltdrv.sys,ac096cde4599e8fd198a19c63c3b7dc3,system32\DRIVERS\ipfltdrv.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
