hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
SL397YNV,4384,C:\Windows\System32\ws2_32.dll,8467054afadcac9b2b883cbeccb8444f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,1264,C:\Windows\System32\cryptsp.dll,c2dc08fd362006dbeb9e17c51bc26bcf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,984,C:\Windows\System32\winnsi.dll,c1cc80cd1ef2f714e135bd9cb946a198,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,2424,C:\Windows\System32\esent.dll,4b2baa4db4ee327d3d20fccb4b027cfc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,4307,C:\Users\bla.carter18\AppData\Local\Microsoft\OneDrive\OneDrive.exe,c9b6ec7a68100ff572a8c712b3adf692,false,false,,,
SL397YNV,1264,C:\Windows\System32\lpk.dll,e3414fe76fa088136f553b81f84540ad,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,2424,C:\Windows\System32\ole32.dll,b4cf7c4f2b6d392862da4f1c60882a84,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,4040,C:\Windows\System32\msvcrt.dll,4bc16d301d3567f750b5d0fedacd7780,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,5388,C:\Windows\System32\pnrpsvc.dll,65a6983d89ef66d177cc1ab74cebaba6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,3180,C:\Windows\System32\wtsapi32.dll,a73e0a1ffc733be85a97407e64891a75,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL397YNV,2304,C:\Windows\System32\mswsock.dll,bf3686d8d47f6d5589b2b9bce7356811,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
