hostname,name,arguments,username,path,pid
SW220THV,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",grac.brya,C:\ProgramData\McAfee\Direct,6261
SW220THV,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,NT AUTHORITY\SYSTEM,C:\Windows\System32,4832
SW220THV,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",samu.hill17,C:\Program Files\TightVNC,239
SW220THV,mcafee_trial_setup_433.0207.3919_key.exe,"""C:\Users\grac.brya\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",grac.brya,C:\Users\grac.brya\AppData\Local\Temp\scoped_dir9616_4071,5478
SW220THV,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",samu.hill17,C:\Windows\System32\WindowsPowerShell\v1.0,6002
SW220THV,svchost.exe,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,NT AUTHORITY\SYSTEM,C:\Windows\system32,6352
SW220THV,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,2116
SW220THV,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,3756
SW220THV,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,6496
SW220THV,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,1428
SW220THV,mintty.exe,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",grac.brya,C:\Program Files\Git\usr\bin,5772
SW220THV,mintty.exe,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",timo.walker,C:\Program Files\Git\usr\bin,5731
SW220THV,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,3968
SW220THV,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,688
SW220THV,git-bash.exe,"""C:\Program Files\Git\git-bash.exe"" ""--cd=C:\Users\grac.brya\Desktop.""",grac.brya,C:\Program Files\Git,5663
SW220THV,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",grac.brya,C:\Program Files\Common Files\McAfee\ModuleCore,5942
SW220THV,CCleaner64.exe,"""C:\Program Files\CCleaner\CCleaner.exe"" /MONITOR /uac",grac.brya,C:\Program Files\CCleaner,5226
SW220THV,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",samu.hill17,C:\Program Files\RealVNC\VNC Viewer,3858
SW220THV,LogonUI.exe,"""LogonUI.exe"" /flags:0x0 /state0:0xa3a5d855 /state1:0x41c64e6d",NT AUTHORITY\SYSTEM,C:\Windows\system32,3804
SW220THV,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,628
SW220THV,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",grac.brya,C:\Program Files\Common Files\McAfee\Platform\Core,5388
SW220THV,CCleaner64.exe,"""C:\Program Files\CCleaner\CCleaner.exe"" /uac",grac.brya,C:\Program Files\CCleaner,625
SW220THV,svchost.exe,C:\Windows\system32\svchost.exe -k appmodel,NT AUTHORITY\SYSTEM,C:\Windows\system32,1164
SW220THV,notepad.exe,"""C:\Windows\system32\notepad.exe"" ",samu.hill17,C:\Windows\system32,2708
SW220THV,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",grac.brya,C:\Program Files\McAfee\MfeAV,4299
SW220THV,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,444
SW220THV,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{A7CCA429-5F8F-4A5B-B524-82C38D561286},NT AUTHORITY\SYSTEM,C:\Windows\system32,72
SW220THV,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,1396
SW220THV,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,NT AUTHORITY\SYSTEM,C:\Windows\system32,2772
SW220THV,TabTip32.exe,/loadhooks /Parent:0000000000001188,NT AUTHORITY\SYSTEM,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink,2412
SW220THV,kitty-0.70.0.6.exe,"""C:\Users\samu.hill17\Documents\kitty-0.70.0.6.exe"" ",samu.hill17,C:\Users\samu.hill17\Documents,1006
SW220THV,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",grac.brya,C:\Program Files\Common Files\McAfee\PEF\CORE,4612
SW220THV,svchost.exe,C:\Windows\System32\svchost.exe -k smbsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,5344
SW220THV,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,1532
SW220THV,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\system32,4104
