hostname,modulename,modulepath
NW199VTL,wfplwfs.sys,C:\Windows\System32\drivers\
NW199VTL,dam.sys,C:\Windows\System32\drivers\
NW199VTL,VerifierExt.sys,C:\Windows\System32\drivers\
NW199VTL,tcpip.sys,C:\Windows\System32\drivers\
NW199VTL,rdpvideominiport.sys,C:\Windows\System32\drivers\
NW199VTL,errdev.sys,C:\Windows\System32\drivers\
NW199VTL,lsi_sas3i.sys,C:\Windows\System32\drivers\
NW199VTL,serial.sys,C:\Windows\System32\drivers\
NW199VTL,netbios.sys,C:\Windows\System32\drivers\
NW199VTL,hidbth.sys,C:\Windows\System32\drivers\
NW199VTL,storufs.sys,C:\Windows\System32\drivers\
NW199VTL,lsass.exe,C:\Windows\System32\
NW199VTL,ndis.sys,C:\Windows\System32\drivers\
NW199VTL,mssmbios.sys,C:\Windows\System32\drivers\
NW199VTL,BasicRender.sys,C:\Windows\System32\drivers\
NW199VTL,mshidumdf.sys,C:\Windows\System32\drivers\
NW199VTL,VSTXRAID.SYS,C:\Windows\System32\drivers\
NW199VTL,parport.sys,C:\Windows\System32\drivers\
NW199VTL,hidusb.sys,C:\Windows\System32\drivers\
NW199VTL,amdsbs.sys,C:\Windows\System32\drivers\
NW199VTL,urschipidea.sys,C:\Windows\System32\drivers\
NW199VTL,mausbhost.sys,C:\Windows\System32\drivers\
NW199VTL,VmsProxyHNic.sys,C:\Windows\System32\drivers\
NW199VTL,3ware.sys,C:\Windows\System32\drivers\
NW199VTL,iaStorV.sys,C:\Windows\System32\drivers\
NW199VTL,iaLPSSi_I2C.sys,C:\Windows\System32\drivers\
NW199VTL,capimg.sys,C:\Windows\System32\drivers\
NW199VTL,Ucx01000.sys,C:\Windows\System32\drivers\
NW199VTL,msgpiowin32.sys,C:\Windows\System32\drivers\
NW199VTL,ufx01000.sys,C:\Windows\System32\drivers\
NW199VTL,vwifimp.sys,C:\Windows\System32\drivers\
NW199VTL,kdnic.sys,C:\Windows\System32\drivers\
NW199VTL,swenum.sys,C:\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_ea7b19c04e7a8136\
NW199VTL,kbdclass.sys,C:\Windows\System32\drivers\
NW199VTL,acpitime.sys,C:\Windows\System32\drivers\
NW199VTL,iaLPSS2i_I2C_BXT_P.sys,C:\Windows\System32\drivers\
NW199VTL,sisraid2.sys,C:\Windows\System32\drivers\
NW199VTL,lsi_sas.sys,C:\Windows\System32\drivers\
NW199VTL,iaLPSS2i_I2C.sys,C:\Windows\System32\drivers\
NW199VTL,TeeDriverW8x64.sys,C:\Windows\System32\drivers\
NW199VTL,mrxsmb10.sys,C:\Windows\System32\drivers\
NW199VTL,mrxsmb20.sys,C:\Windows\System32\drivers\
NW199VTL,usbcir.sys,C:\Windows\System32\drivers\
NW199VTL,intelide.sys,C:\Windows\System32\drivers\
NW199VTL,tpm.sys,C:\Windows\System32\drivers\
NW199VTL,winmad.sys,C:\Windows\System32\drivers\
NW199VTL,rasl2tp.sys,C:\Windows\System32\drivers\
NW199VTL,fileinfo.sys,C:\Windows\System32\drivers\
NW199VTL,ItSas35i.sys,C:\Windows\System32\drivers\
NW199VTL,SPUVCbv64.sys,C:\Windows\System32\drivers\
NW199VTL,ipfltdrv.sys,C:\Windows\System32\drivers\
NW199VTL,IntcDAud.sys,C:\Windows\System32\drivers\
NW199VTL,amdxata.sys,C:\Windows\System32\drivers\
NW199VTL,processr.sys,C:\Windows\System32\drivers\
NW199VTL,hwpolicy.sys,C:\Windows\System32\drivers\
NW199VTL,VmsProxy.sys,C:\Windows\System32\drivers\
NW199VTL,urssynopsys.sys,C:\Windows\System32\drivers\
NW199VTL,nsiproxy.sys,C:\Windows\System32\drivers\
NW199VTL,ndiswan.sys,C:\Windows\System32\drivers\
NW199VTL,flpydisk.sys,C:\Windows\System32\drivers\
NW199VTL,sermouse.sys,C:\Windows\System32\drivers\
NW199VTL,lsi_sas2i.sys,C:\Windows\System32\drivers\
NW199VTL,EhStorClass.sys,C:\Windows\System32\drivers\
NW199VTL,hidbatt.sys,C:\Windows\System32\drivers\
NW199VTL,spaceport.sys,C:\Windows\System32\drivers\
NW199VTL,USBHUB3.SYS,C:\Windows\System32\drivers\
NW199VTL,cdfs.sys,C:\Windows\System32\drivers\
NW199VTL,nvstor.sys,C:\Windows\System32\drivers\
NW199VTL,UfxChipidea.sys,C:\Windows\System32\drivers\
NW199VTL,SgrmAgent.sys,C:\Windows\System32\drivers\
NW199VTL,amdppm.sys,C:\Windows\System32\drivers\
NW199VTL,bthhfenum.sys,C:\Windows\System32\drivers\
NW199VTL,acpiex.sys,C:\Windows\System32\drivers\
NW199VTL,svchost.exe,C:\Windows\System32\
NW199VTL,BTHUSB.SYS,C:\Windows\System32\drivers\
NW199VTL,bthpan.sys,C:\Windows\System32\drivers\
NW199VTL,nwifi.sys,C:\Windows\System32\drivers\
NW199VTL,dxgkrnl.sys,C:\Windows\System32\drivers\
NW199VTL,dptf_cpu.sys,C:\Windows\System32\drivers\
NW199VTL,mausbip.sys,C:\Windows\System32\drivers\
NW199VTL,pci.sys,C:\Windows\System32\drivers\
NW199VTL,pciide.sys,C:\Windows\System32\drivers\
NW199VTL,SDFRd.sys,C:\Windows\System32\drivers\
NW199VTL,sfloppy.sys,C:\Windows\System32\drivers\
NW199VTL,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
NW199VTL,npsvctrig.sys,C:\Windows\System32\drivers\
NW199VTL,rfcomm.sys,C:\Windows\System32\drivers\
NW199VTL,evbda.sys,C:\Windows\System32\drivers\
NW199VTL,sdbus.sys,C:\Windows\System32\drivers\
NW199VTL,serenum.sys,C:\Windows\System32\drivers\
NW199VTL,dfsc.sys,C:\Windows\System32\drivers\
NW199VTL,mskssrv.sys,C:\Windows\System32\drivers\
NW199VTL,gpuenergydrv.sys,C:\Windows\System32\drivers\
NW199VTL,circlass.sys,C:\Windows\System32\drivers\
NW199VTL,rassstp.sys,C:\Windows\System32\drivers\
NW199VTL,wmiacpi.sys,C:\Windows\System32\drivers\
NW199VTL,UcmTcpciCx.sys,C:\Windows\System32\drivers\
NW199VTL,wimmount.sys,C:\Windows\System32\drivers\
NW199VTL,kbdhid.sys,C:\Windows\System32\drivers\
NW199VTL,ibtusb.sys,C:\Windows\System32\drivers\
NW199VTL,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_bcb89b3386563bd7\
NW199VTL,Synth3dVsc.sys,C:\Windows\System32\drivers\
NW199VTL,mouhid.sys,C:\Windows\System32\drivers\
NW199VTL,adp80xx.sys,C:\Windows\System32\drivers\
NW199VTL,iaLPSSi_GPIO.sys,C:\Windows\System32\drivers\
NW199VTL,mmcss.sys,C:\Windows\System32\drivers\
NW199VTL,WdBoot.sys,C:\Windows\System32\drivers\wd\
NW199VTL,lxss.sys,C:\Windows\System32\drivers\
NW199VTL,hvservice.sys,C:\Windows\System32\drivers\
NW199VTL,CmBatt.sys,C:\Windows\System32\drivers\
NW199VTL,rdyboost.sys,C:\Windows\System32\drivers\
NW199VTL,vmstorfl.sys,C:\Windows\System32\drivers\
NW199VTL,storvsc.sys,C:\Windows\System32\drivers\
NW199VTL,ramdisk.sys,C:\Windows\System32\drivers\
NW199VTL,HpSAMD.sys,C:\Windows\System32\drivers\
NW199VTL,applockerfltr.sys,C:\Windows\System32\drivers\
NW199VTL,winverbs.sys,C:\Windows\System32\drivers\
NW199VTL,cdrom.sys,C:\Windows\System32\drivers\
NW199VTL,vms3cap.sys,C:\Windows\System32\drivers\
NW199VTL,vwifibus.sys,C:\Windows\System32\drivers\
