hostname,modulename,modulepath
SB682YOC,crashdmp.sys,C:\Windows\System32\Drivers\
SB682YOC,fwpkclnt.sys,C:\Windows\System32\drivers\
SB682YOC,raspptp.sys,C:\Windows\system32\DRIVERS\
SB682YOC,mrxsmb.sys,C:\Windows\system32\DRIVERS\
SB682YOC,afd.sys,C:\Windows\system32\drivers\
SB682YOC,HTTP.sys,C:\Windows\system32\drivers\
SB682YOC,kbdclass.sys,C:\Windows\system32\drivers\
SB682YOC,PSHED.dll,C:\Windows\system32\
SB682YOC,tcpipreg.sys,C:\Windows\System32\drivers\
SB682YOC,dxg.sys,C:\Windows\System32\drivers\
SB682YOC,win32k.sys,C:\Windows\System32\
SB682YOC,pvpanic.sys,C:\Windows\system32\drivers\
SB682YOC,Msfs.SYS,C:\Windows\System32\Drivers\
SB682YOC,RDPDD.dll,C:\Windows\System32\
SB682YOC,ntoskrnl.exe,C:\Windows\system32\
SB682YOC,serial.sys,C:\Windows\system32\drivers\
SB682YOC,Dxapi.sys,C:\Windows\System32\drivers\
SB682YOC,CLFS.SYS,C:\Windows\system32\
SB682YOC,ksecpkg.sys,C:\Windows\System32\Drivers\
SB682YOC,asyncmac.sys,C:\Windows\system32\DRIVERS\
SB682YOC,pci.sys,C:\Windows\system32\drivers\
SB682YOC,netbios.sys,C:\Windows\system32\DRIVERS\
SB682YOC,rdpbus.sys,C:\Windows\system32\drivers\
SB682YOC,pacer.sys,C:\Windows\system32\DRIVERS\
SB682YOC,ndiswan.sys,C:\Windows\system32\DRIVERS\
SB682YOC,peauth.sys,C:\Windows\system32\drivers\
SB682YOC,msrpc.sys,C:\Windows\system32\DRIVERS\
SB682YOC,blbdrive.sys,C:\Windows\system32\drivers\
SB682YOC,umbus.sys,C:\Windows\system32\drivers\
SB682YOC,i8042prt.sys,C:\Windows\system32\drivers\
SB682YOC,watchdog.sys,C:\Windows\System32\drivers\
SB682YOC,NDIS.SYS,C:\Windows\system32\DRIVERS\
SB682YOC,CI.dll,C:\Windows\system32\
SB682YOC,CLASSPNP.SYS,C:\Windows\system32\drivers\
SB682YOC,hwpolicy.sys,C:\Windows\System32\drivers\
SB682YOC,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SB682YOC,bowser.sys,C:\Windows\system32\DRIVERS\
SB682YOC,mpsdrv.sys,C:\Windows\System32\drivers\
SB682YOC,mssmbios.sys,C:\Windows\system32\drivers\
SB682YOC,spsys.sys,C:\Windows\system32\drivers\
SB682YOC,Ntfs.sys,C:\Windows\System32\Drivers\
SB682YOC,netkvm.sys,C:\Windows\system32\DRIVERS\
SB682YOC,tcpip.sys,C:\Windows\System32\drivers\
SB682YOC,TDI.SYS,C:\Windows\system32\DRIVERS\
SB682YOC,mouclass.sys,C:\Windows\system32\drivers\
SB682YOC,wfplwf.sys,C:\Windows\system32\DRIVERS\
SB682YOC,srv.sys,C:\Windows\System32\DRIVERS\
SB682YOC,swenum.sys,C:\Windows\system32\drivers\
SB682YOC,mup.sys,C:\Windows\System32\Drivers\
SB682YOC,rdpencdd.sys,C:\Windows\system32\drivers\
SB682YOC,partmgr.sys,C:\Windows\System32\drivers\
SB682YOC,netbt.sys,C:\Windows\System32\DRIVERS\
SB682YOC,dump_storport.sys,C:\Windows\System32\Drivers\
SB682YOC,rspndr.sys,C:\Windows\system32\DRIVERS\
SB682YOC,volsnap.sys,C:\Windows\system32\drivers\
SB682YOC,luafv.sys,C:\Windows\system32\drivers\
SB682YOC,storport.sys,C:\Windows\system32\drivers\
SB682YOC,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SB682YOC,TSDDD.dll,C:\Windows\System32\
SB682YOC,mountmgr.sys,C:\Windows\System32\drivers\
SB682YOC,tdx.sys,C:\Windows\system32\DRIVERS\
SB682YOC,tunnel.sys,C:\Windows\system32\DRIVERS\
SB682YOC,dfsc.sys,C:\Windows\System32\Drivers\
SB682YOC,volmgrx.sys,C:\Windows\System32\drivers\
SB682YOC,fltmgr.sys,C:\Windows\system32\drivers\
SB682YOC,RDPWD.SYS,C:\Windows\System32\Drivers\
SB682YOC,disk.sys,C:\Windows\system32\drivers\
SB682YOC,lltdio.sys,C:\Windows\system32\DRIVERS\
SB682YOC,nsiproxy.sys,C:\Windows\system32\drivers\
SB682YOC,rdpdr.sys,C:\Windows\System32\drivers\
SB682YOC,vioscsi.sys,C:\Windows\system32\drivers\
SB682YOC,termdd.sys,C:\Windows\system32\drivers\
SB682YOC,spldr.sys,C:\Windows\System32\Drivers\
SB682YOC,Fs_Rec.sys,C:\Windows\System32\Drivers\
SB682YOC,Wdf01000.sys,C:\Windows\system32\drivers\
SB682YOC,Npfs.SYS,C:\Windows\System32\Drivers\
SB682YOC,WDFLDR.SYS,C:\Windows\system32\drivers\
SB682YOC,NETIO.SYS,C:\Windows\system32\DRIVERS\
SB682YOC,raspppoe.sys,C:\Windows\system32\DRIVERS\
SB682YOC,RDPCDD.sys,C:\Windows\System32\DRIVERS\
SB682YOC,cng.sys,C:\Windows\System32\Drivers\
SB682YOC,amdxata.sys,C:\Windows\system32\drivers\
SB682YOC,vmstorfl.sys,C:\Windows\system32\drivers\
SB682YOC,serenum.sys,C:\Windows\system32\drivers\
SB682YOC,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SB682YOC,NDProxy.SYS,C:\Windows\System32\Drivers\
SB682YOC,volmgr.sys,C:\Windows\system32\drivers\
SB682YOC,ndistapi.sys,C:\Windows\system32\DRIVERS\
SB682YOC,discache.sys,C:\Windows\System32\drivers\
SB682YOC,Null.SYS,C:\Windows\System32\Drivers\
SB682YOC,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SB682YOC,ACPI.sys,C:\Windows\system32\drivers\
SB682YOC,intelppm.sys,C:\Windows\system32\DRIVERS\
SB682YOC,ksecdd.sys,C:\Windows\System32\Drivers\
SB682YOC,CompositeBus.sys,C:\Windows\system32\drivers\
SB682YOC,msisadrv.sys,C:\Windows\system32\drivers\
SB682YOC,WMILIB.SYS,C:\Windows\system32\drivers\
SB682YOC,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SB682YOC,vga.sys,C:\Windows\System32\drivers\
SB682YOC,vdrvroot.sys,C:\Windows\system32\drivers\
SB682YOC,sacdrv.sys,C:\Windows\system32\DRIVERS\
SB682YOC,hal.dll,C:\Windows\system32\
SB682YOC,tssecsrv.sys,C:\Windows\System32\DRIVERS\
SB682YOC,kdcom.dll,C:\Windows\system32\
SB682YOC,rdprefmp.sys,C:\Windows\system32\drivers\
SB682YOC,tdtcp.sys,C:\Windows\system32\drivers\
SB682YOC,AgileVpn.sys,C:\Windows\system32\DRIVERS\
SB682YOC,srvnet.sys,C:\Windows\System32\DRIVERS\
SB682YOC,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SB682YOC,pcw.sys,C:\Windows\System32\drivers\
SB682YOC,rdbss.sys,C:\Windows\system32\DRIVERS\
