hostname,name,arguments,username,path,pid
NS938ZTZ,MicrosoftEdgeCP.exe,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",mais.wil,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,4018
NS938ZTZ,OneDrive.exe,"""C:\Users\mais.wil\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",mais.wil,C:\Users\mais.wil\AppData\Local\Microsoft\OneDrive,3414
NS938ZTZ,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",mais.wil,C:\Program Files\TightVNC,901
NS938ZTZ,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",mais.wil,C:\Program Files\Common Files\McAfee\TaskScheduler,2200
NS938ZTZ,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService -p,NT AUTHORITY\SYSTEM,C:\Windows\system32,2056
NS938ZTZ,SearchFilterHost.exe,"""C:\Windows\system32\SearchFilterHost.exe"" 0 736 740 748 8192 744 ",NT AUTHORITY\SYSTEM,C:\Windows\system32,6272
NS938ZTZ,svchost.exe,,NT AUTHORITY\SYSTEM,,4108
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k unistacksvcgroup,NT AUTHORITY\SYSTEM,c:\windows\system32,5692
NS938ZTZ,wininit.exe,,NT AUTHORITY\SYSTEM,,2436
NS938ZTZ,csrss.exe,,NT AUTHORITY\SYSTEM,,560
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s AudioEndpointBuilder,NT AUTHORITY\SYSTEM,c:\windows\system32,540
NS938ZTZ,pcalua.exe,C:\Windows\System32\pcalua.exe -a C:\Windows\Logs\ovsdb-client.dll,rubyhughe75,C:\Windows\System32\pcalua.exe,6056
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s UserManager,NT AUTHORITY\SYSTEM,c:\windows\system32,3956
NS938ZTZ,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" ",rubyhughe75,C:\Windows\System32\WindowsPowerShell\v1.0,4514
NS938ZTZ,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},NT AUTHORITY\SYSTEM,c:\windows\system32,256
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservice -p -s SstpSvc,NT AUTHORITY\SYSTEM,c:\windows\system32,5328
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s iphlpsvc,NT AUTHORITY\SYSTEM,c:\windows\system32,6336
NS938ZTZ,SearchUI.exe,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",NT AUTHORITY\SYSTEM,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,5640
NS938ZTZ,mcafee_trial_setup_433.0207.3919_key.exe,"""C:\Users\mais.wil\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",mais.wil,C:\Users\mais.wil\AppData\Local\Temp\scoped_dir9616_4071,1123
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservice -p -s nsi,NT AUTHORITY\SYSTEM,c:\windows\system32,6196
NS938ZTZ,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",mais.wil,C:\Program Files\Common Files\McAfee\VSCore_18_6,4813
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s Schedule,NT AUTHORITY\SYSTEM,c:\windows\system32,5340
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s EventLog,NT AUTHORITY\SYSTEM,c:\windows\system32,4868
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s Winmgmt,NT AUTHORITY\SYSTEM,c:\windows\system32,292
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -p -s WinHttpAutoProxySvc,NT AUTHORITY\SYSTEM,c:\windows\system32,992
NS938ZTZ,ApplicationFrameHost.exe,C:\Windows\system32\ApplicationFrameHost.exe -Embedding,NT AUTHORITY\SYSTEM,C:\Windows\system32,1568
NS938ZTZ,SgrmBroker.exe,,NT AUTHORITY\SYSTEM,,1988
NS938ZTZ,modulecoreservice.exe,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",mais.wil,c:\program files\common files\mcafee\modulecore,2525
NS938ZTZ,svchost.exe,C:\Windows\system32\svchost.exe -k SDRSVC,NT AUTHORITY\SYSTEM,C:\Windows\system32,6340
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s StorSvc,NT AUTHORITY\SYSTEM,c:\windows\system32,128
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s SysMain,NT AUTHORITY\SYSTEM,c:\windows\system32,480
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s ShellHWDetection,NT AUTHORITY\SYSTEM,c:\windows\system32,2228
NS938ZTZ,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch -p,NT AUTHORITY\SYSTEM,C:\Windows\system32,424
NS938ZTZ,Memory Compression,,NT AUTHORITY\SYSTEM,,1964
NS938ZTZ,svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService -p -s DoSvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,1716
NS938ZTZ,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",mais.wil,C:\ProgramData\McAfee\Direct,5430
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s BITS,NT AUTHORITY\SYSTEM,c:\windows\system32,3316
NS938ZTZ,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,mais.wil,C:\ProgramData\McAfee\Direct,3117
NS938ZTZ,vmware-usbarbitrator64.exe,"""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""",rubyhughe75,C:\Program Files (x86)\Common Files\VMware\USB,2853
NS938ZTZ,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\System32,1508
NS938ZTZ,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",mais.wil,C:\Program Files\Common Files\McAfee\AMCore,693
NS938ZTZ,fontdrvhost.exe,"""fontdrvhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\System32,1072
NS938ZTZ,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,1932
NS938ZTZ,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",mais.wil,C:\Program Files\Common Files\McAfee\MMSSHost,1674
NS938ZTZ,DllHost.exe,C:\Windows\system32\DllHost.exe /Processid:{973D20D7-562D-44B9-B70B-5A0F49CCDF3F},NT AUTHORITY\SYSTEM,C:\Windows\system32,3728
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k networkservice -p -s TapiSrv,NT AUTHORITY\SYSTEM,c:\windows\system32,440
NS938ZTZ,WinLogon.exe,C:\Windows\System32\WinLogon.exe -SpecialSession,NT AUTHORITY\SYSTEM,C:\Windows\System32,3408
NS938ZTZ,mintty.exe,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",mais.wil,C:\Program Files\Git\usr\bin,5013
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k networkservice -p -s Dnscache,NT AUTHORITY\SYSTEM,c:\windows\system32,2068
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k networkservice -p -s NlaSvc,NT AUTHORITY\SYSTEM,c:\windows\system32,3296
NS938ZTZ,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,4556
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservice -p -s bthserv,NT AUTHORITY\SYSTEM,c:\windows\system32,5112
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservicenetworkrestricted -s BTAGService,NT AUTHORITY\SYSTEM,c:\windows\system32,1940
NS938ZTZ,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",mais.wil,C:\Program Files\Common Files\McAfee\Platform\Core,5851
NS938ZTZ,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",mais.wil,C:\Program Files\McAfee\MAT,1663
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservice -p -s LicenseManager,NT AUTHORITY\SYSTEM,c:\windows\system32,1320
NS938ZTZ,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",hunter.dav,C:\Program Files\internet explorer,3219
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s DsSvc,NT AUTHORITY\SYSTEM,c:\windows\system32,1412
NS938ZTZ,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p,NT AUTHORITY\SYSTEM,C:\Windows\System32,2808
NS938ZTZ,conhost.exe,\??\C:\Windows\system32\conhost.exe 0x4,NT AUTHORITY\SYSTEM,C:\Windows\system32,5944
NS938ZTZ,CyberGhost.Service.exe,"""C:\Program Files\CyberGhost 6\CyberGhost.Service.exe""",mais.wil,C:\Program Files\CyberGhost 6,3489
NS938ZTZ,NisSrv.exe,,NT AUTHORITY\SYSTEM,,1144
NS938ZTZ,KeePassXC.exe,"""C:\Program Files\KeePassXC\KeePassXC.exe"" ",rubyhughe75,C:\Program Files\KeePassXC,2892
NS938ZTZ,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p -s wlidsvc,NT AUTHORITY\SYSTEM,C:\Windows\system32,5264
NS938ZTZ,jusched.exe,"""C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe"" ",NT AUTHORITY\SYSTEM,C:\Program Files (x86)\Common Files\Java\Java Update,1060
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s SENS,NT AUTHORITY\SYSTEM,c:\windows\system32,5292
NS938ZTZ,smss.exe,,NT AUTHORITY\SYSTEM,,5436
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservice -p -s CDPSvc,NT AUTHORITY\SYSTEM,c:\windows\system32,2212
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k netsvcs -p -s Themes,NT AUTHORITY\SYSTEM,c:\windows\system32,1216
NS938ZTZ,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc -p,NT AUTHORITY\SYSTEM,C:\Windows\System32,3560
NS938ZTZ,sihost.exe,sihost.exe,NT AUTHORITY\SYSTEM,c:\windows\system32,148
NS938ZTZ,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",mais.wil,C:\Program Files\Common Files\McAfee\ModuleCore,3623
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s PcaSvc,NT AUTHORITY\SYSTEM,c:\windows\system32,2348
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localservice -p -s WdiServiceHost,NT AUTHORITY\SYSTEM,c:\windows\system32,2112
NS938ZTZ,fontdrvhost.exe,"""fontdrvhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,5580
NS938ZTZ,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",mais.wil,C:\Program Files\RealVNC\VNC Viewer,5957
NS938ZTZ,svchost.exe,c:\windows\system32\svchost.exe -k localsystemnetworkrestricted -p -s TrkWks,NT AUTHORITY\SYSTEM,c:\windows\system32,3804
NS938ZTZ,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5872
