hostname,name,arguments,username,path,pid
SE808CLL,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",kaz.price53,C:\Program Files\Common Files\McAfee\AMCore,3933
SE808CLL,taskhost.exe,"""taskhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,4416
SE808CLL,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" ",kaz.price53,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,3877
SE808CLL,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",kaz.price53,C:\Program Files\Common Files\McAfee\VSCore_18_6,3436
SE808CLL,mcafee_trial_setup_433.0207.3919_key.exe,"""C:\Users\kaz.price53\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",kaz.price53,C:\Users\kaz.price53\AppData\Local\Temp\scoped_dir9616_4071,773
SE808CLL,AcroRd32.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroRd32.exe"" --type=renderer /prefetch:1",kaz.price53,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader,5402
SE808CLL,smss.exe,\SystemRoot\System32\smss.exe,NT AUTHORITY\SYSTEM,\SystemRoot\System32,1520
SE808CLL,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,3844
SE808CLL,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",kaz.price53,C:\Program Files\McAfee\MfeAV,6094
SE808CLL,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,5016
SE808CLL,OneDrive.exe,"""C:\Users\dyla.moore\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",dyla.moore,C:\Users\dyla.moore\AppData\Local\Microsoft\OneDrive,2554
SE808CLL,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{3EAE8C5E-B51F-4CBD-9DCE-FA6AA0BDF8B8},NT AUTHORITY\SYSTEM,C:\Windows\system32,3352
SE808CLL,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",kaz.price53,C:\ProgramData\McAfee\Direct,1935
SE808CLL,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",kaz.price53,C:\Program Files\Common Files\McAfee\TaskScheduler,463
SE808CLL,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,3180
SE808CLL,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",kaz.price53,C:\Program Files\TightVNC,1566
SE808CLL,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",kaz.price53,C:\Program Files\RealVNC\VNC Viewer,435
SE808CLL,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",kaz.price53,C:\Program Files\Common Files\McAfee\PEF\CORE,5462
SE808CLL,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,276
SE808CLL,Calculator.exe,"""C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe\Calculator.exe"" -ServerName:App.AppXsm3pg4n7er43kdh1qp4e79f1j7am68r8.mca",kaz.price53,C:\Program Files\WindowsApps\Microsoft.WindowsCalculator_10.1809.2731.0_x64__8wekyb3d8bbwe,4122
SE808CLL,svchost.exe,C:\Windows\system32\svchost.exe -k regsvc,NT AUTHORITY\SYSTEM,C:\Windows\system32,560
SE808CLL,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,kaz.price53,c:\program files\common files\mcafee\modulecore,3999
SE808CLL,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\system32,6376
SE808CLL,LogonUI.exe,"""LogonUI.exe"" /flags:0x0",NT AUTHORITY\SYSTEM,C:\Windows\system32,5464
SE808CLL,git-bash.exe,"""C:\Program Files\Git\git-bash.exe"" ""--cd=C:\Users\kaz.price53\Desktop.""",kaz.price53,C:\Program Files\Git,268
SE808CLL,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",kaz.price53,C:\Program Files\Common Files\McAfee\Platform\Core,2248
SE808CLL,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",kaz.price53,C:\Program Files\Common Files\mcafee\Platform,5638
SE808CLL,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",kaz.price53,C:\Program Files\McAfee\WebAdvisor,2491
SE808CLL,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",kaz.price53,C:\Program Files\internet explorer,844
SE808CLL,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,3532
SE808CLL,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,6340
SE808CLL,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",kaz.price53,C:\Program Files\McAfee\MAT,2445
SE808CLL,mintty.exe,"usr\bin\mintty.exe --nodaemon -o AppID=GitForWindows.Bash -o AppLaunchCmd=""C:\Program Files\Git\git-bash.exe"" -o AppName=""Git Bash"" -i ""C:\Program Files\Git\git-bash.exe"" --store-taskbar-properties -- /usr/bin/bash --login -i",kaz.price53,C:\Program Files\Git\usr\bin,2520
SE808CLL,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,688
SE808CLL,Dwm.exe,"""C:\Windows\system32\Dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,5572
SE808CLL,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2140
SE808CLL,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",kaz.price53,C:\Program Files\McAfee\WebAdvisor,1673
SE808CLL,iexplore.exe,"""C:\Program Files\internet explorer\iexplore.exe"" ",kaz.price53,C:\Program Files\internet explorer,5479
SE808CLL,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",kaz.price53,C:\Program Files\Common Files\McAfee\MMSSHost,6147
SE808CLL,RdrCEF.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe"" --backgroundcolor=16514043",kaz.price53,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF,6321
SE808CLL,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,3064
SE808CLL,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",kaz.price53,C:\Program Files\Common Files\McAfee\ModuleCore,5034
SE808CLL,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4140
SE808CLL,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",kaz.price53,C:\Program Files\TightVNC,5091
SE808CLL,RdrCEF.exe,"""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe"" --type=renderer --disable-browser-side-navigation --disable-gpu-compositing --service-pipe-token=49849BA2F50EBF33EAD978C1E9CA6D55 --lang=en-US --disable-pack-loading --lang=en-US --log-file=""C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\debug.log"" --log-severity=disable --product-version=""ReaderServices/19.8.20071 Chrome/64.0.3282.119"" --enable-pinch --device-scale-factor=1.5 --num-raster-threads=2 --enable-main-frame-before-activation --enable-gpu-async-worker-context --content-image-texture-target=0 0 3553;0 1 3553;0 2 3553;0 3 3553;0 4 3553;0 5 3553;0 6 3553;0 7 3553;0 8 3553;0 9 3553;0 10 3553;0 11 3553;0 12 3553;0 13 3553;0 14 3553;0 15 3553;0 16 3553;0 17 3553;0 18 3553;1 0 3553;1 1 3553;1 2 3553;1 3 3553;1 4 3553;1 5 3553;1 6 3553;1 7 3553;1 8 3553;1 9 3553;1 10 3553;1 11 3553;1 12 3553;1 13 3553;1 14 3553;1 15 3553;1 16 3553;1 17 3553;1 18 3553;2 0 3553;2 1 3553;2 2 3553;2 3 3553;2 4 3553;2 5 3553;2 6 3553;2 7 3553;2 8 3553;2 9 3553;2 10 3553;2 11 3553;2 12 3553;2 13 3553;2 14 3553;2 15 3553;2 16 3553;2 17 3553;2 18 3553;3 0 3553;3 1 3553;3 2 3553;3 3 3553;3 4 3553;3 5 3553;3 6 3553;3 7 3553;3 8 3553;3 9 3553;3 10 3553;3 11 3553;3 12 3553;3 13 3553;3 14 3553;3 15 3553;3 16 3553;3 17 3553;3 18 3553;4 0 3553;4 1 3553;4 2 3553;4 3 3553;4 4 3553;4 5 3553;4 6 3553;4 7 3553;4 8 3553;4 9 3553;4 10 3553;4 11 3553;4 12 3553;4 13 3553;4 14 3553;4 15 3553;4 16 3553;4 17 3553;4 18 3553;5 0 3553;5 1 3553;5 2 3553;5 3 3553;5 4 3553;5 5 3553;5 6 3553;5 7 3553;5 8 3553;5 9 3553;5 10 3553;5 11 3553;5 12 3553;5 13 3553;5 14 3553;5 15 3553;5 16 3553;5 17 3553;5 18 3553;6 0 3553;6 1 3553;6 2 3553;6 3 3553;6 4 3553;6 5 3553;6 6 3553;6 7 3553;6 8 3553;6 9 3553;6 10 3553;6 11 3553;6 12 3553;6 13 3553;6 14 3553;6 15 3553;6 16 3553;6 17 3553;6 18 3553 --disable-accelerated-video-decode --service-request-channel-token=49849BA2F50EBF33EAD978C1E9CA6D55 --renderer-client-id=4 --mojo-platform-channel-handle=2328 --allow-no-sandbox-job /prefetch:1",kaz.price53,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF,6274
SE808CLL,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4988
SE808CLL,notepad.exe,"""C:\Windows\system32\notepad.exe"" ",kaz.price53,C:\Windows\system32,2788
SE808CLL,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,kaz.price53,C:\ProgramData\McAfee\Direct,4522
SE808CLL,modulecoreservice.exe,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",kaz.price53,c:\program files\common files\mcafee\modulecore,3568
SE808CLL,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,1208
SE808CLL,csrss.exe,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,NT AUTHORITY\SYSTEM,C:\Windows\system32,2676
SE808CLL,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,2252
SE808CLL,svchost.exe,C:\Windows\System32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\System32,596
SE808CLL,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,3172
