hostname,name,arguments,username,path,pid
WS102FRQ,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",tyle.sim,C:\Program Files\Common Files\McAfee\VSCore_18_6,2949
WS102FRQ,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",tyle.sim,C:\Program Files\Common Files\mcafee\Platform,5924
WS102FRQ,TrustedInstaller.exe,C:\Windows\servicing\TrustedInstaller.exe,NT AUTHORITY\SYSTEM,C:\Windows\servicing,2516
WS102FRQ,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",tyle.sim,C:\Program Files\McAfee\MAT,1342
WS102FRQ,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",tyle.sim,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,3144
WS102FRQ,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",tyle.sim,C:\Program Files\Common Files\McAfee\AMCore,2768
WS102FRQ,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5576
WS102FRQ,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,3596
WS102FRQ,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,1756
WS102FRQ,csrss.exe,%SystemRoot%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024 20480 768 Windows=On SubSystemType=Windows ServerDll=basesrv 1 ServerDll=winsrv:UserServerDllInitialization 3 ServerDll=winsrv:ConServerDllInitialization 2 ServerDll=sxssrv 4 ProfileControl=Off MaxRequestThreads=16,NT AUTHORITY\SYSTEM,C:\Windows\system32,2944
WS102FRQ,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,664
WS102FRQ,GitHubDesktop.exe,"""C:\Users\tyle.sim\AppData\Local\GitHubDesktop\app-1.4.3\GitHubDesktop.exe"" --type=gpu-process --no-sandbox --supports-dual-gpus=false --gpu-driver-bug-workarounds=9 12 13 23 27 29 49 70 84 --disable-gl-extensions=""GL_KHR_blend_equation_advanced GL_KHR_blend_equation_advanced_coherent"" --gpu-vendor-id=0x8086 --gpu-device-id=0x0a16 --gpu-driver-vendor=""Intel Corporation"" --gpu-driver-version=20.19.15.4331 --gpu-driver-date=11-18-2015 --service-request-channel-token=29571E74A71F5219E432184D13D76C95 --mojo-platform-channel-handle=1732 /prefetch:2",tyle.sim,C:\Users\tyle.sim\AppData\Local\GitHubDesktop\app-1.4.3,5910
WS102FRQ,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",tyle.sim,C:\Program Files\McAfee\WebAdvisor,3949
WS102FRQ,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,2904
WS102FRQ,Dwm.exe,"""C:\Windows\system32\Dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,2864
WS102FRQ,OneDrive.exe,"""C:\Users\isl.davi87\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",isl.davi87,C:\Users\isl.davi87\AppData\Local\Microsoft\OneDrive,4561
WS102FRQ,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,1000
WS102FRQ,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",tyle.sim,C:\ProgramData\McAfee\Direct,5899
WS102FRQ,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",tyle.sim,C:\Program Files\Common Files\McAfee\TaskScheduler,1341
WS102FRQ,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,tyle.sim,C:\ProgramData\McAfee\McInstruTrack,2092
WS102FRQ,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,tyle.sim,C:\ProgramData\McAfee\Direct,2408
WS102FRQ,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,3220
WS102FRQ,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",tyle.sim,C:\Program Files\Common Files\McAfee\ModuleCore,3020
WS102FRQ,wmpnetwk.exe,"""C:\Program Files\Windows Media Player\wmpnetwk.exe""",NT AUTHORITY\SYSTEM,C:\Program Files\Windows Media Player,5800
WS102FRQ,wuauclt.exe,"""C:\Windows\system32\wuauclt.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,3464
WS102FRQ,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,C:\Windows\system32,724
