hostname,modulename,modulepath
EL0001DHA,luafv.sys,C:\Windows\system32\drivers\
EL0001DHA,dump_storport.sys,C:\Windows\System32\Drivers\
EL0001DHA,dump_vioscsi.sys,C:\Windows\System32\Drivers\
EL0001DHA,mountmgr.sys,C:\Windows\System32\drivers\
EL0001DHA,wanarp.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,rasl2tp.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,raspptp.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,Null.SYS,C:\Windows\System32\Drivers\
EL0001DHA,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,msrpc.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,kdcom.dll,C:\Windows\system32\
EL0001DHA,HTTP.sys,C:\Windows\system32\drivers\
EL0001DHA,ntoskrnl.exe,C:\Windows\system32\
EL0001DHA,serial.sys,C:\Windows\system32\drivers\
EL0001DHA,volmgr.sys,C:\Windows\system32\drivers\
EL0001DHA,tssecsrv.sys,C:\Windows\System32\DRIVERS\
EL0001DHA,msisadrv.sys,C:\Windows\system32\drivers\
EL0001DHA,serenum.sys,C:\Windows\system32\drivers\
EL0001DHA,sacdrv.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,intelppm.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,ksecdd.sys,C:\Windows\System32\Drivers\
EL0001DHA,pacer.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,bowser.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,mup.sys,C:\Windows\System32\Drivers\
EL0001DHA,rdpbus.sys,C:\Windows\system32\drivers\
EL0001DHA,vmstorfl.sys,C:\Windows\system32\drivers\
EL0001DHA,ksecpkg.sys,C:\Windows\System32\Drivers\
EL0001DHA,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,CI.dll,C:\Windows\system32\
EL0001DHA,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,ndistapi.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,rassstp.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,dxg.sys,C:\Windows\System32\drivers\
EL0001DHA,lltdio.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,TSDDD.dll,C:\Windows\System32\
EL0001DHA,pcw.sys,C:\Windows\System32\drivers\
EL0001DHA,hal.dll,C:\Windows\system32\
EL0001DHA,WMILIB.SYS,C:\Windows\system32\drivers\
EL0001DHA,i8042prt.sys,C:\Windows\system32\drivers\
EL0001DHA,tcpip.sys,C:\Windows\System32\drivers\
EL0001DHA,discache.sys,C:\Windows\System32\drivers\
EL0001DHA,nsiproxy.sys,C:\Windows\system32\drivers\
EL0001DHA,Msfs.SYS,C:\Windows\System32\Drivers\
EL0001DHA,RDPWD.SYS,C:\Windows\System32\Drivers\
EL0001DHA,tdx.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,umbus.sys,C:\Windows\system32\drivers\
EL0001DHA,netbios.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,CLASSPNP.SYS,C:\Windows\system32\drivers\
EL0001DHA,RDPDD.dll,C:\Windows\System32\
EL0001DHA,VIDEOPRT.SYS,C:\Windows\System32\drivers\
EL0001DHA,WDFLDR.SYS,C:\Windows\system32\drivers\
EL0001DHA,Fs_Rec.sys,C:\Windows\System32\Drivers\
EL0001DHA,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EL0001DHA,vdrvroot.sys,C:\Windows\system32\drivers\
EL0001DHA,ndiswan.sys,C:\Windows\system32\DRIVERS\
EL0001DHA,srv.sys,C:\Windows\System32\DRIVERS\
EL0001DHA,win32k.sys,C:\Windows\System32\
EL0001DHA,swenum.sys,C:\Windows\system32\drivers\
EL0001DHA,pci.sys,C:\Windows\system32\drivers\
EL0001DHA,fwpkclnt.sys,C:\Windows\System32\drivers\
EL0001DHA,rspndr.sys,C:\Windows\system32\DRIVERS\
