hostname,modulename,modulepath
EL0006ARI,ksecpkg.sys,C:\Windows\System32\Drivers\
EL0006ARI,volmgrx.sys,C:\Windows\System32\drivers\
EL0006ARI,dump_storport.sys,C:\Windows\System32\Drivers\
EL0006ARI,WMILIB.SYS,C:\Windows\System32\drivers\
EL0006ARI,acpiex.sys,C:\Windows\System32\Drivers\
EL0006ARI,Npfs.SYS,C:\Windows\System32\Drivers\
EL0006ARI,pacer.sys,C:\Windows\System32\drivers\
EL0006ARI,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EL0006ARI,FLTMGR.SYS,C:\Windows\System32\drivers\
EL0006ARI,ks.sys,C:\Windows\System32\drivers\
EL0006ARI,dfsc.sys,C:\Windows\System32\Drivers\
EL0006ARI,monitor.sys,C:\Windows\System32\drivers\
EL0006ARI,sacdrv.sys,C:\Windows\system32\DRIVERS\
EL0006ARI,TDI.SYS,C:\Windows\system32\DRIVERS\
EL0006ARI,bowser.sys,C:\Windows\system32\DRIVERS\
EL0006ARI,mslldp.sys,C:\Windows\system32\drivers\
EL0006ARI,RDPUDD.dll,C:\Windows\System32\
EL0006ARI,Wdf01000.sys,C:\Windows\system32\drivers\
EL0006ARI,WppRecorder.sys,C:\Windows\System32\Drivers\
EL0006ARI,mmcss.sys,C:\Windows\system32\drivers\
EL0006ARI,hal.dll,C:\Windows\system32\
EL0006ARI,cmimcext.sys,C:\Windows\System32\drivers\
EL0006ARI,ACPI.sys,C:\Windows\System32\drivers\
EL0006ARI,tm.sys,C:\Windows\System32\drivers\
EL0006ARI,srv.sys,C:\Windows\System32\DRIVERS\
EL0006ARI,luafv.sys,C:\Windows\system32\drivers\
EL0006ARI,peauth.sys,C:\Windows\system32\drivers\
EL0006ARI,mssmbios.sys,C:\Windows\System32\drivers\
EL0006ARI,intelppm.sys,C:\Windows\System32\drivers\
EL0006ARI,mountmgr.sys,C:\Windows\System32\drivers\
EL0006ARI,volsnap.sys,C:\Windows\System32\drivers\
EL0006ARI,filecrypt.sys,C:\Windows\system32\drivers\
