hostname,modulename,modulepath
SB0001TEG,rasl2tp.sys,C:\Windows\System32\drivers\
SB0001TEG,HyperVideo.sys,C:\Windows\System32\drivers\
SB0001TEG,vms3cap.sys,C:\Windows\System32\drivers\
SB0001TEG,srv.sys,C:\Windows\System32\drivers\
SB0001TEG,amdk8.sys,C:\Windows\System32\drivers\
SB0001TEG,ndiswan.sys,C:\Windows\System32\drivers\
SB0001TEG,TsUsbGD.sys,C:\Windows\System32\drivers\
SB0001TEG,asyncmac.sys,C:\Windows\System32\drivers\
SB0001TEG,bxfcoe.sys,C:\Windows\System32\drivers\
SB0001TEG,tdx.sys,C:\Windows\System32\drivers\
SB0001TEG,adp80xx.sys,C:\Windows\System32\drivers\
SB0001TEG,nvstor.sys,C:\Windows\System32\drivers\
SB0001TEG,mup.sys,C:\Windows\System32\drivers\
SB0001TEG,winmad.sys,C:\Windows\System32\drivers\
SB0001TEG,mpsdrv.sys,C:\Windows\System32\drivers\
SB0001TEG,modem.sys,C:\Windows\System32\drivers\
SB0001TEG,lsi_sas3.sys,C:\Windows\System32\drivers\
SB0001TEG,smbdirect.sys,C:\Windows\System32\drivers\
SB0001TEG,parport.sys,C:\Windows\System32\drivers\
SB0001TEG,raspptp.sys,C:\Windows\System32\drivers\
SB0001TEG,hidbatt.sys,C:\Windows\System32\drivers\
SB0001TEG,BasicRender.sys,C:\Windows\System32\drivers\
SB0001TEG,uaspstor.sys,C:\Windows\System32\drivers\
SB0001TEG,cht4vx64.sys,C:\Windows\System32\drivers\
SB0001TEG,bfadfcoei.sys,C:\Windows\System32\drivers\
SB0001TEG,processr.sys,C:\Windows\System32\drivers\
SB0001TEG,EC2WinUtilDriver.sys,C:\Windows\System32\drivers\
SB0001TEG,disk.sys,C:\Windows\System32\drivers\
SB0001TEG,stornvme.sys,C:\Windows\System32\drivers\
SB0001TEG,megasas.sys,C:\Windows\System32\drivers\
SB0001TEG,mouclass.sys,C:\Windows\System32\drivers\
SB0001TEG,netbt.sys,C:\Windows\System32\drivers\
SB0001TEG,UAGP35.SYS,C:\Windows\System32\drivers\
SB0001TEG,ahcache.sys,C:\Windows\System32\drivers\
SB0001TEG,filetrace.sys,C:\Windows\System32\drivers\
SB0001TEG,vsmraid.sys,C:\Windows\System32\drivers\
SB0001TEG,mrxsmb10.sys,C:\Windows\System32\drivers\
SB0001TEG,xenvbd.sys,C:\Windows\System32\drivers\
SB0001TEG,isapnp.sys,C:\Windows\System32\drivers\
SB0001TEG,amdxata.sys,C:\Windows\System32\drivers\
SB0001TEG,viaide.sys,C:\Windows\System32\drivers\
SB0001TEG,ksthunk.sys,C:\Windows\System32\drivers\
SB0001TEG,cdrom.sys,C:\Windows\System32\drivers\
SB0001TEG,rdpvideominiport.sys,C:\Windows\System32\drivers\
SB0001TEG,sbp2port.sys,C:\Windows\System32\drivers\
SB0001TEG,usbprint.sys,C:\Windows\System32\drivers\
SB0001TEG,USBHUB3.SYS,C:\Windows\System32\drivers\
SB0001TEG,ipnat.sys,C:\Windows\System32\drivers\
SB0001TEG,AWSNVMe.sys,C:\Windows\System32\drivers\
SB0001TEG,sisraid4.sys,C:\Windows\System32\drivers\
SB0001TEG,amdppm.sys,C:\Windows\System32\drivers\
SB0001TEG,sisraid2.sys,C:\Windows\System32\drivers\
SB0001TEG,fcvsc.sys,C:\Windows\System32\drivers\
SB0001TEG,fxppm.sys,C:\Windows\System32\drivers\
SB0001TEG,mssmbios.sys,C:\Windows\System32\drivers\
SB0001TEG,hidusb.sys,C:\Windows\System32\drivers\
SB0001TEG,http.sys,C:\Windows\System32\drivers\
SB0001TEG,SerCx2.sys,C:\Windows\System32\drivers\
SB0001TEG,bfadi.sys,C:\Windows\System32\drivers\
SB0001TEG,srvnet.sys,C:\Windows\System32\drivers\
SB0001TEG,NV_AGP.SYS,C:\Windows\System32\drivers\
SB0001TEG,mlx4_bus.sys,C:\Windows\System32\drivers\
SB0001TEG,tunnel.sys,C:\Windows\System32\drivers\
SB0001TEG,lltdio.sys,C:\Windows\System32\drivers\
SB0001TEG,raspppoe.sys,C:\Windows\System32\drivers\
SB0001TEG,winverbs.sys,C:\Windows\System32\drivers\
SB0001TEG,volmgr.sys,C:\Windows\System32\drivers\
SB0001TEG,iaStorV.sys,C:\Windows\System32\drivers\
SB0001TEG,VSTXRAID.SYS,C:\Windows\System32\drivers\
SB0001TEG,ql40xx2i.sys,C:\Windows\System32\drivers\
SB0001TEG,vdrvroot.sys,C:\Windows\System32\drivers\
SB0001TEG,netvsc63.sys,C:\Windows\System32\drivers\
SB0001TEG,cng.sys,C:\Windows\System32\drivers\
SB0001TEG,BasicDisplay.sys,C:\Windows\System32\drivers\
SB0001TEG,acpipmi.sys,C:\Windows\System32\drivers\
SB0001TEG,winnat.sys,C:\Windows\System32\drivers\
SB0001TEG,nvraid.sys,C:\Windows\System32\drivers\
SB0001TEG,appid.sys,C:\Windows\System32\drivers\
SB0001TEG,fltMgr.sys,C:\Windows\System32\drivers\
SB0001TEG,qlfcoei.sys,C:\Windows\System32\drivers\
SB0001TEG,mountmgr.sys,C:\Windows\System32\drivers\
SB0001TEG,dxgkrnl.sys,C:\Windows\System32\drivers\
SB0001TEG,sermouse.sys,C:\Windows\System32\drivers\
SB0001TEG,afd.sys,C:\Windows\System32\drivers\
SB0001TEG,lsass.exe,C:\Windows\System32\
SB0001TEG,MsLbfoProvider.sys,C:\Windows\System32\drivers\
SB0001TEG,vpci.sys,C:\Windows\System32\drivers\
SB0001TEG,pdc.sys,C:\Windows\System32\drivers\
SB0001TEG,umbus.sys,C:\Windows\System32\drivers\
SB0001TEG,wimmount.sys,C:\Windows\System32\drivers\
SB0001TEG,cdfs.sys,C:\Windows\System32\drivers\
SB0001TEG,uefi.sys,C:\Windows\System32\drivers\
