hostname,modulename,modulepath
SC0009NZU,crashdmp.sys,C:\Windows\System32\Drivers\
SC0009NZU,rdprefmp.sys,C:\Windows\system32\drivers\
SC0009NZU,ks.sys,C:\Windows\system32\drivers\
SC0009NZU,disk.sys,C:\Windows\system32\drivers\
SC0009NZU,mountmgr.sys,C:\Windows\System32\drivers\
SC0009NZU,mssmbios.sys,C:\Windows\system32\drivers\
SC0009NZU,RDPDD.dll,C:\Windows\System32\
SC0009NZU,rdpencdd.sys,C:\Windows\system32\drivers\
SC0009NZU,NETIO.SYS,C:\Windows\system32\DRIVERS\
SC0009NZU,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,pcw.sys,C:\Windows\System32\drivers\
SC0009NZU,tssecsrv.sys,C:\Windows\System32\DRIVERS\
SC0009NZU,hal.dll,C:\Windows\system32\
SC0009NZU,mpsdrv.sys,C:\Windows\System32\drivers\
SC0009NZU,RDPCDD.sys,C:\Windows\System32\DRIVERS\
SC0009NZU,NDIS.SYS,C:\Windows\system32\DRIVERS\
SC0009NZU,peauth.sys,C:\Windows\system32\drivers\
SC0009NZU,raspppoe.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,fltmgr.sys,C:\Windows\system32\drivers\
SC0009NZU,WDFLDR.SYS,C:\Windows\system32\drivers\
SC0009NZU,Fs_Rec.sys,C:\Windows\System32\Drivers\
SC0009NZU,CI.dll,C:\Windows\system32\
SC0009NZU,tunnel.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,volsnap.sys,C:\Windows\system32\drivers\
SC0009NZU,dxg.sys,C:\Windows\System32\drivers\
SC0009NZU,volmgr.sys,C:\Windows\system32\drivers\
SC0009NZU,nsiproxy.sys,C:\Windows\system32\drivers\
SC0009NZU,pvpanic.sys,C:\Windows\system32\drivers\
SC0009NZU,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,partmgr.sys,C:\Windows\System32\drivers\
SC0009NZU,Null.SYS,C:\Windows\System32\Drivers\
SC0009NZU,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,pacer.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,termdd.sys,C:\Windows\system32\drivers\
SC0009NZU,wanarp.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,mup.sys,C:\Windows\System32\Drivers\
SC0009NZU,srv2.sys,C:\Windows\System32\DRIVERS\
SC0009NZU,blbdrive.sys,C:\Windows\system32\drivers\
SC0009NZU,TSDDD.dll,C:\Windows\System32\
SC0009NZU,CLASSPNP.SYS,C:\Windows\system32\drivers\
SC0009NZU,vmstorfl.sys,C:\Windows\system32\drivers\
SC0009NZU,Msfs.SYS,C:\Windows\System32\Drivers\
SC0009NZU,srvnet.sys,C:\Windows\System32\DRIVERS\
SC0009NZU,amdxata.sys,C:\Windows\system32\drivers\
SC0009NZU,i8042prt.sys,C:\Windows\system32\drivers\
SC0009NZU,HTTP.sys,C:\Windows\system32\drivers\
SC0009NZU,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SC0009NZU,vioscsi.sys,C:\Windows\system32\drivers\
SC0009NZU,vga.sys,C:\Windows\System32\drivers\
SC0009NZU,Wdf01000.sys,C:\Windows\system32\drivers\
SC0009NZU,ntoskrnl.exe,C:\Windows\system32\
SC0009NZU,tcpipreg.sys,C:\Windows\System32\drivers\
SC0009NZU,storport.sys,C:\Windows\system32\drivers\
SC0009NZU,serenum.sys,C:\Windows\system32\drivers\
SC0009NZU,win32k.sys,C:\Windows\System32\
SC0009NZU,wfplwf.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,TDI.SYS,C:\Windows\system32\DRIVERS\
SC0009NZU,rassstp.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,bowser.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,serial.sys,C:\Windows\system32\drivers\
SC0009NZU,netkvm.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,ndiswan.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,afd.sys,C:\Windows\system32\drivers\
SC0009NZU,pci.sys,C:\Windows\system32\drivers\
SC0009NZU,volmgrx.sys,C:\Windows\System32\drivers\
SC0009NZU,rspndr.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SC0009NZU,tdx.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,PSHED.dll,C:\Windows\system32\
SC0009NZU,NDProxy.SYS,C:\Windows\System32\Drivers\
SC0009NZU,cng.sys,C:\Windows\System32\Drivers\
SC0009NZU,rdpdr.sys,C:\Windows\System32\drivers\
SC0009NZU,dfsc.sys,C:\Windows\System32\Drivers\
SC0009NZU,discache.sys,C:\Windows\System32\drivers\
SC0009NZU,rdbss.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,kbdclass.sys,C:\Windows\system32\drivers\
SC0009NZU,mouclass.sys,C:\Windows\system32\drivers\
SC0009NZU,spsys.sys,C:\Windows\system32\drivers\
SC0009NZU,intelppm.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,hwpolicy.sys,C:\Windows\System32\drivers\
SC0009NZU,tdtcp.sys,C:\Windows\system32\drivers\
SC0009NZU,fwpkclnt.sys,C:\Windows\System32\drivers\
SC0009NZU,ksecpkg.sys,C:\Windows\System32\Drivers\
SC0009NZU,spldr.sys,C:\Windows\System32\Drivers\
SC0009NZU,ksecdd.sys,C:\Windows\System32\Drivers\
SC0009NZU,watchdog.sys,C:\Windows\System32\drivers\
SC0009NZU,CLFS.SYS,C:\Windows\system32\
SC0009NZU,netbios.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,dump_storport.sys,C:\Windows\System32\Drivers\
SC0009NZU,raspptp.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,umbus.sys,C:\Windows\system32\drivers\
SC0009NZU,rdpbus.sys,C:\Windows\system32\drivers\
SC0009NZU,RDPWD.SYS,C:\Windows\System32\Drivers\
SC0009NZU,Ntfs.sys,C:\Windows\System32\Drivers\
SC0009NZU,CompositeBus.sys,C:\Windows\system32\drivers\
SC0009NZU,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SC0009NZU,lltdio.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,mrxsmb.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,msisadrv.sys,C:\Windows\system32\drivers\
SC0009NZU,Npfs.SYS,C:\Windows\System32\Drivers\
SC0009NZU,tcpip.sys,C:\Windows\System32\drivers\
SC0009NZU,netbt.sys,C:\Windows\System32\DRIVERS\
SC0009NZU,srv.sys,C:\Windows\System32\DRIVERS\
SC0009NZU,msrpc.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,vdrvroot.sys,C:\Windows\system32\drivers\
SC0009NZU,luafv.sys,C:\Windows\system32\drivers\
SC0009NZU,sacdrv.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,asyncmac.sys,C:\Windows\system32\DRIVERS\
SC0009NZU,WMILIB.SYS,C:\Windows\system32\drivers\
SC0009NZU,kdcom.dll,C:\Windows\system32\
