hostname,modulename,modulepath
SW0009UFP,rdprefmp.sys,C:\Windows\system32\drivers\
SW0009UFP,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
SW0009UFP,volmgrx.sys,C:\Windows\System32\drivers\
SW0009UFP,mssmbios.sys,C:\Windows\system32\drivers\
SW0009UFP,rasl2tp.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,Msfs.SYS,C:\Windows\System32\Drivers\
SW0009UFP,tunnel.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,cng.sys,C:\Windows\System32\Drivers\
SW0009UFP,pcw.sys,C:\Windows\System32\drivers\
SW0009UFP,peauth.sys,C:\Windows\system32\drivers\
SW0009UFP,swenum.sys,C:\Windows\system32\drivers\
SW0009UFP,Wdf01000.sys,C:\Windows\system32\drivers\
SW0009UFP,ksecdd.sys,C:\Windows\System32\Drivers\
SW0009UFP,WMILIB.SYS,C:\Windows\system32\drivers\
SW0009UFP,raspppoe.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,Ntfs.sys,C:\Windows\System32\Drivers\
SW0009UFP,mup.sys,C:\Windows\System32\Drivers\
SW0009UFP,mountmgr.sys,C:\Windows\System32\drivers\
SW0009UFP,Null.SYS,C:\Windows\System32\Drivers\
SW0009UFP,vga.sys,C:\Windows\System32\drivers\
SW0009UFP,PSHED.dll,C:\Windows\system32\
SW0009UFP,win32k.sys,C:\Windows\System32\
SW0009UFP,tcpip.sys,C:\Windows\System32\drivers\
SW0009UFP,NDIS.SYS,C:\Windows\system32\DRIVERS\
SW0009UFP,dump_storport.sys,C:\Windows\System32\Drivers\
SW0009UFP,VIDEOPRT.SYS,C:\Windows\System32\drivers\
SW0009UFP,CompositeBus.sys,C:\Windows\system32\drivers\
SW0009UFP,TSDDD.dll,C:\Windows\System32\
SW0009UFP,tdtcp.sys,C:\Windows\system32\drivers\
SW0009UFP,vmstorfl.sys,C:\Windows\system32\drivers\
SW0009UFP,tssecsrv.sys,C:\Windows\System32\DRIVERS\
SW0009UFP,fltmgr.sys,C:\Windows\system32\drivers\
SW0009UFP,srv.sys,C:\Windows\System32\DRIVERS\
SW0009UFP,rdpencdd.sys,C:\Windows\system32\drivers\
SW0009UFP,RDPCDD.sys,C:\Windows\System32\DRIVERS\
SW0009UFP,tcpipreg.sys,C:\Windows\System32\drivers\
SW0009UFP,AgileVpn.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,Fs_Rec.sys,C:\Windows\System32\Drivers\
SW0009UFP,afd.sys,C:\Windows\system32\drivers\
SW0009UFP,NDProxy.SYS,C:\Windows\System32\Drivers\
SW0009UFP,watchdog.sys,C:\Windows\System32\drivers\
SW0009UFP,partmgr.sys,C:\Windows\System32\drivers\
SW0009UFP,WDFLDR.SYS,C:\Windows\system32\drivers\
SW0009UFP,kdcom.dll,C:\Windows\system32\
SW0009UFP,TDI.SYS,C:\Windows\system32\DRIVERS\
SW0009UFP,storport.sys,C:\Windows\system32\drivers\
SW0009UFP,vioscsi.sys,C:\Windows\system32\drivers\
SW0009UFP,CLASSPNP.SYS,C:\Windows\system32\drivers\
SW0009UFP,rspndr.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,luafv.sys,C:\Windows\system32\drivers\
SW0009UFP,mouclass.sys,C:\Windows\system32\drivers\
SW0009UFP,dxg.sys,C:\Windows\System32\drivers\
SW0009UFP,tdx.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,disk.sys,C:\Windows\system32\drivers\
SW0009UFP,raspptp.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,rdbss.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,ndiswan.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,pci.sys,C:\Windows\system32\drivers\
SW0009UFP,asyncmac.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,blbdrive.sys,C:\Windows\system32\drivers\
SW0009UFP,umbus.sys,C:\Windows\system32\drivers\
SW0009UFP,CLFS.SYS,C:\Windows\system32\
SW0009UFP,bowser.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,volsnap.sys,C:\Windows\system32\drivers\
SW0009UFP,msisadrv.sys,C:\Windows\system32\drivers\
SW0009UFP,wanarp.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,Dxapi.sys,C:\Windows\System32\drivers\
SW0009UFP,crashdmp.sys,C:\Windows\System32\Drivers\
SW0009UFP,dump_vioscsi.sys,C:\Windows\System32\Drivers\
SW0009UFP,dfsc.sys,C:\Windows\System32\Drivers\
SW0009UFP,RDPWD.SYS,C:\Windows\System32\Drivers\
SW0009UFP,msrpc.sys,C:\Windows\system32\DRIVERS\
SW0009UFP,fwpkclnt.sys,C:\Windows\System32\drivers\
SW0009UFP,pvpanic.sys,C:\Windows\system32\drivers\
SW0009UFP,hal.dll,C:\Windows\system32\
SW0009UFP,srv2.sys,C:\Windows\System32\DRIVERS\
