hostname,modulename,modulepath
WC0004NXV,TsUsbGD.sys,C:\Windows\System32\drivers\
WC0004NXV,condrv.sys,C:\Windows\System32\drivers\
WC0004NXV,xenbus.sys,C:\Windows\System32\drivers\
WC0004NXV,GAGP30KX.SYS,C:\Windows\System32\drivers\
WC0004NXV,mvumis.sys,C:\Windows\System32\drivers\
WC0004NXV,NdisImPlatform.sys,C:\Windows\System32\drivers\
WC0004NXV,udfs.sys,C:\Windows\System32\drivers\
WC0004NXV,FsDepends.sys,C:\Windows\System32\drivers\
WC0004NXV,VMBusHID.sys,C:\Windows\System32\drivers\
WC0004NXV,ql2300i.sys,C:\Windows\System32\drivers\
WC0004NXV,dmvsc.sys,C:\Windows\System32\drivers\
WC0004NXV,fdc.sys,C:\Windows\System32\drivers\
WC0004NXV,sfloppy.sys,C:\Windows\System32\drivers\
WC0004NXV,acpipagr.sys,C:\Windows\System32\drivers\
WC0004NXV,vpcivsp.sys,C:\Windows\System32\drivers\
WC0004NXV,mshidkmdf.sys,C:\Windows\System32\drivers\
WC0004NXV,stornvme.sys,C:\Windows\System32\drivers\
WC0004NXV,serial.sys,C:\Windows\System32\drivers\
WC0004NXV,fltMgr.sys,C:\Windows\System32\drivers\
WC0004NXV,wimmount.sys,C:\Windows\System32\drivers\
WC0004NXV,tcpipreg.sys,C:\Windows\System32\drivers\
WC0004NXV,tunnel.sys,C:\Windows\System32\drivers\
WC0004NXV,usbohci.sys,C:\Windows\System32\drivers\
WC0004NXV,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WC0004NXV,ksecdd.sys,C:\Windows\System32\drivers\
WC0004NXV,xenfilt.sys,C:\Windows\System32\drivers\
WC0004NXV,asyncmac.sys,C:\Windows\System32\drivers\
WC0004NXV,cdfs.sys,C:\Windows\System32\drivers\
WC0004NXV,ksthunk.sys,C:\Windows\System32\drivers\
WC0004NXV,AWSNVMe.sys,C:\Windows\System32\drivers\
WC0004NXV,viaide.sys,C:\Windows\System32\drivers\
WC0004NXV,SerCx2.sys,C:\Windows\System32\drivers\
WC0004NXV,vmstorfl.sys,C:\Windows\System32\drivers\
WC0004NXV,UCX01000.SYS,C:\Windows\System32\drivers\
WC0004NXV,1394ohci.sys,C:\Windows\System32\drivers\
WC0004NXV,ibbus.sys,C:\Windows\System32\drivers\
WC0004NXV,msiscsi.sys,C:\Windows\System32\drivers\
WC0004NXV,volmgr.sys,C:\Windows\System32\drivers\
WC0004NXV,monitor.sys,C:\Windows\System32\drivers\
WC0004NXV,lsi_sss.sys,C:\Windows\System32\drivers\
WC0004NXV,hwpolicy.sys,C:\Windows\System32\drivers\
WC0004NXV,iaStorV.sys,C:\Windows\System32\drivers\
WC0004NXV,mouclass.sys,C:\Windows\System32\drivers\
WC0004NXV,atapi.sys,C:\Windows\System32\drivers\
WC0004NXV,intelppm.sys,C:\Windows\System32\drivers\
WC0004NXV,mpsdrv.sys,C:\Windows\System32\drivers\
WC0004NXV,netbios.sys,C:\Windows\System32\drivers\
WC0004NXV,winverbs.sys,C:\Windows\System32\drivers\
WC0004NXV,BasicRender.sys,C:\Windows\System32\drivers\
WC0004NXV,VSTXRAID.SYS,C:\Windows\System32\drivers\
WC0004NXV,nvraid.sys,C:\Windows\System32\drivers\
WC0004NXV,vsmraid.sys,C:\Windows\System32\drivers\
WC0004NXV,mup.sys,C:\Windows\System32\drivers\
WC0004NXV,nsiproxy.sys,C:\Windows\System32\drivers\
WC0004NXV,cng.sys,C:\Windows\System32\drivers\
WC0004NXV,wacompen.sys,C:\Windows\System32\drivers\
WC0004NXV,sacdrv.sys,C:\Windows\System32\drivers\
WC0004NXV,lsi_sas2.sys,C:\Windows\System32\drivers\
WC0004NXV,SpbCx.sys,C:\Windows\System32\drivers\
WC0004NXV,hidusb.sys,C:\Windows\System32\drivers\
WC0004NXV,pcw.sys,C:\Windows\System32\drivers\
WC0004NXV,netvsc63.sys,C:\Windows\System32\drivers\
WC0004NXV,TsUsbFlt.sys,C:\Windows\System32\drivers\
WC0004NXV,mrxsmb.sys,C:\Windows\System32\drivers\
WC0004NXV,netbt.sys,C:\Windows\System32\drivers\
WC0004NXV,ndistapi.sys,C:\Windows\System32\drivers\
WC0004NXV,rasl2tp.sys,C:\Windows\System32\drivers\
WC0004NXV,UAGP35.SYS,C:\Windows\System32\drivers\
WC0004NXV,xenvbd.sys,C:\Windows\System32\drivers\
WC0004NXV,mssmbios.sys,C:\Windows\System32\drivers\
WC0004NXV,IPMIDrv.sys,C:\Windows\System32\drivers\
WC0004NXV,winmad.sys,C:\Windows\System32\drivers\
WC0004NXV,MTConfig.sys,C:\Windows\System32\drivers\
WC0004NXV,amdppm.sys,C:\Windows\System32\drivers\
WC0004NXV,HyperVideo.sys,C:\Windows\System32\drivers\
WC0004NXV,srv2.sys,C:\Windows\System32\drivers\
WC0004NXV,wfplwfs.sys,C:\Windows\System32\drivers\
WC0004NXV,bxois.sys,C:\Windows\System32\drivers\
WC0004NXV,vxn64x64.sys,C:\Windows\System32\drivers\
WC0004NXV,srvnet.sys,C:\Windows\System32\drivers\
