hostname,modulename,modulepath
WC0008AGN,ufx01000.sys,C:\Windows\System32\drivers\
WC0008AGN,condrv.sys,C:\Windows\System32\drivers\
WC0008AGN,TeeDriverW8x64.sys,C:\Windows\System32\drivers\
WC0008AGN,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
WC0008AGN,rdbss.sys,C:\Windows\System32\drivers\
WC0008AGN,iaLPSSi_GPIO.sys,C:\Windows\System32\drivers\
WC0008AGN,megasas.sys,C:\Windows\System32\drivers\
WC0008AGN,TsUsbFlt.sys,C:\Windows\System32\drivers\
WC0008AGN,pci.sys,C:\Windows\System32\drivers\
WC0008AGN,usbccgp.sys,C:\Windows\System32\drivers\
WC0008AGN,dxgkrnl.sys,C:\Windows\System32\drivers\
WC0008AGN,terminpt.sys,C:\Windows\System32\drivers\
WC0008AGN,RtsUer.sys,C:\Windows\System32\drivers\
WC0008AGN,stexstor.sys,C:\Windows\System32\drivers\
WC0008AGN,mspqm.sys,C:\Windows\System32\drivers\
WC0008AGN,Ucx01000.sys,C:\Windows\System32\drivers\
WC0008AGN,mspclock.sys,C:\Windows\System32\drivers\
WC0008AGN,BTHUSB.SYS,C:\Windows\System32\drivers\
WC0008AGN,WdBoot.sys,C:\Windows\System32\drivers\wd\
WC0008AGN,http.sys,C:\Windows\System32\drivers\
WC0008AGN,bindflt.sys,C:\Windows\System32\drivers\
WC0008AGN,fdc.sys,C:\Windows\System32\drivers\
WC0008AGN,evbda.sys,C:\Windows\System32\drivers\
WC0008AGN,FsDepends.sys,C:\Windows\System32\drivers\
WC0008AGN,hvservice.sys,C:\Windows\System32\drivers\
WC0008AGN,iaLPSS2i_I2C_BXT_P.sys,C:\Windows\System32\drivers\
WC0008AGN,SerCx2.sys,C:\Windows\System32\drivers\
WC0008AGN,UfxChipidea.sys,C:\Windows\System32\drivers\
WC0008AGN,lsi_sas2i.sys,C:\Windows\System32\drivers\
WC0008AGN,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_bcb89b3386563bd7\
WC0008AGN,megasr.sys,C:\Windows\System32\drivers\
WC0008AGN,bridge.sys,C:\Windows\System32\drivers\
WC0008AGN,netbios.sys,C:\Windows\System32\drivers\
WC0008AGN,hidir.sys,C:\Windows\System32\drivers\
WC0008AGN,netbt.sys,C:\Windows\System32\drivers\
WC0008AGN,winmad.sys,C:\Windows\System32\drivers\
WC0008AGN,circlass.sys,C:\Windows\System32\drivers\
WC0008AGN,usbser.sys,C:\Windows\System32\drivers\
WC0008AGN,parport.sys,C:\Windows\System32\drivers\
WC0008AGN,srv2.sys,C:\Windows\System32\drivers\
WC0008AGN,wimmount.sys,C:\Windows\System32\drivers\
WC0008AGN,bttflt.sys,C:\Windows\System32\drivers\
WC0008AGN,pciide.sys,C:\Windows\System32\drivers\
WC0008AGN,rassstp.sys,C:\Windows\System32\drivers\
WC0008AGN,agilevpn.sys,C:\Windows\System32\drivers\
WC0008AGN,pnpmem.sys,C:\Windows\System32\drivers\
WC0008AGN,mssmbios.sys,C:\Windows\System32\drivers\
WC0008AGN,fltMgr.sys,C:\Windows\System32\drivers\
WC0008AGN,rdpdr.sys,C:\Windows\System32\drivers\
WC0008AGN,vhf.sys,C:\Windows\System32\drivers\
WC0008AGN,MegaSas2i.sys,C:\Windows\System32\drivers\
WC0008AGN,hidinterrupt.sys,C:\Windows\System32\drivers\
WC0008AGN,ETD.sys,C:\Windows\System32\drivers\
WC0008AGN,drmkaud.sys,C:\Windows\System32\drivers\
WC0008AGN,intelide.sys,C:\Windows\System32\drivers\
WC0008AGN,ndistapi.sys,C:\Windows\System32\drivers\
WC0008AGN,IndirectKmd.sys,C:\Windows\System32\drivers\
WC0008AGN,isapnp.sys,C:\Windows\System32\drivers\
WC0008AGN,IntcDAud.sys,C:\Windows\System32\drivers\
WC0008AGN,irda.sys,C:\Windows\System32\drivers\
WC0008AGN,mausbip.sys,C:\Windows\System32\drivers\
WC0008AGN,mountmgr.sys,C:\Windows\System32\drivers\
WC0008AGN,megasas35i.sys,C:\Windows\System32\drivers\
WC0008AGN,iagpio.sys,C:\Windows\System32\drivers\
WC0008AGN,msiscsi.sys,C:\Windows\System32\drivers\
WC0008AGN,acpi.sys,C:\Windows\System32\drivers\
WC0008AGN,umpass.sys,C:\Windows\System32\drivers\
WC0008AGN,mvumis.sys,C:\Windows\System32\drivers\
WC0008AGN,afunix.sys,C:\Windows\System32\drivers\
WC0008AGN,Wdf01000.sys,C:\Windows\System32\drivers\
WC0008AGN,BasicRender.sys,C:\Windows\System32\drivers\
WC0008AGN,uefi.sys,C:\Windows\System32\drivers\
WC0008AGN,ndiswan.sys,C:\Windows\System32\drivers\
WC0008AGN,volsnap.sys,C:\Windows\System32\drivers\
WC0008AGN,sdstor.sys,C:\Windows\System32\drivers\
WC0008AGN,CmBatt.sys,C:\Windows\System32\drivers\
