hostname,modulename,modulepath
WL0003CQY,umbus.sys,C:\Windows\System32\drivers\
WL0003CQY,intelppm.sys,C:\Windows\System32\drivers\
WL0003CQY,CI.dll,C:\Windows\system32\
WL0003CQY,volmgr.sys,C:\Windows\System32\drivers\
WL0003CQY,BOOTVID.dll,C:\Windows\system32\
WL0003CQY,cng.sys,C:\Windows\System32\drivers\
WL0003CQY,mouclass.sys,C:\Windows\System32\drivers\
WL0003CQY,tcpip.sys,C:\Windows\System32\drivers\
WL0003CQY,kdcom.dll,C:\Windows\system
WL0003CQY,dfsc.sys,C:\Windows\System32\Drivers\
WL0003CQY,mmcss.sys,C:\Windows\system32\drivers\
WL0003CQY,ntoskrnl.exe,C:\Windows\system32\
WL0003CQY,mpsdrv.sys,C:\Windows\System32\drivers\
WL0003CQY,netbt.sys,C:\Windows\System32\DRIVERS\
WL0003CQY,TDI.SYS,C:\Windows\system32\DRIVERS\
WL0003CQY,netkvm.sys,C:\Windows\System32\drivers\
WL0003CQY,rdbss.sys,C:\Windows\system32\DRIVERS\
WL0003CQY,NTFS.sys,C:\Windows\System32\Drivers\
WL0003CQY,win32k.sys,C:\Windows\System32\
WL0003CQY,clipsp.sys,C:\Windows\System32\drivers\
WL0003CQY,vdrvroot.sys,C:\Windows\System32\drivers\
WL0003CQY,i8042prt.sys,C:\Windows\System32\drivers\
WL0003CQY,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
WL0003CQY,peauth.sys,C:\Windows\system32\drivers\
WL0003CQY,PSHED.dll,C:\Windows\system32\
WL0003CQY,crashdmp.sys,C:\Windows\System32\Drivers\
WL0003CQY,volsnap.sys,C:\Windows\System32\drivers\
WL0003CQY,NDIS.SYS,C:\Windows\system32\DRIVERS\
WL0003CQY,ks.sys,C:\Windows\System32\drivers\
WL0003CQY,luafv.sys,C:\Windows\system32\drivers\
WL0003CQY,msisadrv.sys,C:\Windows\System32\drivers\
WL0003CQY,partmgr.sys,C:\Windows\System32\drivers\
WL0003CQY,srv2.sys,C:\Windows\System32\DRIVERS\
WL0003CQY,dump_storport.sys,C:\Windows\System32\Drivers\
WL0003CQY,swenum.sys,C:\Windows\System32\drivers\
WL0003CQY,storport.sys,C:\Windows\System32\drivers\
WL0003CQY,NETIO.SYS,C:\Windows\system32\DRIVERS\
WL0003CQY,pacer.sys,C:\Windows\System32\drivers\
WL0003CQY,ACPI.sys,C:\Windows\System32\drivers\
WL0003CQY,WMILIB.SYS,C:\Windows\System32\drivers\
WL0003CQY,bowser.sys,C:\Windows\system32\DRIVERS\
WL0003CQY,pdc.sys,C:\Windows\system32\drivers\
WL0003CQY,mssmbios.sys,C:\Windows\System32\drivers\
WL0003CQY,pci.sys,C:\Windows\System32\drivers\
WL0003CQY,Fs_Rec.sys,C:\Windows\System32\Drivers\
WL0003CQY,Null.SYS,C:\Windows\System32\Drivers\
WL0003CQY,nsiproxy.sys,C:\Windows\system32\drivers\
WL0003CQY,CLASSPNP.SYS,C:\Windows\System32\drivers\
WL0003CQY,fwpkclnt.sys,C:\Windows\System32\drivers\
WL0003CQY,Msfs.SYS,C:\Windows\System32\Drivers\
WL0003CQY,tcpipreg.sys,C:\Windows\System32\drivers\
WL0003CQY,CEA.sys,C:\Windows\system32\drivers\
WL0003CQY,filecrypt.sys,C:\Windows\system32\drivers\
WL0003CQY,mrxsmb.sys,C:\Windows\system32\DRIVERS\
WL0003CQY,dump_vioscsi.sys,C:\Windows\System32\Drivers\
WL0003CQY,HIDPARSE.SYS,C:\Windows\System32\drivers\
WL0003CQY,RDPUDD.dll,C:\Windows\System32\
WL0003CQY,ksecdd.sys,C:\Windows\System32\drivers\
WL0003CQY,pcw.sys,C:\Windows\System32\drivers\
WL0003CQY,mslldp.sys,C:\Windows\system32\drivers\
WL0003CQY,ksecpkg.sys,C:\Windows\System32\Drivers\
WL0003CQY,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
WL0003CQY,EhStorClass.sys,C:\Windows\System32\drivers\
WL0003CQY,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
WL0003CQY,WDFLDR.SYS,C:\Windows\system32\drivers\
WL0003CQY,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WL0003CQY,disk.sys,C:\Windows\System32\drivers\
WL0003CQY,ntosext.sys,C:\Windows\System32\drivers\
WL0003CQY,CLFS.SYS,C:\Windows\System32\drivers\
WL0003CQY,afd.sys,C:\Windows\system32\drivers\
WL0003CQY,rspndr.sys,C:\Windows\system32\drivers\
WL0003CQY,msrpc.sys,C:\Windows\System32\drivers\
WL0003CQY,tm.sys,C:\Windows\System32\drivers\
WL0003CQY,npsvctrig.sys,C:\Windows\System32\drivers\
WL0003CQY,tbs.sys,C:\Windows\system32\drivers\
WL0003CQY,mountmgr.sys,C:\Windows\System32\drivers\
WL0003CQY,rdpvideominiport.sys,C:\Windows\System32\drivers\
WL0003CQY,registry.sys,C:\Windows\System32\drivers\
WL0003CQY,dxgmms2.sys,C:\Windows\System32\drivers\
WL0003CQY,vioscsi.sys,C:\Windows\System32\drivers\
WL0003CQY,tunnel.sys,C:\Windows\System32\drivers\
WL0003CQY,spaceport.sys,C:\Windows\System32\drivers\
WL0003CQY,WdFilter.sys,C:\Windows\system32\drivers\
WL0003CQY,werkernel.sys,C:\Windows\System32\drivers\
WL0003CQY,kdnic.sys,C:\Windows\System32\drivers\
