hostname,modulename,modulepath
WN0001CYN,nsiproxy.sys,C:\Windows\system32\drivers\
WN0001CYN,disk.sys,C:\Windows\system32\drivers\
WN0001CYN,netbt.sys,C:\Windows\System32\DRIVERS\
WN0001CYN,RDPWD.SYS,C:\Windows\System32\Drivers\
WN0001CYN,Dxapi.sys,C:\Windows\System32\drivers\
WN0001CYN,volsnap.sys,C:\Windows\system32\drivers\
WN0001CYN,rdbss.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,discache.sys,C:\Windows\System32\drivers\
WN0001CYN,vioscsi.sys,C:\Windows\system32\drivers\
WN0001CYN,msrpc.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,Npfs.SYS,C:\Windows\System32\Drivers\
WN0001CYN,raspppoe.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,mpsdrv.sys,C:\Windows\System32\drivers\
WN0001CYN,CLASSPNP.SYS,C:\Windows\system32\drivers\
WN0001CYN,TDI.SYS,C:\Windows\system32\DRIVERS\
WN0001CYN,ACPI.sys,C:\Windows\system32\drivers\
WN0001CYN,rdpdr.sys,C:\Windows\System32\drivers\
WN0001CYN,pacer.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,volmgr.sys,C:\Windows\system32\drivers\
WN0001CYN,storport.sys,C:\Windows\system32\drivers\
WN0001CYN,cng.sys,C:\Windows\System32\Drivers\
WN0001CYN,luafv.sys,C:\Windows\system32\drivers\
WN0001CYN,NDIS.SYS,C:\Windows\system32\DRIVERS\
WN0001CYN,Msfs.SYS,C:\Windows\System32\Drivers\
WN0001CYN,partmgr.sys,C:\Windows\System32\drivers\
WN0001CYN,dump_storport.sys,C:\Windows\System32\Drivers\
WN0001CYN,sacdrv.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,msisadrv.sys,C:\Windows\system32\drivers\
WN0001CYN,Ntfs.sys,C:\Windows\System32\Drivers\
WN0001CYN,afd.sys,C:\Windows\system32\drivers\
WN0001CYN,termdd.sys,C:\Windows\system32\drivers\
WN0001CYN,fltmgr.sys,C:\Windows\system32\drivers\
WN0001CYN,mrxsmb.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,tdtcp.sys,C:\Windows\system32\drivers\
WN0001CYN,tcpipreg.sys,C:\Windows\System32\drivers\
WN0001CYN,dfsc.sys,C:\Windows\System32\Drivers\
WN0001CYN,ndiswan.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,NETIO.SYS,C:\Windows\system32\DRIVERS\
WN0001CYN,rdpbus.sys,C:\Windows\system32\drivers\
WN0001CYN,hwpolicy.sys,C:\Windows\System32\drivers\
WN0001CYN,vga.sys,C:\Windows\System32\drivers\
WN0001CYN,netbios.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,tssecsrv.sys,C:\Windows\System32\DRIVERS\
WN0001CYN,mouclass.sys,C:\Windows\system32\drivers\
WN0001CYN,bowser.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,amdxata.sys,C:\Windows\system32\drivers\
WN0001CYN,srv2.sys,C:\Windows\System32\DRIVERS\
WN0001CYN,mssmbios.sys,C:\Windows\system32\drivers\
WN0001CYN,AgileVpn.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,mup.sys,C:\Windows\System32\Drivers\
WN0001CYN,serenum.sys,C:\Windows\system32\drivers\
WN0001CYN,i8042prt.sys,C:\Windows\system32\drivers\
WN0001CYN,rassstp.sys,C:\Windows\system32\DRIVERS\
WN0001CYN,TSDDD.dll,C:\Windows\System32\
WN0001CYN,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
