hostname,modulename,modulepath
WN0003DTX,compbatt.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,vdrvroot.sys,C:\Windows\system32\drivers\
WN0003DTX,mssmbios.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,drmk.sys,C:\Windows\system32\drivers\
WN0003DTX,Npfs.SYS,C:\Windows\System32\Drivers\
WN0003DTX,wanarp.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,USBPORT.SYS,C:\Windows\system32\DRIVERS\
WN0003DTX,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,HTTP.sys,C:\Windows\system32\drivers\
WN0003DTX,volsnap.sys,C:\Windows\system32\drivers\
WN0003DTX,usbhub.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,dump_dumpfve.sys,C:\Windows\System32\Drivers\
WN0003DTX,BATTC.SYS,C:\Windows\system32\DRIVERS\
WN0003DTX,raspptp.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,swenum.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,spldr.sys,C:\Windows\System32\Drivers\
WN0003DTX,rdpbus.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,fwpkclnt.sys,C:\Windows\System32\drivers\
WN0003DTX,Dxapi.sys,C:\Windows\System32\drivers\
WN0003DTX,luafv.sys,C:\Windows\system32\drivers\
WN0003DTX,blbdrive.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,vga.sys,C:\Windows\System32\drivers\
WN0003DTX,intelppm.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,E1G6032E.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,rspndr.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,VBoxDisp.dll,C:\Windows\System32\
WN0003DTX,srvnet.sys,C:\Windows\System32\DRIVERS\
WN0003DTX,rdpencdd.sys,C:\Windows\system32\drivers\
WN0003DTX,dump_msahci.sys,C:\Windows\System32\Drivers\
WN0003DTX,srv.sys,C:\Windows\System32\DRIVERS\
WN0003DTX,Fs_Rec.sys,C:\Windows\System32\Drivers\
WN0003DTX,raspppoe.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,crashdmp.sys,C:\Windows\System32\Drivers\
WN0003DTX,CLASSPNP.SYS,C:\Windows\system32\drivers\
WN0003DTX,Beep.SYS,C:\Windows\System32\Drivers\
WN0003DTX,kdcom.dll,C:\Windows\system32\
WN0003DTX,dump_pciidex.sys,C:\Windows\System32\Drivers\
WN0003DTX,Wdf01000.sys,C:\Windows\system32\drivers\
WN0003DTX,lltdio.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,kbdclass.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,wfplwf.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,AgileVpn.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,netbt.sys,C:\Windows\System32\DRIVERS\
WN0003DTX,win32k.sys,C:\Windows\System32\
WN0003DTX,NETIO.SYS,C:\Windows\system32\drivers\
WN0003DTX,cdrom.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,TDI.SYS,C:\Windows\system32\DRIVERS\
WN0003DTX,usbohci.sys,C:\Windows\system32\DRIVERS\
WN0003DTX,cdfs.sys,C:\Windows\system32\DRIVERS\
