hostname,modulename,modulepath
WN0007JFY,wcnfs.sys,C:\Windows\System32\drivers\
WN0007JFY,intelpep.sys,C:\Windows\System32\drivers\
WN0007JFY,wcifs.sys,C:\Windows\System32\drivers\
WN0007JFY,IntcDAud.sys,C:\Windows\System32\drivers\
WN0007JFY,CAD.sys,C:\Windows\System32\drivers\
WN0007JFY,acpitime.sys,C:\Windows\System32\drivers\
WN0007JFY,vmswitch.sys,C:\Windows\System32\drivers\
WN0007JFY,TeeDriverW8x64.sys,C:\Windows\System32\drivers\
WN0007JFY,SerCx.sys,C:\Windows\System32\drivers\
WN0007JFY,cnghwassist.sys,C:\Windows\System32\drivers\
WN0007JFY,dmvsc.sys,C:\Windows\System32\drivers\
WN0007JFY,ndiscap.sys,C:\Windows\System32\drivers\
WN0007JFY,ibtusb.sys,C:\Windows\System32\drivers\
WN0007JFY,kbdclass.sys,C:\Windows\System32\drivers\
WN0007JFY,megasas.sys,C:\Windows\System32\drivers\
WN0007JFY,lsi_sas2i.sys,C:\Windows\System32\drivers\
WN0007JFY,rdbss.sys,C:\Windows\System32\drivers\
WN0007JFY,HpSAMD.sys,C:\Windows\System32\drivers\
WN0007JFY,dptf_cpu.sys,C:\Windows\System32\drivers\
WN0007JFY,vwififlt.sys,C:\Windows\System32\drivers\
WN0007JFY,ItSas35i.sys,C:\Windows\System32\drivers\
WN0007JFY,storahci.sys,C:\Windows\System32\drivers\
WN0007JFY,usbser.sys,C:\Windows\System32\drivers\
WN0007JFY,ndproxy.sys,C:\Windows\System32\drivers\
WN0007JFY,kbdhid.sys,C:\Windows\System32\drivers\
WN0007JFY,usbhub.sys,C:\Windows\System32\drivers\
WN0007JFY,sdstor.sys,C:\Windows\System32\drivers\
WN0007JFY,AcpiDev.sys,C:\Windows\System32\drivers\
WN0007JFY,sfloppy.sys,C:\Windows\System32\drivers\
WN0007JFY,mvumis.sys,C:\Windows\System32\drivers\
WN0007JFY,BTHUSB.SYS,C:\Windows\System32\drivers\
WN0007JFY,hidbth.sys,C:\Windows\System32\drivers\
WN0007JFY,nsiproxy.sys,C:\Windows\System32\drivers\
WN0007JFY,mlx4_bus.sys,C:\Windows\System32\drivers\
WN0007JFY,EhStorClass.sys,C:\Windows\System32\drivers\
WN0007JFY,flpydisk.sys,C:\Windows\System32\drivers\
WN0007JFY,winusb.sys,C:\Windows\System32\drivers\
WN0007JFY,SpatialGraphFilter.sys,C:\Windows\System32\drivers\
WN0007JFY,NetAdapterCx.sys,C:\Windows\System32\drivers\
WN0007JFY,vhdmp.sys,C:\Windows\System32\drivers\
WN0007JFY,urssynopsys.sys,C:\Windows\System32\drivers\
WN0007JFY,fvevol.sys,C:\Windows\System32\drivers\
WN0007JFY,WdBoot.sys,C:\Windows\System32\drivers\wd\
WN0007JFY,vhf.sys,C:\Windows\System32\drivers\
WN0007JFY,Udecx.sys,C:\Windows\System32\drivers\
WN0007JFY,raspppoe.sys,C:\Windows\System32\drivers\
WN0007JFY,buttonconverter.sys,C:\Windows\System32\drivers\
WN0007JFY,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
WN0007JFY,WdmCompanionFilter.sys,C:\Windows\System32\drivers\
WN0007JFY,ws2ifsl.sys,C:\Windows\System32\drivers\
WN0007JFY,ksthunk.sys,C:\Windows\System32\drivers\
WN0007JFY,iorate.sys,C:\Windows\System32\drivers\
WN0007JFY,lsass.exe,C:\Windows\System32\
WN0007JFY,usbohci.sys,C:\Windows\System32\drivers\
WN0007JFY,terminpt.sys,C:\Windows\System32\drivers\
WN0007JFY,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WN0007JFY,ibbus.sys,C:\Windows\System32\drivers\
WN0007JFY,mountmgr.sys,C:\Windows\System32\drivers\
WN0007JFY,npsvctrig.sys,C:\Windows\System32\drivers\
WN0007JFY,vdrvroot.sys,C:\Windows\System32\drivers\
WN0007JFY,volsnap.sys,C:\Windows\System32\drivers\
WN0007JFY,msgpiowin32.sys,C:\Windows\System32\drivers\
WN0007JFY,vwifimp.sys,C:\Windows\System32\drivers\
WN0007JFY,gpuenergydrv.sys,C:\Windows\System32\drivers\
WN0007JFY,pcw.sys,C:\Windows\System32\drivers\
WN0007JFY,RtsUer.sys,C:\Windows\System32\drivers\
WN0007JFY,HyperVideo.sys,C:\Windows\System32\drivers\
WN0007JFY,serenum.sys,C:\Windows\System32\drivers\
WN0007JFY,TsUsbGD.sys,C:\Windows\System32\drivers\
WN0007JFY,agilevpn.sys,C:\Windows\System32\drivers\
WN0007JFY,lxss.sys,C:\Windows\System32\drivers\
WN0007JFY,nwifi.sys,C:\Windows\System32\drivers\
WN0007JFY,lsi_sas3i.sys,C:\Windows\System32\drivers\
WN0007JFY,TsUsbFlt.sys,C:\Windows\System32\drivers\
WN0007JFY,ksecdd.sys,C:\Windows\System32\drivers\
WN0007JFY,pci.sys,C:\Windows\System32\drivers\
