hostname,fullpath,filepath,drive,filename,fileextension,username
NS0007VZI,c:\Windows\ehome\ehjpnime.dll,Windows\ehome,c,ehjpnime.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dimsjob.dll,Windows\System32,c,dimsjob.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\bthserv.dll,Windows\System32,c,bthserv.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\sppuinotify.dll,Windows\System32,c,sppuinotify.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wavemsp.dll,Windows\System32,c,wavemsp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\usbceip.dll,Windows\System32,c,usbceip.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wmcodecdspps.dll,Windows\System32,c,wmcodecdspps.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\WlanMM.dll,Windows\System32,c,WlanMM.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\RPCNDFP.dll,Windows\System32,c,RPCNDFP.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\srchadmin.dll,Windows\System32,c,srchadmin.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\auxiliarydisplayservices.dll,Windows\System32,c,auxiliarydisplayservices.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\kstvtune.ax,Windows\SysWOW64,c,kstvtune.ax,ax,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wiadefui.dll,Windows\System32,c,wiadefui.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\mpg2splt.ax,Windows\SysWOW64,c,mpg2splt.ax,ax,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dpapiprovider.dll,Windows\System32,c,dpapiprovider.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\ipsecsnp.dll,Windows\System32,c,ipsecsnp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\scripto.dll,Windows\SysWOW64,c,scripto.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\presentationhostproxy.dll,Windows\SysWOW64,c,presentationhostproxy.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\deskadp.dll,Windows\System32,c,deskadp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\perftrack.dll,Windows\System32,c,perftrack.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\useraccountcontrolsettings.dll,Windows\System32,c,useraccountcontrolsettings.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\vdsvd.dll,Windows\System32,c,vdsvd.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\wfplwf.sys,Windows\System32\drivers,c,wfplwf.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\Query.dll,Windows\System32,c,Query.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wdmaud.drv,Windows\System32,c,wdmaud.drv,drv,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\groupinghc.dll,Windows\System32,c,groupinghc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\icardie.dll,Windows\SysWOW64,c,icardie.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wlanui.dll,Windows\System32,c,wlanui.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msdtcprx.dll,Windows\System32,c,msdtcprx.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\MSAC3ENC.DLL,Windows\System32,c,MSAC3ENC.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\prntvpt.dll,Windows\System32,c,prntvpt.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\vbscript.dll,Windows\SysWOW64,c,vbscript.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Windows\System32\kernel32.dll,Windows\System32,C,kernel32.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\MPG4DECD.DLL,Windows\System32,c,MPG4DECD.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\fsdepends.sys,Windows\System32\drivers,c,fsdepends.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\wmiperfinst.dll,Windows\System32\wbem,c,wmiperfinst.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\portabledevicetypes.dll,Windows\SysWOW64,c,portabledevicetypes.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msnetobj.dll,Windows\System32,c,msnetobj.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\cscsvc.dll,Windows\System32,c,cscsvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\IME\IMEJP10\APPLETS\IMJPSKF.DLL,Windows\System32\IME\IMEJP10\APPLETS,c,IMJPSKF.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\bidispl.dll,Windows\System32,c,bidispl.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\shell32.dll,Windows\System32,c,shell32.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\appwiz.cpl,Windows\System32,c,appwiz.cpl,cpl,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\ipbusenum.dll,Windows\System32,c,ipbusenum.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\IME\SPTIP.DLL,Windows\IME,c,SPTIP.DLL,DLL,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wpcumi.dll,Windows\System32,c,wpcumi.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\termdd.sys,Windows\System32\drivers,c,termdd.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wecsvc.dll,Windows\System32,c,wecsvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msiexec.exe,Windows\System32,c,msiexec.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\mfc42u.dll,Windows\SysWOW64,c,mfc42u.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\ehome\ehchtime.dll,Windows\ehome,c,ehchtime.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\fvevol.sys,Windows\System32\drivers,c,fvevol.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\wbemcons.dll,Windows\System32\wbem,c,wbemcons.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mssha.dll,Windows\System32,c,mssha.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wiavideo.dll,Windows\System32,c,wiavideo.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dxdiagn.dll,Windows\System32,c,dxdiagn.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\cryptext.dll,Windows\System32,c,cryptext.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\servicing\trustedinstaller.exe,Windows\servicing,c,trustedinstaller.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\searchindexer.exe,Windows\System32,c,searchindexer.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\rdpendp.dll,Windows\System32,c,rdpendp.dll,dll,NT SERVICE\TrustedInstaller
NS0007VZI,c:\Windows\System32\sensrsvc.dll,Windows\System32,c,sensrsvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Windows\System32\imm32.dll,Windows\System32,C,imm32.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\cabview.dll,Windows\System32,c,cabview.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\mfmjpegdec.dll,Windows\System32,c,mfmjpegdec.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\msrdpwebaccess.dll,Windows\System32,c,msrdpwebaccess.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\DDORes.dll,Windows\System32,c,DDORes.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Program Files\Common Files\Microsoft Shared\ink\tpcps.dll,Program Files\Common Files\Microsoft Shared\ink,C,tpcps.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Windows\System32\comdlg32.dll,Windows\System32,C,comdlg32.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Program Files\Common Files\Microsoft Shared\ink\rtscom.dll,Program Files\Common Files\Microsoft Shared\ink,C,rtscom.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\FXSCOMEX.dll,Windows\System32,c,FXSCOMEX.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\VSSVC.exe,Windows\System32,c,VSSVC.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wpdshext.dll,Windows\System32,c,wpdshext.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\aelupsvc.dll,Windows\System32,c,aelupsvc.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\amdk8.sys,Windows\System32\drivers,c,amdk8.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\rasauto.dll,Windows\System32,c,rasauto.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\ui0detect.exe,Windows\System32,c,ui0detect.exe,exe,NT AUTHORITY\SYSTEM
NS0007VZI,C:\Program Files (x86)\Common Files\SpeechEngines\Microsoft\TTS20\MSTTSDecWrp.dll,Program Files (x86)\Common Files\SpeechEngines\Microsoft\TTS20,C,MSTTSDecWrp.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\shimgvw.dll,Windows\System32,c,shimgvw.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\SysFxUI.dll,Windows\System32,c,SysFxUI.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\wbem\fastprox.dll,Windows\System32\wbem,c,fastprox.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\tcpipcfg.dll,Windows\System32,c,tcpipcfg.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\SysWOW64\iscsiwmi.dll,Windows\SysWOW64,c,iscsiwmi.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\devmgr.dll,Windows\System32,c,devmgr.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\drivers\sbp2port.sys,Windows\System32\drivers,c,sbp2port.sys,sys,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\dsdmo.dll,Windows\System32,c,dsdmo.dll,dll,NT AUTHORITY\SYSTEM
NS0007VZI,c:\Windows\System32\appidpolicyengineapi.dll,Windows\System32,c,appidpolicyengineapi.dll,dll,NT AUTHORITY\SYSTEM
