hostname,name,pid,descriptivename,description,path,pathmd5sum,arguments,pathcertificatesubject,pathsignatureverified,pathsignaturedescription,pathcertificateissuer
NN0004ESG,mrxsmb20,0,SMB 2.0 MiniRedirector,Implements the SMB 2.0 protocol  which provides connectivity to network resources on Windows Vista and later servers,C:\Windows\System32\drivers\mrxsmb20.sys,f1e7e6fe9eec9e79be43a7132cd164c7,system32\DRIVERS\mrxsmb20.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,usbser,0,Microsoft USB Serial Driver,,C:\Windows\System32\drivers\usbser.sys,addfbfa04255f1c85840de1fc434cbc2,\SystemRoot\System32\drivers\usbser.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,vmicguestinterface,0,Hyper-V Guest Service Interface,Provides an interface for the Hyper-V host to interact with specific services running inside the virtual machine.,C:\Windows\System32\svchost.exe,effaeb301e4ae63f22ed0c66b46bed50,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,wanarpv6,0,Remote Access IPv6 ARP Driver,Remote Access IPv6 ARP Driver,C:\Windows\System32\drivers\wanarp.sys,ba8484a50b8c9c14f623fa8579123165,System32\DRIVERS\wanarp.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,hidserv,0,Human Interface Device Service,Activates and maintains the use of hot buttons on keyboards  remote controls  and other multimedia devices. It is recommended that you keep this service running.,C:\Windows\System32\svchost.exe,effaeb301e4ae63f22ed0c66b46bed50,C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,SCardSvr,0,Smart Card,Manages access to smart cards read by this computer. If this service is stopped  this computer will be unable to read smart cards. If this service is disabled  any services that explicitly depend on it will fail to start.,C:\Windows\System32\svchost.exe,effaeb301e4ae63f22ed0c66b46bed50,C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,pdc,0,pdc,Power Dependency Coordinator Driver,C:\Windows\System32\drivers\pdc.sys,9937fa43323661fc7d7cfb7c91152a6a,\SystemRoot\system32\drivers\pdc.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,dam,0,Desktop Activity Moderator Driver,Controls activity of desktop applications,C:\Windows\System32\drivers\dam.sys,03e39f9c8bd9fbb86ac162fb0116b23f,system32\drivers\dam.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,AppMgmt,0,Application Management,Processes installation  removal  and enumeration requests for software deployed through Group Policy. If the service is disabled  users will be unable to install  remove  or enumerate software deployed through Group Policy. If this service is disabled  any services that explicitly depend on it will fail to start.,C:\Windows\System32\svchost.exe,effaeb301e4ae63f22ed0c66b46bed50,C:\Windows\system32\svchost.exe -k netsvcs,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
NN0004ESG,EntAppSvc,0,Enterprise App Management Service,Enables enterprise application management.,C:\Windows\System32\svchost.exe,effaeb301e4ae63f22ed0c66b46bed50,C:\Windows\system32\svchost.exe -k appmodel,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Production PCA 2011
