hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
ES0001FTZ,1860,C:\Windows\System32\esent.dll,4b1e44d1c9cf12a333e23e0d3296d425,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,4128,C:\Windows\System32\apisetschema.dll,a30a871d7c09331f9a36366f83910cbe,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1860,C:\Windows\System32\pnrpnsp.dll,f356bc43b68a2be7bc61f8d5e1f734b8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1448,C:\Windows\System32\SPInf.dll,b62b511f1d5ca8682985bf8d35976d45,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1448,C:\Windows\System32\msxml6r.dll,7256bf795b1ddb33971525fd79b3ab11,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,5440,C:\Windows\System32\en-US\dwm.exe.mui,9e034a70ff61bf9a12af083f4f44aafe,true,true,The file is signed and the signature was verified.,Microsoft Windows,
ES0001FTZ,3036,C:\Windows\System32\locale.nls,ced4d84ddc146b1f0a7666f00088d1b4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1448,C:\Windows\System32\cfgmgr32.dll,a6bce4e69c7e9ece324eed6bf53a7329,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,4212,C:\Windows\System32\ssdpapi.dll,172174eb7bc6e63db9fbf0cc2e96f39d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1756,C:\Windows\System32\dhcpcsvc.dll,c4d3c9ebcf89b9e028f317ba3f2883fb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,4128,C:\Windows\System32\winnsi.dll,45d4bee0dea1d022cd80e19e2ebaf2e5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1772,C:\Windows\System32\imm32.dll,b6947a0328665d0110d3fdccfa245b2f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,2660,C:\Windows\System32\shlwapi.dll,4cc71cfff0bb2c1956bccafec72504c1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,2888,C:\Windows\System32\slc.dll,e121369906c2d2f14cd4556c22b22cf5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,4916,C:\Windows\System32\dwm.exe,ad795417bb67a12c3eef70167d9471ce,true,true,The file is signed and the signature was verified.,Microsoft Windows,
ES0001FTZ,1756,C:\Windows\System32\profapi.dll,022483aec87fad2d1e899d1f6896f58c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1772,C:\Windows\System32\svchost.exe,92a99e5aa18771cc1900d60750d8fc22,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,3592,C:\Windows\System32\IPHLPAPI.DLL,a43aca7c9d944c6f837317a915be9173,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,3204,C:\Windows\System32\gpapi.dll,f5cd9c6e1e72807a2ffb78a47da31dca,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,5184,C:\Windows\System32\netjoin.dll,b9150e9be0c8c4944ee4c840f8a4e65b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,908,C:\Windows\System32\ole32.dll,748fd8d94e0159c3d9e34a391ebfbaf5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1448,C:\Windows\System32\RpcRtRemote.dll,973476b1891b2c843984e3e6fded9e67,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,908,C:\Windows\System32\en-US\wscui.cpl.mui,1831911a8a3dec6a5f90827281c0a9a2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,6312,C:\Windows\System32\profapi.dll,022483aec87fad2d1e899d1f6896f58c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,4212,C:\Windows\System32\IPHLPAPI.DLL,a43aca7c9d944c6f837317a915be9173,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,1448,C:\Windows\System32\oleaut32.dll,ddbc5b70991e34df4553b86c9a6581b2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,3592,C:\Windows\System32\lpk.dll,bc9f3294904e1bb3064a73247c0af629,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,908,C:\Program Files\Common Files\Microsoft Shared\ink\tiptsf.dll,1534a79c05eb473c7a661d7c3ff89f3a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,3204,C:\Windows\System32\crypt32.dll,6d6c68de693643574d7530b1a9c6411d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,240,C:\Windows\System32\drt.dll,61a18ae0a9c8a585d911f944c6de7dec,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,2888,C:\Windows\System32\shell32.dll,c4ce20cb50e14abeb6b61bc14ebbcf5a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
ES0001FTZ,2888,C:\Windows\System32\rpcrt4.dll,efc6222a4b21b1d8a3c28f919fb070b0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
