hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
NS0007VZI,3852,C:\Windows\System32\wship6.dll,433024d5ce192b86b06de7008f9775f7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,5892,C:\Windows\System32\apphelp.dll,cf7e29d773e33913e5880c3e7f60ae9c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,5892,C:\Windows\System32\en-US\wscui.cpl.mui,8c736c9b01822c181994091a9e88585e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,928,C:\Windows\System32\kernel32.dll,e8e639d7ec029c6bed96f8ccc1af4750,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,2456,C:\Windows\System32\sxs.dll,68ac42cacd33bb01170edb78e85b0d8d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,3200,C:\Windows\System32\locale.nls,088dd58b17adf8f4d6d59ba71a583e6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,732,C:\Windows\System32\IPHLPAPI.DLL,50b499a2e584046723db2264248d072b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,5892,C:\Windows\System32\wkscli.dll,b3c7093c8a108c30bd6176fef8a66df0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,492,C:\Windows\System32\advapi32.dll,4e38d5ec87d1b3518e32443f86411e84,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,4988,C:\Windows\System32\gpapi.dll,6184fe848d2197b7a9f912f837fb7e22,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,5892,C:\Windows\System32\imagehlp.dll,c6de68119f84ab8c364f75f00df243c5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,2928,C:\Windows\system32\Dwm.exe,680a6e2fe9aa42ca1bd79ea0928fbe97,false,false,,,
NS0007VZI,260,C:\Windows\System32\sspicli.dll,2dd3d6bfcb0b84fe6279966a4adbf445,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,1744,C:\Windows\System32\netutils.dll,4021eb255efb744a6f6c32faefa89577,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,3936,C:\Windows\System32\apisetschema.dll,1e2f54cb7dd04f340ac82f3f85676bca,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,3036,C:\Windows\System32\profapi.dll,38322ac334bfbd7190c0c17fd534e50b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NS0007VZI,1204,C:\Windows\System32\nsi.dll,6bdc26dea447f49c1c18f8e0d881324d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
