hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WB0005ISU,5896,C:\Windows\System32\rasadhlp.dll,207c61425ef47142dd409d4d9b1ae9e0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,4044,C:\Windows\System32\pnrpnsp.dll,d4a0adb4151bb8769f712f372c66b210,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,5760,C:\Windows\System32\rsaenh.dll,a1ae7d36ffd2b3e0935ddafd94df15ce,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,5592,C:\Windows\Globalization\Sorting\SortDefault.nls,c7a30f518df942b71a6f337251369a9e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,1560,C:\Windows\System32\msctf.dll,6d3a4a8771e7c141676b5a5e59918723,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,60,C:\Windows\System32\oleaut32.dll,c57276ef0ad3e4a9f70b0487be5eed7e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,6344,C:\Windows\System32\rasadhlp.dll,207c61425ef47142dd409d4d9b1ae9e0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,224,C:\Windows\System32\advapi32.dll,2a80cf03b255a9cb77a0ca1724010c7e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,5284,C:\Windows\System32\sspicli.dll,d4d52722309b503961397002c7bbe688,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,6336,C:\Windows\System32\advapi32.dll,2a80cf03b255a9cb77a0ca1724010c7e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,356,C:\Windows\Globalization\Sorting\SortDefault.nls,c7a30f518df942b71a6f337251369a9e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,5301,C:\Users\matilbroo\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe,e4058b73c58f86820e32ce65342976b4,false,false,,,
WB0005ISU,5648,C:\Windows\System32\winnsi.dll,732f3e5dfa3586ba4e2103620b60f0d9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,3956,C:\Windows\System32\en-US\svchost.exe.mui,1581997a0a671f1d7071978c5a1d0768,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,5320,C:\Windows\System32\nsi.dll,6bdc26dea447f49c1c18f8e0d881324d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0005ISU,5004,C:\Windows\System32\sspicli.dll,d4d52722309b503961397002c7bbe688,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
