hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WB0008GOG,4124,C:\Windows\System32\cscobj.dll,46e469861d2338515997bba971be6472,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,4676,C:\Windows\System32\rpcrt4.dll,95f406d1a2af9554506003faf7d7a678,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,3256,C:\Windows\System32\drt.dll,f9a76398eb59a53748fb93dce0693b6d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,6132,C:\Windows\System32\ntdll.dll,088d8430c9cc241397c15c4ce4bea01c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,2572,C:\Windows\System32\rpcrt4.dll,95f406d1a2af9554506003faf7d7a678,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,3256,C:\Windows\System32\slc.dll,66739aed2a8010fc6b786d757a82c0b2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,6280,C:\Windows\System32\IPHLPAPI.DLL,842de49faf7f3a630c05284facfa523c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,4124,C:\Windows\System32\werconcpl.dll,14b5680e714850c2079c778532376218,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,2572,C:\Windows\System32\netlogon.dll,f5a1276bbf2b75994b1861928f49f023,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,4124,C:\Windows\System32\kernel32.dll,cf9735b81a1f8db94b603184d5bbf78e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,6280,C:\Windows\System32\locale.nls,fd418aca2d664face373b67f510535d3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,2284,C:\Windows\System32\ncrypt.dll,b346da2b92b1e17d320ace9ca15c9ecf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,2284,C:\Windows\System32\xmllite.dll,aaea4f3140f5ff2a6b308346b716fc76,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,4372,C:\Windows\System32\kernel32.dll,cf9735b81a1f8db94b603184d5bbf78e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,4716,C:\Windows\System32\IPHLPAPI.DLL,842de49faf7f3a630c05284facfa523c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,2364,C:\Windows\System32\authz.dll,ca781006fea770b2647ff9ac56e8556e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,4372,C:\Windows\System32\RpcRtRemote.dll,27d72831c1be617eaa5719f264b38280,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,3256,C:\Windows\System32\ntdll.dll,088d8430c9cc241397c15c4ce4bea01c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WB0008GOG,2364,C:\Windows\System32\rsaenh.dll,7dc442f26ceef37931acd21dbe692091,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
