hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WL0005LTK,4488,C:\Windows\System32\p2psvc.dll,af8c2f607f0e0f204ab8aa53c4b744f4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\apisetschema.dll,01b194632b7fcacc0a8154b45f8aa470,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\psapi.dll,1870088b205a1a83811b1a8286a0c2de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4344,C:\Windows\System32\ntdll.dll,24e9c23bec221c9e1c7928668c446dbc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4344,C:\Windows\System32\msxml6.dll,edd4b45bd749e7810aa58a2ab05408cb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3348,C:\Windows\Globalization\Sorting\SortDefault.nls,aaf7d16b3845dcf03f6e10cf38d2b1ae,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5856,C:\Windows\System32\dhcpcsvc.dll,4800937224ce63fd0eca088569a86fc3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\SyncCenter.dll,90ab68f33a59ccaaebbb6b7aa6f02b77,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4488,C:\Windows\System32\kernel32.dll,35fd349660346e564996bae4c3a83283,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,484,C:\Windows\System32\apisetschema.dll,01b194632b7fcacc0a8154b45f8aa470,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4628,C:\Windows\System32\en-US\lsasrv.dll.mui,a05d0f4a644e02e33049e7d0cebf7190,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1532,C:\Windows\System32\ntmarta.dll,50634bb4894bf9a7e9c6426ef4d2d19b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4628,C:\Windows\System32\msvcrt.dll,1de8125ed6da6d880b589c80479eef69,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,484,C:\Windows\System32\winnsi.dll,714651c95b817bdc59efff7e5a56da27,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4344,C:\Windows\System32\dnsapi.dll,43981f333118ca43f4e13e446a8503a6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3348,C:\Windows\System32\msasn1.dll,4794122008745fb7c89bc8faaa030119,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,484,C:\Windows\System32\dhcpcsvc.dll,4800937224ce63fd0eca088569a86fc3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,484,C:\Windows\System32\rsaenh.dll,a98835320a961e39e3f3b7c1363b9b1b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3208,C:\Windows\System32\dxgi.dll,9b98fffc602d309f638cf2655092d167,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WL0005LTK,4344,C:\Windows\System32\clbcatq.dll,0d13cd58ae6cdb7806694cc22e545fdd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\svchost.exe,92a99e5aa18771cc1900d60750d8fc22,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\esent.dll,edf74916dd5aea509be1a8ad0f2e6a96,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4488,C:\Windows\System32\nsi.dll,3d5fc282b4880b204d638eb5ce509077,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3456,C:\Windows\System32\RpcRtRemote.dll,8903e6c2a3ede36e1b1ce7d230aa9b3b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4400,C:\Windows\System32\gdi32.dll,29bc4bdcc48448c65f5d30838e6ebec5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\imm32.dll,75ba491ee19c8797f8a59d47c17faa6f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\en-US\NetworkExplorer.dll.mui,a04c98b906b5783a6cfc731f22d3239d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\DXP.dll,3282df274f450f61eb564dc6ddc71290,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\powrprof.dll,307e30ad71566aa0798a6e67f5e1f7f9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,6348,C:\Windows\System32\crypt32.dll,4b5421eb1745afb03ba7f80bb203d4db,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WL0005LTK,1532,C:\Windows\System32\svchost.exe,92a99e5aa18771cc1900d60750d8fc22,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1532,C:\Windows\System32\P2PGraph.dll,39b5711dc26128498d14b2c919c1f6f8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\gpapi.dll,d9c14bdcd65acb73cbeba12a882246f5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3348,C:\Windows\System32\oleaut32.dll,9d4ec387ccc0c408019cfa19498598d8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5856,C:\Windows\System32\rpcrt4.dll,cdd2e1a90eadf692288679396407ac8f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5856,C:\Windows\System32\ole32.dll,139a3860f2769f3f3645234988a976be,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,484,C:\Windows\System32\pnrpnsp.dll,802ae90a61d1a845daeaf50f6e54374d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3208,C:\Windows\System32\dwm.exe,f12c9dc0dd1bab64bc5333cc248908c9,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WL0005LTK,5952,C:\Windows\System32\userenv.dll,18b3db08aafe8b374d5624b38a0d775e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3687,C:\Users\nanbell17\AppData\Local\Programs\Opera\56.0.3051.52\opera.exe,fc6a916047101d515b90d829cffc9959,false,false,,,
WL0005LTK,5856,C:\Windows\System32\credssp.dll,d913388762b102ab25283a860a21d037,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\en-US\pnidui.dll.mui,e3f32125767f94d8bee294af58297bb3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5416,C:\Windows\System32\esent.dll,edf74916dd5aea509be1a8ad0f2e6a96,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5952,C:\Windows\System32\user32.dll,e4943beef7acbf2416cf8e008491dd6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5952,C:\Windows\System32\svchost.exe,92a99e5aa18771cc1900d60750d8fc22,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1668,C:\Windows\System32\sspicli.dll,38ad1a253a2ca9013916b4c5023e92e9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4400,C:\Windows\System32\esent.dll,edf74916dd5aea509be1a8ad0f2e6a96,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\QAGENT.DLL,a0bd5cd2ec1a7b5810e5a8f452b326aa,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\thumbcache.dll,7f8011acdf7447dd5732be723fbc7f98,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,2756,C:\Windows\System32\kernel32.dll,35fd349660346e564996bae4c3a83283,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\davhlpr.dll,f8ac98728ae783fd3936e758608889a2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3208,C:\Windows\System32\en-US\dwm.exe.mui,0781496c45ccf5bce7331151d7beaeb6,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WL0005LTK,3456,C:\Windows\System32\advapi32.dll,82e9069f78dd573fe340113a48530169,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\en-US\shell32.dll.mui,578231f4453253c7c93b0e5c90092b11,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5416,C:\Windows\System32\gpapi.dll,d9c14bdcd65acb73cbeba12a882246f5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\ws2_32.dll,37eabe5cb51d100eb12e9ae23dc735c8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\mssprxy.dll,e8a2851a9e14246ef607900bb39fa80d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\en-US\crypt32.dll.mui,af9800f85c0e2237a0f4002dfe197f93,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\hid.dll,41566d8a897cd6b635379238556402fc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1668,C:\Windows\System32\psapi.dll,1870088b205a1a83811b1a8286a0c2de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\credssp.dll,d913388762b102ab25283a860a21d037,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\ole32.dll,139a3860f2769f3f3645234988a976be,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4400,C:\Windows\System32\psapi.dll,1870088b205a1a83811b1a8286a0c2de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4400,C:\Windows\System32\gpapi.dll,d9c14bdcd65acb73cbeba12a882246f5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5856,C:\Windows\System32\locale.nls,b3240066238a6103d5684538940f02ef,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\apisetschema.dll,01b194632b7fcacc0a8154b45f8aa470,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5416,C:\Windows\System32\rpcrt4.dll,cdd2e1a90eadf692288679396407ac8f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\user32.dll,e4943beef7acbf2416cf8e008491dd6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4400,C:\Windows\System32\xmllite.dll,9a3fa055d4aa4967bf234e957350c4b5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3348,C:\Windows\System32\slc.dll,2a60ff00ff2ab6c53cdcb292c0bee9c3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,136,C:\Windows\System32\ws2_32.dll,37eabe5cb51d100eb12e9ae23dc735c8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\msvcrt.dll,1de8125ed6da6d880b589c80479eef69,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5416,C:\Windows\System32\nsi.dll,3d5fc282b4880b204d638eb5ce509077,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\NlsData0009.dll,801e116e45d38068c28d2d68230748f8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4400,C:\Windows\System32\slc.dll,2a60ff00ff2ab6c53cdcb292c0bee9c3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,6348,C:\Windows\System32\msvcrt.dll,1de8125ed6da6d880b589c80479eef69,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WL0005LTK,4628,C:\Windows\System32\authz.dll,eb3c4323fb66474f4a251a3c4c262d64,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4488,C:\Windows\System32\advapi32.dll,82e9069f78dd573fe340113a48530169,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3348,C:\Windows\System32\advapi32.dll,82e9069f78dd573fe340113a48530169,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,600,C:\Windows\System32\shlwapi.dll,4cc71cfff0bb2c1956bccafec72504c1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,4628,C:\Windows\System32\cryptdll.dll,b1cd6e717b7a06d7ad3ffb688d263cc1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5952,C:\Windows\System32\lpk.dll,990dec883e54cc54ea526604428a9251,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1532,C:\Windows\System32\esent.dll,edf74916dd5aea509be1a8ad0f2e6a96,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1532,C:\Windows\System32\usp10.dll,1a79428ce5b85e4fcdb542b6472cc3c3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3456,C:\Windows\System32\msvcrt.dll,1de8125ed6da6d880b589c80479eef69,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3208,C:\Windows\System32\user32.dll,e4943beef7acbf2416cf8e008491dd6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WL0005LTK,4344,C:\Windows\System32\en-US\spoolsv.exe.mui,7a54333d5f946f4ad566baed7f3ae640,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\mswsock.dll,3f05121bdbca4517b439a5ad48423aa8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3348,C:\Windows\System32\esent.dll,edf74916dd5aea509be1a8ad0f2e6a96,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,136,C:\Windows\System32\crypt32.dll,4b5421eb1745afb03ba7f80bb203d4db,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,484,C:\Windows\System32\wship6.dll,089e997d3bc4a83c809cd6c5e7c029f2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1684,C:\Windows\System32\AltTab.dll,64dfd88edf5fff6247f84c42433eb599,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,5856,C:\Windows\System32\psapi.dll,1870088b205a1a83811b1a8286a0c2de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,1532,C:\Windows\System32\slc.dll,2a60ff00ff2ab6c53cdcb292c0bee9c3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,2756,C:\Windows\System32\netjoin.dll,a6e8c1ae279a22c15244474bd0f9bbe9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,484,C:\Windows\System32\p2psvc.dll,af8c2f607f0e0f204ab8aa53c4b744f4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,136,C:\Windows\System32\rpcrt4.dll,cdd2e1a90eadf692288679396407ac8f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,2756,C:\Windows\System32\imm32.dll,75ba491ee19c8797f8a59d47c17faa6f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WL0005LTK,3208,C:\Windows\System32\dwmapi.dll,036f6861ab57d39d1d5e1fd7fe981485,true,true,The file is signed and the signature was verified.,Microsoft Windows,
WL0005LTK,1532,C:\Windows\System32\KernelBase.dll,185a2d4acd6179395edc3029ffda92b5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
