hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WN0004GOO,2788,C:\Windows\System32\cscapi.dll,166583c96d8dc41b4a4fd68d52066ff6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,2888,C:\Windows\System32\xmllite.dll,b4ee0b79863157fd6b81fe6b7b0c67ce,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,3740,C:\Windows\System32\svchost.exe,9e65cf432eecd265b404836a43561ade,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,4928,C:\Windows\System32\msasn1.dll,4e0032a702934db50f90e367a2e36938,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,2788,C:\Windows\System32\wtsapi32.dll,1b5d9383dde121a1b10c1f4f77f38162,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,3600,C:\Windows\System32\ncrypt.dll,dacbb23261b9ca00f0c7d6443a24767a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,3488,C:\Windows\System32\esent.dll,baa774206dc05ea116280faf756c1d50,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,4716,C:\Windows\System32\dhcpcsvc.dll,0d35b22a68b66e7408f8b04e8aa5a73a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,3608,C:\Windows\System32\msxml6r.dll,050b34bf171c10723a5eef2f04bc37fd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,3740,C:\Windows\System32\en-US\crypt32.dll.mui,10cbaf287cf32e1ef969c5fdb202181c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,5075,C:\Program Files (x86)\Adobe\Acrobat Reader DC\Reader\AcroCEF\RdrCEF.exe,45ccb3eb6656d7158007708a83c58348,false,false,,,
WN0004GOO,2788,C:\Windows\System32\cscui.dll,279d2b19e604631c2073a05f5739d731,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,2188,C:\Windows\System32\RpcRtRemote.dll,645ef2d748c0ca82bb6f8f4def645079,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,2224,C:\Windows\System32\cngaudit.dll,41b271251c8efb30f8bd2b5f51234b1f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,4060,C:\Windows\System32\drt.dll,bb4ab27a675b8a724306b56ba1bae37b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,3844,C:\Windows\System32\ws2_32.dll,58c7d0827a4f1e1cb83287ff95a33f6c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WN0004GOO,2788,C:\Windows\System32\ole32.dll,fb6cca076968f008cd39b638b5f6ea2d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
