hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
WT0001NMM,4200,C:\Windows\System32\pnrpsvc.dll,eec385c83254f3e88117b9c1c4cd3913,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,1584,C:\Windows\System32\en-US\crypt32.dll.mui,d46bb3c804540458ecc4906560a3f902,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,5636,C:\Windows\System32\p2psvc.dll,e46d4a8e983f329b1508507bafae5552,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,5432,C:\Windows\System32\p2psvc.dll,e46d4a8e983f329b1508507bafae5552,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,5688,C:\Windows\System32\xmllite.dll,82a3c8e7b72ffa8625e8fa006948795e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,3600,C:\Windows\System32\crypt32.dll,0ff658d366306b5b1e272ec38b06406f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,2128,C:\Windows\System32\profapi.dll,a64fcee54f8b9dc6cc9e765bd39cf272,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,6064,C:\Windows\System32\IPHLPAPI.DLL,d546d45db90e0b562943dc42a9f1f82f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,4772,C:\Windows\System32\crypt32.dll,0ff658d366306b5b1e272ec38b06406f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,6064,C:\Windows\System32\esent.dll,4b1e44d1c9cf12a333e23e0d3296d425,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,1584,C:\Windows\System32\drt.dll,e099d3660fd7a2fc04e72f5c8c32b749,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
WT0001NMM,4808,C:\Windows\System32\shlwapi.dll,df9f61c39ff9f24195495102f3117e95,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
