hostname,name,arguments,username,path,pid
WC0005TWT,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,4964
WC0005TWT,taskhost.exe,"""taskhost.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,6168
WC0005TWT,MicrosoftEdgeCP.exe,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",ola.ward,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,4339
WC0005TWT,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",ola.ward,C:\Program Files\TightVNC,4003
WC0005TWT,opera_crashreporter.exe,"C:\Users\ola.ward\AppData\Local\Programs\Opera\56.0.3051.52\opera_crashreporter.exe --type=crashpad-handler /prefetch:7 --monitor-self-annotation=ptype=crashpad-handler ""--database=C:\Users\ola.ward\AppData\Roaming\Opera Software\Opera Stable\Crash Reports"" ""--crash-count-file=C:\Users\ola.ward\AppData\Roaming\Opera Software\Opera Stable\crash_count.txt"" --url=https://crashstats-collector.opera.com/collector/submit --annotation=channel=Stable --annotation=plat=Win64 --annotation=prod=OperaDesktop --annotation=ver=56.0.3051.52 --initial-client-data=0x238 0x304 0x30c 0x320 0x308 0x7ffb51313108 0x7ffb51313118 0x7ffb51313128",ola.ward,C:\Users\ola.ward\AppData\Local\Programs\Opera\56.0.3051.52,4806
WC0005TWT,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,5600
WC0005TWT,Dwm.exe,"""C:\Windows\system32\Dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,3844
WC0005TWT,lsm.exe,C:\Windows\system32\lsm.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,6120
WC0005TWT,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,2792
WC0005TWT,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,744
WC0005TWT,soffice.bin,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ""-env:OOO_CWD=2C:\\Program Files (x86)\\OpenOffice 4""",evaross46,C:\Program Files (x86)\OpenOffice 4\program,2269
WC0005TWT,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,3184
WC0005TWT,services.exe,C:\Windows\system32\services.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,124
WC0005TWT,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",ola.ward,C:\Program Files\TightVNC,1697
WC0005TWT,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,796
WC0005TWT,rundll32.exe,"C:\Program Files\Windows NT\rundll32.exe C:\Windows\System32\winlogon.dll,main MTIzLjEyNC4xMjUuMTI2 NDQz",NT AUTHORITY\SYSTEM,C:\Program Files\Windows NT\rundll32.exe,3696
WC0005TWT,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,4516
WC0005TWT,python.exe,"""C:\Users\evaross46\AppData\Local\Programs\Python\Python37\python.exe"" ",evaross46,C:\Users\evaross46\AppData\Local\Programs\Python\Python37,2247
WC0005TWT,soffice.exe,"""C:\Program Files (x86)\OpenOffice 4\program\soffice.exe"" ",evaross46,C:\Program Files (x86)\OpenOffice 4\program,934
WC0005TWT,conhost.exe,\??\C:\Windows\system32\conhost.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5360
