hostname,modulename,modulepath
518TRBSN,raspppoe.sys,C:\Windows\system32\DRIVERS\
518TRBSN,Wdf01000.sys,C:\Windows\system32\drivers\
518TRBSN,termdd.sys,C:\Windows\system32\drivers\
518TRBSN,cng.sys,C:\Windows\System32\Drivers\
518TRBSN,CompositeBus.sys,C:\Windows\system32\drivers\
518TRBSN,Msfs.SYS,C:\Windows\System32\Drivers\
518TRBSN,ksecdd.sys,C:\Windows\System32\Drivers\
518TRBSN,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
518TRBSN,wfplwf.sys,C:\Windows\system32\DRIVERS\
518TRBSN,vioscsi.sys,C:\Windows\system32\drivers\
518TRBSN,swenum.sys,C:\Windows\system32\drivers\
518TRBSN,tcpipreg.sys,C:\Windows\System32\drivers\
518TRBSN,mouclass.sys,C:\Windows\system32\drivers\
518TRBSN,intelppm.sys,C:\Windows\system32\DRIVERS\
518TRBSN,dump_vioscsi.sys,C:\Windows\System32\Drivers\
518TRBSN,RDPCDD.sys,C:\Windows\System32\DRIVERS\
518TRBSN,mrxsmb.sys,C:\Windows\system32\DRIVERS\
518TRBSN,luafv.sys,C:\Windows\system32\drivers\
518TRBSN,peauth.sys,C:\Windows\system32\drivers\
518TRBSN,spldr.sys,C:\Windows\System32\Drivers\
518TRBSN,asyncmac.sys,C:\Windows\system32\DRIVERS\
518TRBSN,pvpanic.sys,C:\Windows\system32\drivers\
518TRBSN,PSHED.dll,C:\Windows\system32\
518TRBSN,volmgrx.sys,C:\Windows\System32\drivers\
518TRBSN,volmgr.sys,C:\Windows\system32\drivers\
518TRBSN,msrpc.sys,C:\Windows\system32\DRIVERS\
518TRBSN,RDPWD.SYS,C:\Windows\System32\Drivers\
518TRBSN,CI.dll,C:\Windows\system32\
518TRBSN,dump_storport.sys,C:\Windows\System32\Drivers\
518TRBSN,VIDEOPRT.SYS,C:\Windows\System32\drivers\
518TRBSN,Npfs.SYS,C:\Windows\System32\Drivers\
518TRBSN,ks.sys,C:\Windows\system32\drivers\
518TRBSN,disk.sys,C:\Windows\system32\drivers\
518TRBSN,discache.sys,C:\Windows\System32\drivers\
518TRBSN,rasl2tp.sys,C:\Windows\system32\DRIVERS\
518TRBSN,CLASSPNP.SYS,C:\Windows\system32\drivers\
518TRBSN,ACPI.sys,C:\Windows\system32\drivers\
518TRBSN,spsys.sys,C:\Windows\system32\drivers\
518TRBSN,CLFS.SYS,C:\Windows\system32\
518TRBSN,tdx.sys,C:\Windows\system32\DRIVERS\
518TRBSN,Null.SYS,C:\Windows\System32\Drivers\
