hostname,modulename,modulepath
591ZBXWE,tcpipreg.sys,C:\Windows\System32\drivers\
591ZBXWE,mrxsmb.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,mup.sys,C:\Windows\System32\Drivers\
591ZBXWE,mpsdrv.sys,C:\Windows\System32\drivers\
591ZBXWE,RDPCDD.sys,C:\Windows\System32\DRIVERS\
591ZBXWE,peauth.sys,C:\Windows\system32\drivers\
591ZBXWE,storport.sys,C:\Windows\system32\drivers\
591ZBXWE,tdx.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,spldr.sys,C:\Windows\System32\Drivers\
591ZBXWE,pci.sys,C:\Windows\system32\drivers\
591ZBXWE,ksecpkg.sys,C:\Windows\System32\Drivers\
591ZBXWE,discache.sys,C:\Windows\System32\drivers\
591ZBXWE,rdpbus.sys,C:\Windows\system32\drivers\
591ZBXWE,asyncmac.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,CI.dll,C:\Windows\system32\
591ZBXWE,serenum.sys,C:\Windows\system32\drivers\
591ZBXWE,nsiproxy.sys,C:\Windows\system32\drivers\
591ZBXWE,kdcom.dll,C:\Windows\system32\
591ZBXWE,vga.sys,C:\Windows\System32\drivers\
591ZBXWE,serial.sys,C:\Windows\system32\drivers\
591ZBXWE,sacdrv.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,TSDDD.dll,C:\Windows\System32\
591ZBXWE,hal.dll,C:\Windows\system32\
591ZBXWE,cng.sys,C:\Windows\System32\Drivers\
591ZBXWE,RDPDD.dll,C:\Windows\System32\
591ZBXWE,rassstp.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,tunnel.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,disk.sys,C:\Windows\system32\drivers\
591ZBXWE,volmgrx.sys,C:\Windows\System32\drivers\
591ZBXWE,rdpencdd.sys,C:\Windows\system32\drivers\
591ZBXWE,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,msrpc.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,CLFS.SYS,C:\Windows\system32\
591ZBXWE,NETIO.SYS,C:\Windows\system32\DRIVERS\
591ZBXWE,mssmbios.sys,C:\Windows\system32\drivers\
591ZBXWE,srv.sys,C:\Windows\System32\DRIVERS\
591ZBXWE,fwpkclnt.sys,C:\Windows\System32\drivers\
591ZBXWE,VIDEOPRT.SYS,C:\Windows\System32\drivers\
591ZBXWE,Npfs.SYS,C:\Windows\System32\Drivers\
591ZBXWE,amdxata.sys,C:\Windows\system32\drivers\
591ZBXWE,Ntfs.sys,C:\Windows\System32\Drivers\
591ZBXWE,TDI.SYS,C:\Windows\system32\DRIVERS\
591ZBXWE,dump_vioscsi.sys,C:\Windows\System32\Drivers\
591ZBXWE,blbdrive.sys,C:\Windows\system32\drivers\
591ZBXWE,WDFLDR.SYS,C:\Windows\system32\drivers\
591ZBXWE,mountmgr.sys,C:\Windows\System32\drivers\
591ZBXWE,kbdclass.sys,C:\Windows\system32\drivers\
591ZBXWE,NDProxy.SYS,C:\Windows\System32\Drivers\
591ZBXWE,pvpanic.sys,C:\Windows\system32\drivers\
591ZBXWE,Null.SYS,C:\Windows\System32\Drivers\
591ZBXWE,RDPWD.SYS,C:\Windows\System32\Drivers\
591ZBXWE,vdrvroot.sys,C:\Windows\system32\drivers\
591ZBXWE,dfsc.sys,C:\Windows\System32\Drivers\
591ZBXWE,wanarp.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,rdpdr.sys,C:\Windows\System32\drivers\
591ZBXWE,win32k.sys,C:\Windows\System32\
591ZBXWE,luafv.sys,C:\Windows\system32\drivers\
591ZBXWE,rdprefmp.sys,C:\Windows\system32\drivers\
591ZBXWE,hwpolicy.sys,C:\Windows\System32\drivers\
591ZBXWE,vioscsi.sys,C:\Windows\system32\drivers\
591ZBXWE,lltdio.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,volmgr.sys,C:\Windows\system32\drivers\
591ZBXWE,WMILIB.SYS,C:\Windows\system32\drivers\
591ZBXWE,msisadrv.sys,C:\Windows\system32\drivers\
591ZBXWE,srvnet.sys,C:\Windows\System32\DRIVERS\
591ZBXWE,tssecsrv.sys,C:\Windows\System32\DRIVERS\
591ZBXWE,dxg.sys,C:\Windows\System32\drivers\
591ZBXWE,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,ndistapi.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,spsys.sys,C:\Windows\system32\drivers\
591ZBXWE,raspptp.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,tdtcp.sys,C:\Windows\system32\drivers\
591ZBXWE,AgileVpn.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,intelppm.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,bowser.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,rspndr.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,ntoskrnl.exe,C:\Windows\system32\
591ZBXWE,wfplwf.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,dump_storport.sys,C:\Windows\System32\Drivers\
591ZBXWE,mouclass.sys,C:\Windows\system32\drivers\
591ZBXWE,HTTP.sys,C:\Windows\system32\drivers\
591ZBXWE,umbus.sys,C:\Windows\system32\drivers\
591ZBXWE,afd.sys,C:\Windows\system32\drivers\
591ZBXWE,volsnap.sys,C:\Windows\system32\drivers\
591ZBXWE,pacer.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,netbios.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,pcw.sys,C:\Windows\System32\drivers\
591ZBXWE,swenum.sys,C:\Windows\system32\drivers\
591ZBXWE,i8042prt.sys,C:\Windows\system32\drivers\
591ZBXWE,vmstorfl.sys,C:\Windows\system32\drivers\
591ZBXWE,netkvm.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,rasl2tp.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,watchdog.sys,C:\Windows\System32\drivers\
591ZBXWE,Dxapi.sys,C:\Windows\System32\drivers\
591ZBXWE,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
591ZBXWE,termdd.sys,C:\Windows\system32\drivers\
591ZBXWE,CLASSPNP.SYS,C:\Windows\system32\drivers\
591ZBXWE,srv2.sys,C:\Windows\System32\DRIVERS\
591ZBXWE,CompositeBus.sys,C:\Windows\system32\drivers\
591ZBXWE,ks.sys,C:\Windows\system32\drivers\
591ZBXWE,Msfs.SYS,C:\Windows\System32\Drivers\
591ZBXWE,ndiswan.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,Fs_Rec.sys,C:\Windows\System32\Drivers\
591ZBXWE,ksecdd.sys,C:\Windows\System32\Drivers\
591ZBXWE,rdbss.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,raspppoe.sys,C:\Windows\system32\DRIVERS\
591ZBXWE,netbt.sys,C:\Windows\System32\DRIVERS\
591ZBXWE,NDIS.SYS,C:\Windows\system32\DRIVERS\
591ZBXWE,Wdf01000.sys,C:\Windows\system32\drivers\
591ZBXWE,PSHED.dll,C:\Windows\system32\
591ZBXWE,crashdmp.sys,C:\Windows\System32\Drivers\
591ZBXWE,tcpip.sys,C:\Windows\System32\drivers\
591ZBXWE,partmgr.sys,C:\Windows\System32\drivers\
591ZBXWE,fltmgr.sys,C:\Windows\system32\drivers\
591ZBXWE,ACPI.sys,C:\Windows\system32\drivers\
