hostname,modulename,modulepath
857OJQNC,serial.sys,C:\Windows\system32\drivers\
857OJQNC,disk.sys,C:\Windows\system32\drivers\
857OJQNC,tcpip.sys,C:\Windows\System32\drivers\
857OJQNC,TSDDD.dll,C:\Windows\System32\
857OJQNC,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
857OJQNC,hwpolicy.sys,C:\Windows\System32\drivers\
857OJQNC,storport.sys,C:\Windows\system32\drivers\
857OJQNC,srv.sys,C:\Windows\System32\DRIVERS\
857OJQNC,PSHED.dll,C:\Windows\system32\
857OJQNC,bowser.sys,C:\Windows\system32\DRIVERS\
857OJQNC,rdprefmp.sys,C:\Windows\system32\drivers\
857OJQNC,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
857OJQNC,dfsc.sys,C:\Windows\System32\Drivers\
857OJQNC,lltdio.sys,C:\Windows\system32\DRIVERS\
857OJQNC,Wdf01000.sys,C:\Windows\system32\drivers\
857OJQNC,mrxsmb.sys,C:\Windows\system32\DRIVERS\
857OJQNC,volmgrx.sys,C:\Windows\System32\drivers\
857OJQNC,WMILIB.SYS,C:\Windows\system32\drivers\
857OJQNC,win32k.sys,C:\Windows\System32\
857OJQNC,srv2.sys,C:\Windows\System32\DRIVERS\
857OJQNC,pacer.sys,C:\Windows\system32\DRIVERS\
857OJQNC,ks.sys,C:\Windows\system32\drivers\
857OJQNC,Ntfs.sys,C:\Windows\System32\Drivers\
857OJQNC,rdbss.sys,C:\Windows\system32\DRIVERS\
857OJQNC,rassstp.sys,C:\Windows\system32\DRIVERS\
857OJQNC,sacdrv.sys,C:\Windows\system32\DRIVERS\
857OJQNC,luafv.sys,C:\Windows\system32\drivers\
857OJQNC,raspptp.sys,C:\Windows\system32\DRIVERS\
857OJQNC,NETIO.SYS,C:\Windows\system32\DRIVERS\
857OJQNC,pci.sys,C:\Windows\system32\drivers\
857OJQNC,vdrvroot.sys,C:\Windows\system32\drivers\
857OJQNC,nsiproxy.sys,C:\Windows\system32\drivers\
857OJQNC,CI.dll,C:\Windows\system32\
857OJQNC,TDI.SYS,C:\Windows\system32\DRIVERS\
857OJQNC,discache.sys,C:\Windows\System32\drivers\
857OJQNC,CLASSPNP.SYS,C:\Windows\system32\drivers\
857OJQNC,asyncmac.sys,C:\Windows\system32\DRIVERS\
857OJQNC,fwpkclnt.sys,C:\Windows\System32\drivers\
857OJQNC,NDProxy.SYS,C:\Windows\System32\Drivers\
857OJQNC,pcw.sys,C:\Windows\System32\drivers\
857OJQNC,NDIS.SYS,C:\Windows\system32\DRIVERS\
857OJQNC,Msfs.SYS,C:\Windows\System32\Drivers\
857OJQNC,srvnet.sys,C:\Windows\System32\DRIVERS\
857OJQNC,partmgr.sys,C:\Windows\System32\drivers\
857OJQNC,umbus.sys,C:\Windows\system32\drivers\
857OJQNC,kdcom.dll,C:\Windows\system32\
857OJQNC,netbios.sys,C:\Windows\system32\DRIVERS\
857OJQNC,ndistapi.sys,C:\Windows\system32\DRIVERS\
857OJQNC,spsys.sys,C:\Windows\system32\drivers\
857OJQNC,raspppoe.sys,C:\Windows\system32\DRIVERS\
857OJQNC,dump_storport.sys,C:\Windows\System32\Drivers\
857OJQNC,tunnel.sys,C:\Windows\system32\DRIVERS\
857OJQNC,rspndr.sys,C:\Windows\system32\DRIVERS\
857OJQNC,msisadrv.sys,C:\Windows\system32\drivers\
857OJQNC,vmstorfl.sys,C:\Windows\system32\drivers\
857OJQNC,swenum.sys,C:\Windows\system32\drivers\
857OJQNC,vioscsi.sys,C:\Windows\system32\drivers\
857OJQNC,rdpencdd.sys,C:\Windows\system32\drivers\
857OJQNC,wanarp.sys,C:\Windows\system32\DRIVERS\
857OJQNC,mouclass.sys,C:\Windows\system32\drivers\
857OJQNC,spldr.sys,C:\Windows\System32\Drivers\
857OJQNC,cng.sys,C:\Windows\System32\Drivers\
857OJQNC,ACPI.sys,C:\Windows\system32\drivers\
857OJQNC,pvpanic.sys,C:\Windows\system32\drivers\
857OJQNC,netbt.sys,C:\Windows\System32\DRIVERS\
857OJQNC,tdx.sys,C:\Windows\system32\DRIVERS\
857OJQNC,dump_vioscsi.sys,C:\Windows\System32\Drivers\
