hostname,modulename,modulepath
994LJYNN,wanarp.sys,C:\Windows\System32\drivers\
994LJYNN,acpipmi.sys,C:\Windows\System32\drivers\
994LJYNN,1394ohci.sys,C:\Windows\System32\drivers\
994LJYNN,acpipagr.sys,C:\Windows\System32\drivers\
994LJYNN,VMBusHID.sys,C:\Windows\System32\drivers\
994LJYNN,lsi_sss.sys,C:\Windows\System32\drivers\
994LJYNN,rassstp.sys,C:\Windows\System32\drivers\
994LJYNN,srv2.sys,C:\Windows\System32\drivers\
994LJYNN,NdisImPlatform.sys,C:\Windows\System32\drivers\
994LJYNN,sfloppy.sys,C:\Windows\System32\drivers\
994LJYNN,MsLbfoProvider.sys,C:\Windows\System32\drivers\
994LJYNN,pdc.sys,C:\Windows\System32\drivers\
994LJYNN,cdfs.sys,C:\Windows\System32\drivers\
994LJYNN,hidbatt.sys,C:\Windows\System32\drivers\
994LJYNN,HyperVideo.sys,C:\Windows\System32\drivers\
994LJYNN,sbp2port.sys,C:\Windows\System32\drivers\
994LJYNN,ksecdd.sys,C:\Windows\System32\drivers\
994LJYNN,iaStorV.sys,C:\Windows\System32\drivers\
994LJYNN,http.sys,C:\Windows\System32\drivers\
994LJYNN,ndisuio.sys,C:\Windows\System32\drivers\
994LJYNN,elxfcoe.sys,C:\Windows\System32\drivers\
994LJYNN,vpcivsp.sys,C:\Windows\System32\drivers\
994LJYNN,vmbusr.sys,C:\Windows\System32\drivers\
994LJYNN,SerCx.sys,C:\Windows\System32\drivers\
994LJYNN,storvsp.sys,C:\Windows\System32\drivers\
994LJYNN,smbdirect.sys,C:\Windows\System32\drivers\
994LJYNN,dmvsc.sys,C:\Windows\System32\drivers\
994LJYNN,umbus.sys,C:\Windows\System32\drivers\
994LJYNN,mouclass.sys,C:\Windows\System32\drivers\
994LJYNN,errdev.sys,C:\Windows\System32\drivers\
994LJYNN,swenum.sys,C:\Windows\System32\drivers\
994LJYNN,tcpipreg.sys,C:\Windows\System32\drivers\
994LJYNN,netvsc63.sys,C:\Windows\System32\drivers\
994LJYNN,disk.sys,C:\Windows\System32\drivers\
994LJYNN,NdisVirtualBus.sys,C:\Windows\System32\drivers\
994LJYNN,vxn64x64.sys,C:\Windows\System32\drivers\
994LJYNN,vdrvroot.sys,C:\Windows\System32\drivers\
994LJYNN,pacer.sys,C:\Windows\System32\drivers\
994LJYNN,Vid.sys,C:\Windows\System32\drivers\
994LJYNN,afd.sys,C:\Windows\System32\drivers\
994LJYNN,hidusb.sys,C:\Windows\System32\drivers\
994LJYNN,vpci.sys,C:\Windows\System32\drivers\
994LJYNN,rdpvideominiport.sys,C:\Windows\System32\drivers\
994LJYNN,rasacd.sys,C:\Windows\System32\drivers\
994LJYNN,xennet.sys,C:\Windows\System32\drivers\
994LJYNN,sdbus.sys,C:\Windows\System32\drivers\
994LJYNN,CompositeBus.sys,C:\Windows\System32\drivers\
994LJYNN,ndfltr.sys,C:\Windows\System32\drivers\
