hostname,name,pid,descriptivename,description,path,pathmd5sum,arguments,pathcertificatesubject,pathsignatureverified,pathsignaturedescription,pathcertificateissuer
518TRBSN,PEAUTH,0,PEAUTH,,C:\Windows\System32\drivers\PEAuth.sys,ac4680f67cf3957a91a57ad4f514b1c9,system32\drivers\peauth.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,Rasl2tp,0,WAN Miniport (L2TP),WAN Miniport (L2TP),C:\Windows\System32\drivers\rasl2tp.sys,b728969680133c301bfe3485c9b469e3,system32\DRIVERS\rasl2tp.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,nfrd960,0,nfrd960,,C:\Windows\System32\drivers\nfrd960.sys,3c34e23f8939618bb906e8ecf1f4b161,\SystemRoot\system32\drivers\nfrd960.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,NetBT,0,NetBT,This service implements NetBios over TCP/IP.,C:\Windows\System32\drivers\netbt.sys,f2e3bd448f262e10d06cb21c48089ecb,System32\DRIVERS\netbt.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,SiSRaid2,0,SiSRaid2,,C:\Windows\System32\drivers\sisraid2.sys,dbb7c3d796fda1009aed4e95235c8fe6,\SystemRoot\system32\drivers\SiSRaid2.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,nv_agp,0,NVIDIA nForce AGP Bus Filter,,C:\Windows\System32\drivers\NV_AGP.SYS,d483361c6392538c3948fa268003da05,\SystemRoot\system32\drivers\nv_agp.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,rdbss,0,Redirected Buffering Sub Sysytem,Provides the framework for network mini-redirectors,C:\Windows\System32\drivers\rdbss.sys,81398ae8a6c74fee7c473f39b846d29c,system32\DRIVERS\rdbss.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,DiagTrack,1084,Diagnostics Tracking Service,The Diagnostics Tracking Service enables data collection about functional issues in Windows components.,C:\Windows\System32\svchost.exe,ed30dce8557fd0cb2f63b8b6681ace78,C:\Windows\System32\svchost.exe -k utcsvc,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,MegaSR,0,MegaSR,,C:\Windows\System32\drivers\MegaSR.sys,9da05657fd0fdb2d0adf9f54961ae518,\SystemRoot\system32\drivers\MegaSR.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,volmgrx,0,Dynamic Volume Manager,Extension of the volume manager driver that manages software RAID volumes (spanned  striped  mirrored  RAID-5) on dynamic disks,C:\Windows\System32\drivers\volmgrx.sys,feadcda4412e62f7be43ce6c6364454a,\SystemRoot\System32\drivers\volmgrx.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,mrxsmb20,0,SMB 2.0 MiniRedirector,Implements the SMB 2.0 protocol  which provides connectivity to network resources on Windows Vista and later servers,C:\Windows\System32\drivers\mrxsmb20.sys,b5e3b0ce418fc375f3cfe52ffa963b5e,system32\DRIVERS\mrxsmb20.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,isapnp,0,isapnp,,C:\Windows\System32\drivers\isapnp.sys,3440c964c70367ed4d559d3ba8d3bb33,\SystemRoot\system32\drivers\isapnp.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,mouclass,0,Mouse Class Driver,,C:\Windows\System32\drivers\mouclass.sys,f535269b86810a5ff20ca15b27d2909d,\SystemRoot\system32\drivers\mouclass.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,mouhid,0,Mouse HID Driver,,C:\Windows\System32\drivers\mouhid.sys,a2def364822389d3a082f7b4b181ac17,\SystemRoot\system32\drivers\mouhid.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,UxSms,244,Desktop Window Manager Session Manager,Provides Desktop Window Manager startup and maintenance services,C:\Windows\System32\svchost.exe,ed30dce8557fd0cb2f63b8b6681ace78,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,Wanarpv6,0,Remote Access IPv6 ARP Driver,Remote Access IPv6 ARP Driver,C:\Windows\System32\drivers\wanarp.sys,221c1040fa14c2f3931a0c18af384dce,system32\DRIVERS\wanarp.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,ACPI,0,Microsoft ACPI Driver,,C:\Windows\System32\drivers\acpi.sys,eb99d481c848b4135481763ec289391a,\SystemRoot\system32\drivers\ACPI.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,KSecDD,0,KSecDD,,C:\Windows\System32\drivers\ksecdd.sys,07f3205245857b75fb05b63b57976ace,\SystemRoot\System32\Drivers\ksecdd.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
518TRBSN,Modem,0,Modem,,C:\Windows\System32\drivers\modem.sys,90f25bd42c8a501021df77719abf3fe5,system32\drivers\modem.sys,Microsoft Windows,true,The file is signed and the signature was verified.,Microsoft Windows Verification PCA
