hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
771SQOEB,6428,C:\Windows\System32\bcrypt.dll,f26114943cc88960601570151098b61b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,3988,C:\Windows\System32\usp10.dll,89ff581b997fcddfd130923b5bec5402,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5692,C:\Windows\System32\wship6.dll,e0b65470405199caf2a979c62fdb5ef6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,704,C:\Windows\System32\apphelp.dll,d7b042c1f95f1224b6eff038c0423edf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5972,C:\Windows\System32\dhcpcsvc.dll,0a98845b0043a01bc80adcfa371e3837,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\en-US\explorer.exe.mui,0b6f47c85f84fa82ec358179c40a63a3,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,6428,C:\Windows\System32\p2psvc.dll,326565111fe1ac0902c7ba5bbbdd8d52,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4240,C:\Windows\System32\locale.nls,595f9d95a2c1db7e6fa551abfca5bdb4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5228,C:\Windows\System32\usp10.dll,89ff581b997fcddfd130923b5bec5402,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,2748,C:\Windows\System32\msvcrt.dll,7e8aac6401a1869053297c2a094938ae,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,6252,C:\Windows\System32\usp10.dll,89ff581b997fcddfd130923b5bec5402,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4536,C:\Windows\System32\sspisrv.dll,4467773ff693cc6f12c8d4c423c9efa1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4856,C:\Windows\System32\uxtheme.dll,e4931f6af795cd8a1e1e7776cc69d520,true,true,The file is signed and the signature was verified.,Microsoft Windows,
771SQOEB,4240,C:\Windows\System32\shell32.dll,68a47901075bece1cb2e06d9c62b66d9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4092,C:\Windows\System32\ntmarta.dll,cc26fde692fb2a1f51ed39b6ffb2f0de,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\ProgramData\Microsoft\Windows\Caches\cversions.2.db,bd6c6353c12dbc4c4d4735bd733efea1,true,false,The form specified for the subject is not one supported or known by the specified trust provider.,,
771SQOEB,2192,C:\Windows\System32\en-US\crypt32.dll.mui,1e06cb5a8d8441f3f47697ee82f58184,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,2192,C:\Windows\System32\credssp.dll,31e7a971189f80e3abffccb9607b4635,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,2192,C:\Windows\System32\svchost.exe,d307aca66cb60824f4f482fe6d66fe0f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,6252,C:\Windows\System32\sqmapi.dll,806e37a0f76b8394a94156e4033803ad,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1068,C:\Windows\System32\winnsi.dll,89084a8dc3b4db070473a334b5a9e58b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4536,C:\Windows\System32\wship6.dll,e0b65470405199caf2a979c62fdb5ef6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\shdocvw.dll,278f5d398f8eec59fb951135db96bff5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,2192,C:\Windows\System32\winnsi.dll,89084a8dc3b4db070473a334b5a9e58b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1476,C:\Windows\System32\devrtl.dll,cb8c2c64d4b3d58517c82ebd42d72a82,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,6252,C:\Windows\System32\authz.dll,480421d141dd55a436d7bda1d6db3794,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4856,C:\Windows\System32\en-US\dwm.exe.mui,be371e56dbd8e3a7dd4017a43da2b5fc,true,true,The file is signed and the signature was verified.,Microsoft Windows,
771SQOEB,1772,C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe,f7c4b36ee3bc9ff4be13b6e3c7990e82,false,false,,,
771SQOEB,4856,C:\Windows\System32\gdi32.dll,ca9cc0cc21078def2b201cd7b372b212,true,true,The file is signed and the signature was verified.,Microsoft Windows,
771SQOEB,4240,C:\Windows\System32\apisetschema.dll,175f502332c5ad73d3725598e5e1c4e2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\clbcatq.dll,6e434082f7e13e0a15778d74104b7bb9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5972,C:\Windows\System32\RpcRtRemote.dll,75e2153ad64c484bf644c2223cda8cce,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5728,C:\Windows\System32\sechost.dll,7118b0f85a933777e91dd0a0320f2e7c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,3388,C:\Windows\System32\rasadhlp.dll,2de530b60e288ff32c7f60695e9764c9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,6252,C:\Windows\System32\lpk.dll,93dd66e23320759137a58734f2d0492d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4148,C:\Windows\System32\ole32.dll,41c2b628dc54e1e01cfc9b27c6038f94,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,3988,C:\Windows\System32\cryptbase.dll,4b040941b15443cc97703a8240723ac5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\FXSST.dll,2001f332af24bf7d0cab5c5202b38e11,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\srvcli.dll,d99e5503c41bee74ad51f58463534310,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5972,C:\Windows\System32\clbcatq.dll,6e434082f7e13e0a15778d74104b7bb9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5728,C:\Windows\System32\ole32.dll,41c2b628dc54e1e01cfc9b27c6038f94,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5728,C:\Windows\System32\en-US\crypt32.dll.mui,1e06cb5a8d8441f3f47697ee82f58184,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4092,C:\Windows\System32\shell32.dll,68a47901075bece1cb2e06d9c62b66d9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,704,C:\Windows\System32\cryptsp.dll,30bed55e12838c73f21ef6be7361f3b5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,436,C:\Windows\System32\KernelBase.dll,b07e450d1f9cb1d7b58edc143d09f2fe,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5972,C:\Windows\System32\drt.dll,45ce130127bc3fd424a58f08799f8bd2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\cryptsp.dll,30bed55e12838c73f21ef6be7361f3b5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5692,C:\Windows\System32\apisetschema.dll,175f502332c5ad73d3725598e5e1c4e2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4148,C:\Windows\System32\drttransport.dll,d35eb8738e157c3eb79f59eef54c37b9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,2748,C:\Windows\System32\psapi.dll,4bf71c8d0eeef7071dd199aa0398e678,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,3274,C:\Windows\System32\gdi32.dll,ca9cc0cc21078def2b201cd7b372b212,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,5692,C:\Windows\System32\KernelBase.dll,b07e450d1f9cb1d7b58edc143d09f2fe,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4536,C:\Windows\System32\advapi32.dll,5871a35e30e7fb69adb337a6ebfa1c7b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1068,C:\Windows\System32\p2psvc.dll,326565111fe1ac0902c7ba5bbbdd8d52,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\rsaenh.dll,2bfd3f6ce78fc75710b34710f2354939,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\authui.dll,37564ff66153b3093ead6dbdd43f2020,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,704,C:\Windows\System32\profapi.dll,ceaca69c29695586ec6ade298bd6fd95,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1476,C:\Windows\System32\gpapi.dll,8d40043d9d1272bced8607640c1efe21,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,4536,C:\Windows\System32\msv1_0.dll,ec558baaa22f91b8f0a014bfeb8c4018,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,6428,C:\Windows\System32\locale.nls,595f9d95a2c1db7e6fa551abfca5bdb4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\msacm32.dll,3467517bc75bc67bd95ae76e0ed7e29e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\nlaapi.dll,6d36345e7c488edfd9b18dd2664b66df,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Program Files\Common Files\Microsoft Shared\ink\tiptsf.dll,fd1a3e86ebd7200dc3f9a9eedef08d10,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
771SQOEB,1268,C:\Windows\System32\gpapi.dll,8d40043d9d1272bced8607640c1efe21,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
