hostname,modulename,modulepath
EC800MUT,lltdio.sys,C:\Windows\system32\drivers\
EC800MUT,HTTP.sys,C:\Windows\system32\drivers\
EC800MUT,cdd.dll,C:\Windows\System32\
EC800MUT,Wof.sys,C:\Windows\System32\Drivers\
EC800MUT,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EC800MUT,win32k.sys,C:\Windows\System32\
EC800MUT,volmgr.sys,C:\Windows\System32\drivers\
EC800MUT,NDIS.SYS,C:\Windows\system32\DRIVERS\
EC800MUT,TDI.SYS,C:\Windows\system32\DRIVERS\
EC800MUT,condrv.sys,C:\Windows\System32\drivers\
EC800MUT,serenum.sys,C:\Windows\System32\drivers\
EC800MUT,rdpdr.sys,C:\Windows\System32\drivers\
EC800MUT,acpiex.sys,C:\Windows\System32\Drivers\
EC800MUT,rdbss.sys,C:\Windows\system32\DRIVERS\
EC800MUT,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_a140581a8f8b58b7\
EC800MUT,netbios.sys,C:\Windows\system32\drivers\
EC800MUT,FLTMGR.SYS,C:\Windows\System32\drivers\
EC800MUT,intelpep.sys,C:\Windows\System32\drivers\
EC800MUT,tbs.sys,C:\Windows\system32\drivers\
EC800MUT,volsnap.sys,C:\Windows\System32\drivers\
EC800MUT,disk.sys,C:\Windows\System32\drivers\
EC800MUT,partmgr.sys,C:\Windows\System32\drivers\
EC800MUT,win32kfull.sys,C:\Windows\System32\
EC800MUT,npsvctrig.sys,C:\Windows\System32\drivers\
EC800MUT,CI.dll,C:\Windows\system32\
EC800MUT,dump_storport.sys,C:\Windows\System32\Drivers\
EC800MUT,tm.sys,C:\Windows\System32\drivers\
EC800MUT,Npfs.SYS,C:\Windows\System32\Drivers\
EC800MUT,sacdrv.sys,C:\Windows\system32\DRIVERS\
EC800MUT,BasicDisplay.sys,C:\Windows\System32\drivers\
EC800MUT,NETIO.SYS,C:\Windows\system32\DRIVERS\
EC800MUT,Null.SYS,C:\Windows\System32\Drivers\
EC800MUT,Msfs.SYS,C:\Windows\System32\Drivers\
EC800MUT,terminpt.sys,C:\Windows\System32\drivers\
EC800MUT,WMILIB.SYS,C:\Windows\System32\drivers\
EC800MUT,mssmbios.sys,C:\Windows\System32\drivers\
EC800MUT,srvnet.sys,C:\Windows\System32\DRIVERS\
EC800MUT,umbus.sys,C:\Windows\System32\drivers\
EC800MUT,WindowsTrustedRT.sys,C:\Windows\system32\drivers\
EC800MUT,CEA.sys,C:\Windows\system32\drivers\
EC800MUT,volmgrx.sys,C:\Windows\System32\drivers\
EC800MUT,pcw.sys,C:\Windows\System32\drivers\
EC800MUT,NdisVirtualBus.sys,C:\Windows\System32\drivers\
EC800MUT,ksecpkg.sys,C:\Windows\System32\Drivers\
EC800MUT,wcifs.sys,C:\Windows\system32\drivers\
EC800MUT,netkvm.sys,C:\Windows\System32\drivers\
EC800MUT,kbdclass.sys,C:\Windows\System32\drivers\
EC800MUT,pvpanic.sys,C:\Windows\System32\drivers\
EC800MUT,vioscsi.sys,C:\Windows\System32\drivers\
EC800MUT,tunnel.sys,C:\Windows\System32\drivers\
EC800MUT,dxgmms2.sys,C:\Windows\System32\drivers\
EC800MUT,cng.sys,C:\Windows\System32\drivers\
EC800MUT,mountmgr.sys,C:\Windows\System32\drivers\
EC800MUT,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EC800MUT,PSHED.dll,C:\Windows\system32\
EC800MUT,cmimcext.sys,C:\Windows\System32\drivers\
EC800MUT,NTFS.sys,C:\Windows\System32\Drivers\
EC800MUT,RDPUDD.dll,C:\Windows\System32\
EC800MUT,dfsc.sys,C:\Windows\System32\Drivers\
EC800MUT,registry.sys,C:\Windows\System32\drivers\
EC800MUT,mup.sys,C:\Windows\System32\Drivers\
EC800MUT,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EC800MUT,EhStorClass.sys,C:\Windows\System32\drivers\
EC800MUT,luafv.sys,C:\Windows\system32\drivers\
EC800MUT,tcpipreg.sys,C:\Windows\System32\drivers\
EC800MUT,ntoskrnl.exe,C:\Windows\system32\
EC800MUT,WdFilter.sys,C:\Windows\system32\drivers\
EC800MUT,tcpip.sys,C:\Windows\System32\drivers\
EC800MUT,netbt.sys,C:\Windows\System32\DRIVERS\
EC800MUT,pacer.sys,C:\Windows\System32\drivers\
EC800MUT,srv.sys,C:\Windows\System32\DRIVERS\
EC800MUT,mslldp.sys,C:\Windows\system32\drivers\
EC800MUT,mouclass.sys,C:\Windows\System32\drivers\
EC800MUT,CLASSPNP.SYS,C:\Windows\System32\drivers\
EC800MUT,srv2.sys,C:\Windows\System32\DRIVERS\
EC800MUT,rdpbus.sys,C:\Windows\System32\drivers\
EC800MUT,dxgkrnl.sys,C:\Windows\System32\drivers\
EC800MUT,rdpvideominiport.sys,C:\Windows\System32\drivers\
EC800MUT,ntosext.sys,C:\Windows\System32\drivers\
EC800MUT,WppRecorder.sys,C:\Windows\System32\Drivers\
EC800MUT,ksecdd.sys,C:\Windows\System32\drivers\
EC800MUT,msisadrv.sys,C:\Windows\System32\drivers\
EC800MUT,watchdog.sys,C:\Windows\System32\drivers\
EC800MUT,fwpkclnt.sys,C:\Windows\System32\drivers\
EC800MUT,mmcss.sys,C:\Windows\system32\drivers\
EC800MUT,Wdf01000.sys,C:\Windows\system32\drivers\
EC800MUT,monitor.sys,C:\Windows\System32\drivers\
EC800MUT,clipsp.sys,C:\Windows\System32\drivers\
EC800MUT,dump_vioscsi.sys,C:\Windows\System32\Drivers\
EC800MUT,kdnic.sys,C:\Windows\System32\drivers\
EC800MUT,pci.sys,C:\Windows\System32\drivers\
EC800MUT,BasicRender.sys,C:\Windows\System32\drivers\
EC800MUT,peauth.sys,C:\Windows\system32\drivers\
EC800MUT,spaceport.sys,C:\Windows\System32\drivers\
EC800MUT,WDFLDR.SYS,C:\Windows\system32\drivers\
EC800MUT,gpuenergydrv.sys,C:\Windows\System32\drivers\
EC800MUT,volume.sys,C:\Windows\System32\drivers\
EC800MUT,crashdmp.sys,C:\Windows\System32\Drivers\
EC800MUT,filecrypt.sys,C:\Windows\system32\drivers\
EC800MUT,werkernel.sys,C:\Windows\System32\drivers\
EC800MUT,BOOTVID.dll,C:\Windows\system32\
EC800MUT,msrpc.sys,C:\Windows\System32\drivers\
EC800MUT,storport.sys,C:\Windows\System32\drivers\
EC800MUT,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
EC800MUT,ahcache.sys,C:\Windows\system32\DRIVERS\
EC800MUT,hal.dll,C:\Windows\system32\
EC800MUT,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EC800MUT,ks.sys,C:\Windows\System32\drivers\
EC800MUT,serial.sys,C:\Windows\System32\drivers\
EC800MUT,TSDDD.dll,C:\Windows\System32\
