hostname,modulename,modulepath
EN139XDW,discache.sys,C:\Windows\System32\drivers\
EN139XDW,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EN139XDW,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EN139XDW,Ntfs.sys,C:\Windows\System32\Drivers\
EN139XDW,wanarp.sys,C:\Windows\system32\DRIVERS\
EN139XDW,pci.sys,C:\Windows\system32\drivers\
EN139XDW,crashdmp.sys,C:\Windows\System32\Drivers\
EN139XDW,msrpc.sys,C:\Windows\system32\DRIVERS\
EN139XDW,vmstorfl.sys,C:\Windows\system32\drivers\
EN139XDW,mssmbios.sys,C:\Windows\system32\drivers\
EN139XDW,Fs_Rec.sys,C:\Windows\System32\Drivers\
EN139XDW,WMILIB.SYS,C:\Windows\system32\drivers\
EN139XDW,disk.sys,C:\Windows\system32\drivers\
EN139XDW,WDFLDR.SYS,C:\Windows\system32\drivers\
EN139XDW,kbdclass.sys,C:\Windows\system32\drivers\
EN139XDW,spsys.sys,C:\Windows\system32\drivers\
EN139XDW,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EN139XDW,win32k.sys,C:\Windows\System32\
EN139XDW,luafv.sys,C:\Windows\system32\drivers\
EN139XDW,rdpdr.sys,C:\Windows\System32\drivers\
EN139XDW,ksecpkg.sys,C:\Windows\System32\Drivers\
EN139XDW,RDPCDD.sys,C:\Windows\System32\DRIVERS\
EN139XDW,ndistapi.sys,C:\Windows\system32\DRIVERS\
EN139XDW,CLFS.SYS,C:\Windows\system32\
EN139XDW,hal.dll,C:\Windows\system32\
EN139XDW,cng.sys,C:\Windows\System32\Drivers\
EN139XDW,rdpencdd.sys,C:\Windows\system32\drivers\
EN139XDW,partmgr.sys,C:\Windows\System32\drivers\
EN139XDW,Msfs.SYS,C:\Windows\System32\Drivers\
EN139XDW,tssecsrv.sys,C:\Windows\System32\DRIVERS\
EN139XDW,tunnel.sys,C:\Windows\system32\DRIVERS\
EN139XDW,blbdrive.sys,C:\Windows\system32\drivers\
EN139XDW,raspptp.sys,C:\Windows\system32\DRIVERS\
EN139XDW,Npfs.SYS,C:\Windows\System32\Drivers\
EN139XDW,netbt.sys,C:\Windows\System32\DRIVERS\
EN139XDW,vioscsi.sys,C:\Windows\system32\drivers\
EN139XDW,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EN139XDW,PSHED.dll,C:\Windows\system32\
EN139XDW,spldr.sys,C:\Windows\System32\Drivers\
EN139XDW,ksecdd.sys,C:\Windows\System32\Drivers\
EN139XDW,ntoskrnl.exe,C:\Windows\system32\
EN139XDW,bowser.sys,C:\Windows\system32\DRIVERS\
