hostname,modulename,modulepath
NB744YTQ,rdpdr.sys,C:\Windows\System32\drivers\
NB744YTQ,TSDDD.dll,C:\Windows\System32\
NB744YTQ,ks.sys,C:\Windows\system32\drivers\
NB744YTQ,Wdf01000.sys,C:\Windows\system32\drivers\
NB744YTQ,cng.sys,C:\Windows\System32\Drivers\
NB744YTQ,wanarp.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,tcpipreg.sys,C:\Windows\System32\drivers\
NB744YTQ,spldr.sys,C:\Windows\System32\Drivers\
NB744YTQ,rdbss.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,NDProxy.SYS,C:\Windows\System32\Drivers\
NB744YTQ,mssmbios.sys,C:\Windows\system32\drivers\
NB744YTQ,tunnel.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,raspptp.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,tcpip.sys,C:\Windows\System32\drivers\
NB744YTQ,partmgr.sys,C:\Windows\System32\drivers\
NB744YTQ,pvpanic.sys,C:\Windows\system32\drivers\
NB744YTQ,discache.sys,C:\Windows\System32\drivers\
NB744YTQ,vdrvroot.sys,C:\Windows\system32\drivers\
NB744YTQ,ntoskrnl.exe,C:\Windows\system32\
NB744YTQ,swenum.sys,C:\Windows\system32\drivers\
NB744YTQ,ksecpkg.sys,C:\Windows\System32\Drivers\
NB744YTQ,rspndr.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,kbdclass.sys,C:\Windows\system32\drivers\
NB744YTQ,sacdrv.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,kdcom.dll,C:\Windows\system32\
NB744YTQ,serial.sys,C:\Windows\system32\drivers\
NB744YTQ,rassstp.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,mup.sys,C:\Windows\System32\Drivers\
NB744YTQ,luafv.sys,C:\Windows\system32\drivers\
NB744YTQ,fwpkclnt.sys,C:\Windows\System32\drivers\
NB744YTQ,dump_vioscsi.sys,C:\Windows\System32\Drivers\
NB744YTQ,VIDEOPRT.SYS,C:\Windows\System32\drivers\
NB744YTQ,dfsc.sys,C:\Windows\System32\Drivers\
NB744YTQ,PSHED.dll,C:\Windows\system32\
NB744YTQ,srvnet.sys,C:\Windows\System32\DRIVERS\
NB744YTQ,rdprefmp.sys,C:\Windows\system32\drivers\
NB744YTQ,mountmgr.sys,C:\Windows\System32\drivers\
NB744YTQ,storport.sys,C:\Windows\system32\drivers\
NB744YTQ,peauth.sys,C:\Windows\system32\drivers\
NB744YTQ,msisadrv.sys,C:\Windows\system32\drivers\
NB744YTQ,watchdog.sys,C:\Windows\System32\drivers\
NB744YTQ,win32k.sys,C:\Windows\System32\
NB744YTQ,msrpc.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,volmgrx.sys,C:\Windows\System32\drivers\
NB744YTQ,mrxsmb.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,WDFLDR.SYS,C:\Windows\system32\drivers\
NB744YTQ,AgileVpn.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,srv.sys,C:\Windows\System32\DRIVERS\
NB744YTQ,umbus.sys,C:\Windows\system32\drivers\
NB744YTQ,raspppoe.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,CLFS.SYS,C:\Windows\system32\
NB744YTQ,pcw.sys,C:\Windows\System32\drivers\
NB744YTQ,wfplwf.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,rdpencdd.sys,C:\Windows\system32\drivers\
NB744YTQ,amdxata.sys,C:\Windows\system32\drivers\
NB744YTQ,ndiswan.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,tdx.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,Fs_Rec.sys,C:\Windows\System32\Drivers\
NB744YTQ,intelppm.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,Npfs.SYS,C:\Windows\System32\Drivers\
NB744YTQ,ndistapi.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,volmgr.sys,C:\Windows\system32\drivers\
NB744YTQ,mouclass.sys,C:\Windows\system32\drivers\
NB744YTQ,pacer.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,asyncmac.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,tssecsrv.sys,C:\Windows\System32\DRIVERS\
NB744YTQ,netbios.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,dxg.sys,C:\Windows\System32\drivers\
NB744YTQ,RDPCDD.sys,C:\Windows\System32\DRIVERS\
NB744YTQ,volsnap.sys,C:\Windows\system32\drivers\
NB744YTQ,CI.dll,C:\Windows\system32\
NB744YTQ,ACPI.sys,C:\Windows\system32\drivers\
NB744YTQ,pci.sys,C:\Windows\system32\drivers\
NB744YTQ,fltmgr.sys,C:\Windows\system32\drivers\
NB744YTQ,serenum.sys,C:\Windows\system32\drivers\
NB744YTQ,termdd.sys,C:\Windows\system32\drivers\
NB744YTQ,RDPWD.SYS,C:\Windows\System32\Drivers\
NB744YTQ,Dxapi.sys,C:\Windows\System32\drivers\
NB744YTQ,srv2.sys,C:\Windows\System32\DRIVERS\
NB744YTQ,CompositeBus.sys,C:\Windows\system32\drivers\
NB744YTQ,Ntfs.sys,C:\Windows\System32\Drivers\
NB744YTQ,bowser.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,blbdrive.sys,C:\Windows\system32\drivers\
NB744YTQ,vioscsi.sys,C:\Windows\system32\drivers\
NB744YTQ,TDI.SYS,C:\Windows\system32\DRIVERS\
NB744YTQ,i8042prt.sys,C:\Windows\system32\drivers\
NB744YTQ,vga.sys,C:\Windows\System32\drivers\
NB744YTQ,hal.dll,C:\Windows\system32\
NB744YTQ,dump_storport.sys,C:\Windows\System32\Drivers\
NB744YTQ,HTTP.sys,C:\Windows\system32\drivers\
NB744YTQ,lltdio.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,tdtcp.sys,C:\Windows\system32\drivers\
NB744YTQ,Null.SYS,C:\Windows\System32\Drivers\
NB744YTQ,CLASSPNP.SYS,C:\Windows\system32\drivers\
NB744YTQ,rasl2tp.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,netbt.sys,C:\Windows\System32\DRIVERS\
NB744YTQ,NETIO.SYS,C:\Windows\system32\DRIVERS\
NB744YTQ,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,mpsdrv.sys,C:\Windows\System32\drivers\
NB744YTQ,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
NB744YTQ,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,Msfs.SYS,C:\Windows\System32\Drivers\
NB744YTQ,netkvm.sys,C:\Windows\system32\DRIVERS\
NB744YTQ,hwpolicy.sys,C:\Windows\System32\drivers\
NB744YTQ,WMILIB.SYS,C:\Windows\system32\drivers\
NB744YTQ,afd.sys,C:\Windows\system32\drivers\
NB744YTQ,rdpbus.sys,C:\Windows\system32\drivers\
NB744YTQ,spsys.sys,C:\Windows\system32\drivers\
NB744YTQ,RDPDD.dll,C:\Windows\System32\
NB744YTQ,nsiproxy.sys,C:\Windows\system32\drivers\
NB744YTQ,disk.sys,C:\Windows\system32\drivers\
NB744YTQ,vmstorfl.sys,C:\Windows\system32\drivers\
NB744YTQ,crashdmp.sys,C:\Windows\System32\Drivers\
NB744YTQ,NDIS.SYS,C:\Windows\system32\DRIVERS\
NB744YTQ,ksecdd.sys,C:\Windows\System32\Drivers\
