hostname,modulename,modulepath
NS373WUG,srvnet.sys,C:\Windows\System32\DRIVERS\
NS373WUG,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
NS373WUG,mssmbios.sys,C:\Windows\system32\drivers\
NS373WUG,fltmgr.sys,C:\Windows\system32\drivers\
NS373WUG,crashdmp.sys,C:\Windows\System32\Drivers\
NS373WUG,Wdf01000.sys,C:\Windows\system32\drivers\
NS373WUG,CLFS.SYS,C:\Windows\system32\
NS373WUG,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
NS373WUG,CLASSPNP.SYS,C:\Windows\system32\drivers\
NS373WUG,rasl2tp.sys,C:\Windows\system32\DRIVERS\
NS373WUG,pcw.sys,C:\Windows\System32\drivers\
NS373WUG,spldr.sys,C:\Windows\System32\Drivers\
NS373WUG,rdpdr.sys,C:\Windows\System32\drivers\
NS373WUG,kdcom.dll,C:\Windows\system32\
NS373WUG,tcpip.sys,C:\Windows\System32\drivers\
NS373WUG,storport.sys,C:\Windows\system32\drivers\
NS373WUG,WDFLDR.SYS,C:\Windows\system32\drivers\
NS373WUG,rdprefmp.sys,C:\Windows\system32\drivers\
NS373WUG,ksecdd.sys,C:\Windows\System32\Drivers\
NS373WUG,cng.sys,C:\Windows\System32\Drivers\
NS373WUG,vioscsi.sys,C:\Windows\system32\drivers\
NS373WUG,RDPCDD.sys,C:\Windows\System32\DRIVERS\
NS373WUG,msrpc.sys,C:\Windows\system32\DRIVERS\
NS373WUG,tssecsrv.sys,C:\Windows\System32\DRIVERS\
NS373WUG,netbt.sys,C:\Windows\System32\DRIVERS\
NS373WUG,tdtcp.sys,C:\Windows\system32\drivers\
NS373WUG,tunnel.sys,C:\Windows\system32\DRIVERS\
NS373WUG,luafv.sys,C:\Windows\system32\drivers\
NS373WUG,Null.SYS,C:\Windows\System32\Drivers\
NS373WUG,termdd.sys,C:\Windows\system32\drivers\
NS373WUG,peauth.sys,C:\Windows\system32\drivers\
NS373WUG,vmstorfl.sys,C:\Windows\system32\drivers\
NS373WUG,TDI.SYS,C:\Windows\system32\DRIVERS\
NS373WUG,rdpbus.sys,C:\Windows\system32\drivers\
NS373WUG,CI.dll,C:\Windows\system32\
NS373WUG,hal.dll,C:\Windows\system32\
NS373WUG,umbus.sys,C:\Windows\system32\drivers\
NS373WUG,volmgr.sys,C:\Windows\system32\drivers\
NS373WUG,ndiswan.sys,C:\Windows\system32\DRIVERS\
NS373WUG,rassstp.sys,C:\Windows\system32\DRIVERS\
NS373WUG,Dxapi.sys,C:\Windows\System32\drivers\
NS373WUG,amdxata.sys,C:\Windows\system32\drivers\
NS373WUG,partmgr.sys,C:\Windows\System32\drivers\
NS373WUG,netbios.sys,C:\Windows\system32\DRIVERS\
NS373WUG,vdrvroot.sys,C:\Windows\system32\drivers\
NS373WUG,NETIO.SYS,C:\Windows\system32\DRIVERS\
