hostname,modulename,modulepath
WB572SNL,hal.dll,C:\Windows\system32\
WB572SNL,netkvm.sys,C:\Windows\System32\drivers\
WB572SNL,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
WB572SNL,srv2.sys,C:\Windows\System32\DRIVERS\
WB572SNL,Fs_Rec.sys,C:\Windows\System32\Drivers\
WB572SNL,rdpdr.sys,C:\Windows\System32\drivers\
WB572SNL,volume.sys,C:\Windows\System32\drivers\
WB572SNL,mountmgr.sys,C:\Windows\System32\drivers\
WB572SNL,npsvctrig.sys,C:\Windows\System32\drivers\
WB572SNL,msisadrv.sys,C:\Windows\System32\drivers\
WB572SNL,intelpep.sys,C:\Windows\System32\drivers\
WB572SNL,i8042prt.sys,C:\Windows\System32\drivers\
WB572SNL,WMILIB.SYS,C:\Windows\System32\drivers\
WB572SNL,cdd.dll,C:\Windows\System32\
WB572SNL,dxgmms2.sys,C:\Windows\System32\drivers\
WB572SNL,WdFilter.sys,C:\Windows\system32\drivers\
WB572SNL,luafv.sys,C:\Windows\system32\drivers\
WB572SNL,tdx.sys,C:\Windows\system32\DRIVERS\
WB572SNL,kdcom.dll,C:\Windows\system
WB572SNL,partmgr.sys,C:\Windows\System32\drivers\
WB572SNL,ntoskrnl.exe,C:\Windows\system32\
WB572SNL,BasicRender.sys,C:\Windows\System32\drivers\
WB572SNL,volmgr.sys,C:\Windows\System32\drivers\
WB572SNL,NETIO.SYS,C:\Windows\system32\DRIVERS\
WB572SNL,terminpt.sys,C:\Windows\System32\drivers\
WB572SNL,CI.dll,C:\Windows\system32\
WB572SNL,pvpanic.sys,C:\Windows\System32\drivers\
WB572SNL,cmimcext.sys,C:\Windows\System32\drivers\
WB572SNL,dump_storport.sys,C:\Windows\System32\Drivers\
WB572SNL,win32k.sys,C:\Windows\System32\
WB572SNL,peauth.sys,C:\Windows\system32\drivers\
WB572SNL,ntosext.sys,C:\Windows\System32\drivers\
WB572SNL,tcpip.sys,C:\Windows\System32\drivers\
WB572SNL,rdpvideominiport.sys,C:\Windows\System32\drivers\
WB572SNL,fwpkclnt.sys,C:\Windows\System32\drivers\
WB572SNL,filecrypt.sys,C:\Windows\system32\drivers\
WB572SNL,storport.sys,C:\Windows\System32\drivers\
WB572SNL,registry.sys,C:\Windows\System32\drivers\
WB572SNL,afd.sys,C:\Windows\system32\drivers\
WB572SNL,vioscsi.sys,C:\Windows\System32\drivers\
WB572SNL,pacer.sys,C:\Windows\System32\drivers\
WB572SNL,WDFLDR.SYS,C:\Windows\system32\drivers\
WB572SNL,BOOTVID.dll,C:\Windows\system32\
WB572SNL,Msfs.SYS,C:\Windows\System32\Drivers\
WB572SNL,Null.SYS,C:\Windows\System32\Drivers\
WB572SNL,serenum.sys,C:\Windows\System32\drivers\
WB572SNL,pdc.sys,C:\Windows\system32\drivers\
WB572SNL,ACPI.sys,C:\Windows\System32\drivers\
WB572SNL,monitor.sys,C:\Windows\System32\drivers\
WB572SNL,wfplwfs.sys,C:\Windows\System32\drivers\
WB572SNL,netbt.sys,C:\Windows\System32\DRIVERS\
WB572SNL,mrxsmb.sys,C:\Windows\system32\DRIVERS\
WB572SNL,kdnic.sys,C:\Windows\System32\drivers\
WB572SNL,serial.sys,C:\Windows\System32\drivers\
WB572SNL,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WB572SNL,intelppm.sys,C:\Windows\System32\drivers\
WB572SNL,dxgkrnl.sys,C:\Windows\System32\drivers\
WB572SNL,tbs.sys,C:\Windows\system32\drivers\
WB572SNL,ksecpkg.sys,C:\Windows\System32\Drivers\
WB572SNL,CLASSPNP.SYS,C:\Windows\System32\drivers\
WB572SNL,srv.sys,C:\Windows\System32\DRIVERS\
WB572SNL,mup.sys,C:\Windows\System32\Drivers\
WB572SNL,mssmbios.sys,C:\Windows\System32\drivers\
WB572SNL,RDPUDD.dll,C:\Windows\System32\
WB572SNL,disk.sys,C:\Windows\System32\drivers\
WB572SNL,EhStorClass.sys,C:\Windows\System32\drivers\
WB572SNL,wcifs.sys,C:\Windows\system32\drivers\
WB572SNL,HTTP.sys,C:\Windows\system32\drivers\
WB572SNL,swenum.sys,C:\Windows\System32\drivers\
WB572SNL,win32kfull.sys,C:\Windows\System32\
WB572SNL,rdpbus.sys,C:\Windows\System32\drivers\
WB572SNL,rdbss.sys,C:\Windows\system32\DRIVERS\
WB572SNL,CEA.sys,C:\Windows\system32\drivers\
WB572SNL,volmgrx.sys,C:\Windows\System32\drivers\
WB572SNL,ksecdd.sys,C:\Windows\System32\drivers\
WB572SNL,msrpc.sys,C:\Windows\System32\drivers\
WB572SNL,srvnet.sys,C:\Windows\System32\DRIVERS\
WB572SNL,bowser.sys,C:\Windows\system32\DRIVERS\
WB572SNL,lltdio.sys,C:\Windows\system32\drivers\
WB572SNL,werkernel.sys,C:\Windows\System32\drivers\
WB572SNL,dump_vioscsi.sys,C:\Windows\System32\Drivers\
WB572SNL,storqosflt.sys,C:\Windows\system32\drivers\
WB572SNL,NTFS.sys,C:\Windows\System32\Drivers\
WB572SNL,FLTMGR.SYS,C:\Windows\System32\drivers\
WB572SNL,watchdog.sys,C:\Windows\System32\drivers\
WB572SNL,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
WB572SNL,WindowsTrustedRT.sys,C:\Windows\system32\drivers\
WB572SNL,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
WB572SNL,Npfs.SYS,C:\Windows\System32\Drivers\
WB572SNL,CLFS.SYS,C:\Windows\System32\drivers\
WB572SNL,TDI.SYS,C:\Windows\system32\DRIVERS\
WB572SNL,WppRecorder.sys,C:\Windows\System32\Drivers\
WB572SNL,condrv.sys,C:\Windows\System32\drivers\
WB572SNL,gpuenergydrv.sys,C:\Windows\System32\drivers\
WB572SNL,PSHED.dll,C:\Windows\system32\
WB572SNL,volsnap.sys,C:\Windows\System32\drivers\
WB572SNL,sacdrv.sys,C:\Windows\system32\DRIVERS\
WB572SNL,clipsp.sys,C:\Windows\System32\drivers\
WB572SNL,pci.sys,C:\Windows\System32\drivers\
WB572SNL,mmcss.sys,C:\Windows\system32\drivers\
WB572SNL,cng.sys,C:\Windows\System32\drivers\
WB572SNL,Wof.sys,C:\Windows\System32\Drivers\
WB572SNL,nsiproxy.sys,C:\Windows\system32\drivers\
WB572SNL,vdrvroot.sys,C:\Windows\System32\drivers\
WB572SNL,dfsc.sys,C:\Windows\System32\Drivers\
WB572SNL,tm.sys,C:\Windows\System32\drivers\
WB572SNL,win32kbase.sys,C:\Windows\System32\
WB572SNL,ks.sys,C:\Windows\System32\drivers\
WB572SNL,netbios.sys,C:\Windows\system32\drivers\
WB572SNL,ahcache.sys,C:\Windows\system32\DRIVERS\
WB572SNL,rspndr.sys,C:\Windows\system32\drivers\
WB572SNL,mouclass.sys,C:\Windows\System32\drivers\
WB572SNL,NDIS.SYS,C:\Windows\system32\DRIVERS\
WB572SNL,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
