hostname,modulename,modulepath
WB900OJG,Msfs.SYS,C:\Windows\System32\Drivers\
WB900OJG,kbdclass.sys,C:\Windows\system32\DRIVERS\
WB900OJG,BATTC.SYS,C:\Windows\system32\DRIVERS\
WB900OJG,rdbss.sys,C:\Windows\system32\DRIVERS\
WB900OJG,mouhid.sys,C:\Windows\system32\DRIVERS\
WB900OJG,partmgr.sys,C:\Windows\System32\drivers\
WB900OJG,msisadrv.sys,C:\Windows\system32\drivers\
WB900OJG,drmk.sys,C:\Windows\system32\drivers\
WB900OJG,TDI.SYS,C:\Windows\system32\DRIVERS\
WB900OJG,portcls.sys,C:\Windows\system32\drivers\
WB900OJG,srv2.sys,C:\Windows\System32\DRIVERS\
WB900OJG,CompositeBus.sys,C:\Windows\system32\DRIVERS\
WB900OJG,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
WB900OJG,srv.sys,C:\Windows\System32\DRIVERS\
WB900OJG,rdyboost.sys,C:\Windows\System32\drivers\
WB900OJG,volmgr.sys,C:\Windows\system32\drivers\
WB900OJG,mouclass.sys,C:\Windows\system32\DRIVERS\
WB900OJG,compbatt.sys,C:\Windows\system32\DRIVERS\
WB900OJG,kdcom.dll,C:\Windows\system32\
WB900OJG,termdd.sys,C:\Windows\system32\DRIVERS\
WB900OJG,vdrvroot.sys,C:\Windows\system32\drivers\
WB900OJG,cng.sys,C:\Windows\System32\Drivers\
WB900OJG,fltmgr.sys,C:\Windows\system32\drivers\
WB900OJG,AgileVpn.sys,C:\Windows\system32\DRIVERS\
WB900OJG,ndistapi.sys,C:\Windows\system32\DRIVERS\
WB900OJG,crashdmp.sys,C:\Windows\System32\Drivers\
WB900OJG,fvevol.sys,C:\Windows\System32\DRIVERS\
WB900OJG,Beep.SYS,C:\Windows\System32\Drivers\
WB900OJG,raspptp.sys,C:\Windows\system32\DRIVERS\
WB900OJG,mpsdrv.sys,C:\Windows\System32\drivers\
WB900OJG,WDFLDR.SYS,C:\Windows\system32\drivers\
WB900OJG,csc.sys,C:\Windows\system32\drivers\
WB900OJG,luafv.sys,C:\Windows\system32\drivers\
WB900OJG,cdfs.sys,C:\Windows\system32\DRIVERS\
WB900OJG,mup.sys,C:\Windows\System32\Drivers\
WB900OJG,hal.dll,C:\Windows\system32\
WB900OJG,mssmbios.sys,C:\Windows\system32\DRIVERS\
WB900OJG,fwpkclnt.sys,C:\Windows\System32\drivers\
WB900OJG,umbus.sys,C:\Windows\system32\DRIVERS\
WB900OJG,Npfs.SYS,C:\Windows\System32\Drivers\
WB900OJG,spsys.sys,C:\Windows\system32\drivers\
WB900OJG,ataport.SYS,C:\Windows\system32\drivers\
WB900OJG,ndis.sys,C:\Windows\system32\drivers\
WB900OJG,pci.sys,C:\Windows\system32\drivers\
WB900OJG,discache.sys,C:\Windows\System32\drivers\
WB900OJG,HIDCLASS.SYS,C:\Windows\system32\DRIVERS\
WB900OJG,lltdio.sys,C:\Windows\system32\DRIVERS\
WB900OJG,mrxsmb.sys,C:\Windows\system32\DRIVERS\
WB900OJG,rasl2tp.sys,C:\Windows\system32\DRIVERS\
WB900OJG,netbt.sys,C:\Windows\System32\DRIVERS\
WB900OJG,usbhub.sys,C:\Windows\system32\DRIVERS\
WB900OJG,Ntfs.sys,C:\Windows\System32\Drivers\
WB900OJG,dxg.sys,C:\Windows\System32\drivers\
WB900OJG,ks.sys,C:\Windows\system32\DRIVERS\
WB900OJG,cdrom.sys,C:\Windows\system32\DRIVERS\
WB900OJG,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
WB900OJG,ksecpkg.sys,C:\Windows\System32\Drivers\
WB900OJG,disk.sys,C:\Windows\system32\drivers\
WB900OJG,VBoxDisp.dll,C:\Windows\System32\
WB900OJG,vmstorfl.sys,C:\Windows\system32\drivers\
WB900OJG,wfplwf.sys,C:\Windows\system32\DRIVERS\
WB900OJG,watchdog.sys,C:\Windows\System32\drivers\
WB900OJG,swenum.sys,C:\Windows\system32\DRIVERS\
WB900OJG,win32k.sys,C:\Windows\System32\
WB900OJG,rdprefmp.sys,C:\Windows\system32\drivers\
WB900OJG,rdpencdd.sys,C:\Windows\system32\drivers\
WB900OJG,volmgrx.sys,C:\Windows\System32\drivers\
WB900OJG,CLFS.SYS,C:\Windows\system32\
WB900OJG,ndiswan.sys,C:\Windows\system32\DRIVERS\
WB900OJG,volsnap.sys,C:\Windows\system32\drivers\
WB900OJG,tdx.sys,C:\Windows\system32\DRIVERS\
WB900OJG,NDProxy.SYS,C:\Windows\System32\Drivers\
WB900OJG,atapi.sys,C:\Windows\system32\drivers\
WB900OJG,srvnet.sys,C:\Windows\System32\DRIVERS\
WB900OJG,usbohci.sys,C:\Windows\system32\DRIVERS\
WB900OJG,Dxapi.sys,C:\Windows\System32\drivers\
WB900OJG,rspndr.sys,C:\Windows\system32\DRIVERS\
WB900OJG,rassstp.sys,C:\Windows\system32\DRIVERS\
WB900OJG,tunnel.sys,C:\Windows\system32\DRIVERS\
WB900OJG,afd.sys,C:\Windows\system32\drivers\
WB900OJG,hidusb.sys,C:\Windows\system32\DRIVERS\
WB900OJG,hwpolicy.sys,C:\Windows\System32\drivers\
WB900OJG,HTTP.sys,C:\Windows\system32\drivers\
WB900OJG,USBD.SYS,C:\Windows\system32\DRIVERS\
WB900OJG,pcw.sys,C:\Windows\System32\drivers\
WB900OJG,wanarp.sys,C:\Windows\system32\DRIVERS\
WB900OJG,VBoxSF.sys,C:\Windows\System32\drivers\
WB900OJG,HIDPARSE.SYS,C:\Windows\system32\DRIVERS\
WB900OJG,nsiproxy.sys,C:\Windows\system32\drivers\
WB900OJG,NETIO.SYS,C:\Windows\system32\drivers\
WB900OJG,WMILIB.SYS,C:\Windows\system32\drivers\
WB900OJG,ntoskrnl.exe,C:\Windows\system32\
WB900OJG,TSDDD.dll,C:\Windows\System32\
WB900OJG,fileinfo.sys,C:\Windows\system32\drivers\
WB900OJG,E1G6032E.sys,C:\Windows\system32\DRIVERS\
WB900OJG,msahci.sys,C:\Windows\system32\drivers\
WB900OJG,i8042prt.sys,C:\Windows\system32\DRIVERS\
WB900OJG,tcpip.sys,C:\Windows\System32\drivers\
WB900OJG,HDAudBus.sys,C:\Windows\system32\DRIVERS\
WB900OJG,dump_pciidex.sys,C:\Windows\System32\Drivers\
WB900OJG,tcpipreg.sys,C:\Windows\System32\drivers\
WB900OJG,ACPI.sys,C:\Windows\system32\drivers\
WB900OJG,Null.SYS,C:\Windows\System32\Drivers\
WB900OJG,spldr.sys,C:\Windows\System32\Drivers\
WB900OJG,pacer.sys,C:\Windows\system32\DRIVERS\
WB900OJG,CLASSPNP.SYS,C:\Windows\system32\drivers\
WB900OJG,CI.dll,C:\Windows\system32\
WB900OJG,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
WB900OJG,VIDEOPRT.SYS,C:\Windows\System32\drivers\
WB900OJG,raspppoe.sys,C:\Windows\system32\DRIVERS\
WB900OJG,ksecdd.sys,C:\Windows\System32\Drivers\
WB900OJG,netbios.sys,C:\Windows\system32\DRIVERS\
WB900OJG,secdrv.SYS,C:\Windows\System32\Drivers\
WB900OJG,PCIIDEX.SYS,C:\Windows\system32\drivers\
WB900OJG,dump_msahci.sys,C:\Windows\System32\Drivers\
WB900OJG,Fs_Rec.sys,C:\Windows\System32\Drivers\
WB900OJG,msrpc.sys,C:\Windows\System32\Drivers\
WB900OJG,intelppm.sys,C:\Windows\system32\DRIVERS\
WB900OJG,rdpbus.sys,C:\Windows\system32\DRIVERS\
WB900OJG,amdxata.sys,C:\Windows\system32\drivers\
WB900OJG,RDPCDD.sys,C:\Windows\System32\DRIVERS\
WB900OJG,ksthunk.sys,C:\Windows\system32\drivers\
WB900OJG,Wdf01000.sys,C:\Windows\system32\drivers\
WB900OJG,USBPORT.SYS,C:\Windows\system32\DRIVERS\
WB900OJG,mountmgr.sys,C:\Windows\System32\drivers\
WB900OJG,VBoxVideo.sys,C:\Windows\system32\DRIVERS\
WB900OJG,dfsc.sys,C:\Windows\System32\Drivers\
WB900OJG,peauth.sys,C:\Windows\system32\drivers\
WB900OJG,PSHED.dll,C:\Windows\system32\
WB900OJG,bowser.sys,C:\Windows\system32\DRIVERS\
WB900OJG,vga.sys,C:\Windows\System32\drivers\
WB900OJG,monitor.sys,C:\Windows\system32\DRIVERS\
WB900OJG,dump_dumpfve.sys,C:\Windows\System32\Drivers\
WB900OJG,CmBatt.sys,C:\Windows\system32\DRIVERS\
WB900OJG,blbdrive.sys,C:\Windows\system32\DRIVERS\
WB900OJG,HdAudio.sys,C:\Windows\system32\drivers\
WB900OJG,VBoxGuest.sys,C:\Windows\system32\DRIVERS\
WB900OJG,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
