hostname,modulename,modulepath
WE993SJC,clipsp.sys,C:\Windows\System32\drivers\
WE993SJC,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
WE993SJC,lltdio.sys,C:\Windows\system32\drivers\
WE993SJC,mrxsmb.sys,C:\Windows\system32\DRIVERS\
WE993SJC,serial.sys,C:\Windows\System32\drivers\
WE993SJC,WMILIB.SYS,C:\Windows\System32\drivers\
WE993SJC,WindowsTrustedRT.sys,C:\Windows\system32\drivers\
WE993SJC,EhStorClass.sys,C:\Windows\System32\drivers\
WE993SJC,kbdclass.sys,C:\Windows\System32\drivers\
WE993SJC,registry.sys,C:\Windows\System32\drivers\
WE993SJC,spaceport.sys,C:\Windows\System32\drivers\
WE993SJC,sacdrv.sys,C:\Windows\system32\DRIVERS\
WE993SJC,ntoskrnl.exe,C:\Windows\system32\
WE993SJC,mslldp.sys,C:\Windows\system32\drivers\
WE993SJC,win32k.sys,C:\Windows\System32\
WE993SJC,mup.sys,C:\Windows\System32\Drivers\
WE993SJC,mssmbios.sys,C:\Windows\System32\drivers\
WE993SJC,dump_storport.sys,C:\Windows\System32\Drivers\
WE993SJC,CLASSPNP.SYS,C:\Windows\System32\drivers\
WE993SJC,srv2.sys,C:\Windows\System32\DRIVERS\
WE993SJC,Msfs.SYS,C:\Windows\System32\Drivers\
WE993SJC,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WE993SJC,watchdog.sys,C:\Windows\System32\drivers\
WE993SJC,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
WE993SJC,CEA.sys,C:\Windows\system32\drivers\
WE993SJC,afd.sys,C:\Windows\system32\drivers\
WE993SJC,storqosflt.sys,C:\Windows\system32\drivers\
WE993SJC,rspndr.sys,C:\Windows\system32\drivers\
WE993SJC,pvpanic.sys,C:\Windows\System32\drivers\
WE993SJC,netkvm.sys,C:\Windows\System32\drivers\
WE993SJC,serenum.sys,C:\Windows\System32\drivers\
WE993SJC,tcpipreg.sys,C:\Windows\System32\drivers\
WE993SJC,TDI.SYS,C:\Windows\system32\DRIVERS\
WE993SJC,mountmgr.sys,C:\Windows\System32\drivers\
WE993SJC,tm.sys,C:\Windows\System32\drivers\
WE993SJC,FLTMGR.SYS,C:\Windows\System32\drivers\
WE993SJC,rdpvideominiport.sys,C:\Windows\System32\drivers\
WE993SJC,vioscsi.sys,C:\Windows\System32\drivers\
WE993SJC,volmgrx.sys,C:\Windows\System32\drivers\
WE993SJC,NTFS.sys,C:\Windows\System32\Drivers\
WE993SJC,CLFS.SYS,C:\Windows\System32\drivers\
WE993SJC,HTTP.sys,C:\Windows\system32\drivers\
WE993SJC,filecrypt.sys,C:\Windows\system32\drivers\
WE993SJC,peauth.sys,C:\Windows\system32\drivers\
WE993SJC,dump_vioscsi.sys,C:\Windows\System32\Drivers\
WE993SJC,BasicRender.sys,C:\Windows\System32\drivers\
WE993SJC,crashdmp.sys,C:\Windows\System32\Drivers\
WE993SJC,WdFilter.sys,C:\Windows\system32\drivers\
WE993SJC,netbios.sys,C:\Windows\system32\drivers\
WE993SJC,win32kfull.sys,C:\Windows\System32\
WE993SJC,msisadrv.sys,C:\Windows\System32\drivers\
WE993SJC,win32kbase.sys,C:\Windows\System32\
WE993SJC,hal.dll,C:\Windows\system32\
WE993SJC,mmcss.sys,C:\Windows\system32\drivers\
WE993SJC,NETIO.SYS,C:\Windows\system32\DRIVERS\
WE993SJC,umbus.sys,C:\Windows\System32\drivers\
WE993SJC,wfplwfs.sys,C:\Windows\System32\drivers\
WE993SJC,CI.dll,C:\Windows\system32\
WE993SJC,bowser.sys,C:\Windows\system32\DRIVERS\
WE993SJC,ACPI.sys,C:\Windows\System32\drivers\
WE993SJC,dxgkrnl.sys,C:\Windows\System32\drivers\
WE993SJC,ahcache.sys,C:\Windows\system32\DRIVERS\
WE993SJC,tcpip.sys,C:\Windows\System32\drivers\
WE993SJC,wcifs.sys,C:\Windows\system32\drivers\
WE993SJC,Npfs.SYS,C:\Windows\System32\Drivers\
WE993SJC,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
WE993SJC,nsiproxy.sys,C:\Windows\system32\drivers\
WE993SJC,dfsc.sys,C:\Windows\System32\Drivers\
WE993SJC,fwpkclnt.sys,C:\Windows\System32\drivers\
WE993SJC,kdcom.dll,C:\Windows\system
WE993SJC,intelpep.sys,C:\Windows\System32\drivers\
WE993SJC,i8042prt.sys,C:\Windows\System32\drivers\
WE993SJC,cmimcext.sys,C:\Windows\System32\drivers\
WE993SJC,rdpbus.sys,C:\Windows\System32\drivers\
WE993SJC,msrpc.sys,C:\Windows\System32\drivers\
WE993SJC,gpuenergydrv.sys,C:\Windows\System32\drivers\
WE993SJC,WDFLDR.SYS,C:\Windows\system32\drivers\
WE993SJC,ksecdd.sys,C:\Windows\System32\drivers\
WE993SJC,swenum.sys,C:\Windows\System32\drivers\
WE993SJC,disk.sys,C:\Windows\System32\drivers\
WE993SJC,volsnap.sys,C:\Windows\System32\drivers\
WE993SJC,tunnel.sys,C:\Windows\System32\drivers\
WE993SJC,monitor.sys,C:\Windows\System32\drivers\
WE993SJC,kdnic.sys,C:\Windows\System32\drivers\
WE993SJC,Wdf01000.sys,C:\Windows\system32\drivers\
WE993SJC,pacer.sys,C:\Windows\System32\drivers\
WE993SJC,pdc.sys,C:\Windows\system32\drivers\
WE993SJC,vdrvroot.sys,C:\Windows\System32\drivers\
WE993SJC,rdbss.sys,C:\Windows\system32\DRIVERS\
WE993SJC,cng.sys,C:\Windows\System32\drivers\
