hostname,modulename,modulepath
WS930TBV,usbcir.sys,C:\Windows\System32\drivers\
WS930TBV,drmkaud.sys,C:\Windows\System32\drivers\
WS930TBV,ibtusb.sys,C:\Windows\System32\drivers\
WS930TBV,scmbus.sys,C:\Windows\System32\drivers\
WS930TBV,sdbus.sys,C:\Windows\System32\drivers\
WS930TBV,usbhub.sys,C:\Windows\System32\drivers\
WS930TBV,vdrvroot.sys,C:\Windows\System32\drivers\
WS930TBV,dmvsc.sys,C:\Windows\System32\drivers\
WS930TBV,EhStorTcgDrv.sys,C:\Windows\System32\drivers\
WS930TBV,VmsProxyHNic.sys,C:\Windows\System32\drivers\
WS930TBV,sisraid4.sys,C:\Windows\System32\drivers\
WS930TBV,lxss.sys,C:\Windows\System32\drivers\
WS930TBV,Ucx01000.sys,C:\Windows\System32\drivers\
WS930TBV,afunix.sys,C:\Windows\System32\drivers\
WS930TBV,netvsc.sys,C:\Windows\System32\drivers\
WS930TBV,vwifibus.sys,C:\Windows\System32\drivers\
WS930TBV,hidbatt.sys,C:\Windows\System32\drivers\
WS930TBV,ksthunk.sys,C:\Windows\System32\drivers\
WS930TBV,http.sys,C:\Windows\System32\drivers\
WS930TBV,appid.sys,C:\Windows\System32\drivers\
WS930TBV,acpipmi.sys,C:\Windows\System32\drivers\
WS930TBV,amdsata.sys,C:\Windows\System32\drivers\
WS930TBV,vmstorfl.sys,C:\Windows\System32\drivers\
WS930TBV,mup.sys,C:\Windows\System32\drivers\
WS930TBV,ndisuio.sys,C:\Windows\System32\drivers\
WS930TBV,pcmcia.sys,C:\Windows\System32\drivers\
WS930TBV,lsi_sas2i.sys,C:\Windows\System32\drivers\
WS930TBV,amdppm.sys,C:\Windows\System32\drivers\
WS930TBV,iagpio.sys,C:\Windows\System32\drivers\
WS930TBV,serial.sys,C:\Windows\System32\drivers\
WS930TBV,VmsProxy.sys,C:\Windows\System32\drivers\
WS930TBV,umpass.sys,C:\Windows\System32\drivers\
WS930TBV,rfcomm.sys,C:\Windows\System32\drivers\
WS930TBV,urssynopsys.sys,C:\Windows\System32\drivers\
WS930TBV,FsDepends.sys,C:\Windows\System32\drivers\
WS930TBV,SDFRd.sys,C:\Windows\System32\drivers\
WS930TBV,processr.sys,C:\Windows\System32\drivers\
WS930TBV,iaStorAVC.sys,C:\Windows\System32\drivers\
WS930TBV,acpipagr.sys,C:\Windows\System32\drivers\
WS930TBV,Synth3dVsc.sys,C:\Windows\System32\drivers\
WS930TBV,mssmbios.sys,C:\Windows\System32\drivers\
WS930TBV,applockerfltr.sys,C:\Windows\System32\drivers\
WS930TBV,Wdf01000.sys,C:\Windows\System32\drivers\
WS930TBV,bxvbda.sys,C:\Windows\System32\drivers\
WS930TBV,SgrmAgent.sys,C:\Windows\System32\drivers\
WS930TBV,ksecdd.sys,C:\Windows\System32\drivers\
WS930TBV,hvcrash.sys,C:\Windows\System32\drivers\
WS930TBV,urschipidea.sys,C:\Windows\System32\drivers\
WS930TBV,rasl2tp.sys,C:\Windows\System32\drivers\
WS930TBV,urscx01000.sys,C:\Windows\System32\drivers\
WS930TBV,rdpdr.sys,C:\Windows\System32\drivers\
WS930TBV,MTConfig.sys,C:\Windows\System32\drivers\
WS930TBV,monitor.sys,C:\Windows\System32\drivers\
WS930TBV,HdAudio.sys,C:\Windows\System32\drivers\
WS930TBV,fdc.sys,C:\Windows\System32\drivers\
WS930TBV,VerifierExt.sys,C:\Windows\System32\drivers\
