hostname,modulename,modulepath
WW882YBM,agilevpn.sys,C:\Windows\System32\drivers\
WW882YBM,UCX01000.SYS,C:\Windows\System32\drivers\
WW882YBM,terminpt.sys,C:\Windows\System32\drivers\
WW882YBM,fxppm.sys,C:\Windows\System32\drivers\
WW882YBM,hyperkbd.sys,C:\Windows\System32\drivers\
WW882YBM,ndis.sys,C:\Windows\System32\drivers\
WW882YBM,SerCx2.sys,C:\Windows\System32\drivers\
WW882YBM,modem.sys,C:\Windows\System32\drivers\
WW882YBM,nvstor.sys,C:\Windows\System32\drivers\
WW882YBM,usbohci.sys,C:\Windows\System32\drivers\
WW882YBM,mountmgr.sys,C:\Windows\System32\drivers\
WW882YBM,mpsdrv.sys,C:\Windows\System32\drivers\
WW882YBM,ipnat.sys,C:\Windows\System32\drivers\
WW882YBM,adp80xx.sys,C:\Windows\System32\drivers\
WW882YBM,bfadi.sys,C:\Windows\System32\drivers\
WW882YBM,rasl2tp.sys,C:\Windows\System32\drivers\
WW882YBM,umpass.sys,C:\Windows\System32\drivers\
WW882YBM,volmgr.sys,C:\Windows\System32\drivers\
WW882YBM,storvsc.sys,C:\Windows\System32\drivers\
WW882YBM,filetrace.sys,C:\Windows\System32\drivers\
WW882YBM,monitor.sys,C:\Windows\System32\drivers\
WW882YBM,qlfcoei.sys,C:\Windows\System32\drivers\
WW882YBM,msiscsi.sys,C:\Windows\System32\drivers\
WW882YBM,Wdf01000.sys,C:\Windows\System32\drivers\
WW882YBM,hidusb.sys,C:\Windows\System32\drivers\
WW882YBM,lsi_sas.sys,C:\Windows\System32\drivers\
WW882YBM,storahci.sys,C:\Windows\System32\drivers\
WW882YBM,npsvctrig.sys,C:\Windows\System32\drivers\
WW882YBM,pacer.sys,C:\Windows\System32\drivers\
WW882YBM,netvsc63.sys,C:\Windows\System32\drivers\
WW882YBM,viaide.sys,C:\Windows\System32\drivers\
WW882YBM,vdrvroot.sys,C:\Windows\System32\drivers\
WW882YBM,EC2WinUtilDriver.sys,C:\Windows\System32\drivers\
WW882YBM,hidbatt.sys,C:\Windows\System32\drivers\
WW882YBM,afd.sys,C:\Windows\System32\drivers\
WW882YBM,TsUsbGD.sys,C:\Windows\System32\drivers\
WW882YBM,wacompen.sys,C:\Windows\System32\drivers\
WW882YBM,hdaudbus.sys,C:\Windows\System32\drivers\
WW882YBM,UAGP35.SYS,C:\Windows\System32\drivers\
WW882YBM,xenbus.sys,C:\Windows\System32\drivers\
WW882YBM,mssmbios.sys,C:\Windows\System32\drivers\
WW882YBM,PEAuth.sys,C:\Windows\System32\drivers\
WW882YBM,acpi.sys,C:\Windows\System32\drivers\
WW882YBM,cht4vx64.sys,C:\Windows\System32\drivers\
WW882YBM,lsi_sas3.sys,C:\Windows\System32\drivers\
WW882YBM,pciide.sys,C:\Windows\System32\drivers\
WW882YBM,tpm.sys,C:\Windows\System32\drivers\
WW882YBM,NdisVirtualBus.sys,C:\Windows\System32\drivers\
WW882YBM,storvsp.sys,C:\Windows\System32\drivers\
WW882YBM,intelide.sys,C:\Windows\System32\drivers\
WW882YBM,mrxsmb.sys,C:\Windows\System32\drivers\
WW882YBM,iaStorV.sys,C:\Windows\System32\drivers\
WW882YBM,http.sys,C:\Windows\System32\drivers\
WW882YBM,mshidumdf.sys,C:\Windows\System32\drivers\
WW882YBM,acpipagr.sys,C:\Windows\System32\drivers\
WW882YBM,kdnic.sys,C:\Windows\System32\drivers\
WW882YBM,vmgencounter.sys,C:\Windows\System32\drivers\
WW882YBM,mup.sys,C:\Windows\System32\drivers\
WW882YBM,sfloppy.sys,C:\Windows\System32\drivers\
WW882YBM,amdppm.sys,C:\Windows\System32\drivers\
WW882YBM,vxn64x64.sys,C:\Windows\System32\drivers\
WW882YBM,acpipmi.sys,C:\Windows\System32\drivers\
WW882YBM,ksecdd.sys,C:\Windows\System32\drivers\
WW882YBM,3ware.sys,C:\Windows\System32\drivers\
WW882YBM,wimmount.sys,C:\Windows\System32\drivers\
WW882YBM,parport.sys,C:\Windows\System32\drivers\
WW882YBM,VerifierExt.sys,C:\Windows\System32\drivers\
WW882YBM,cdrom.sys,C:\Windows\System32\drivers\
WW882YBM,netbios.sys,C:\Windows\System32\drivers\
WW882YBM,amdk8.sys,C:\Windows\System32\drivers\
WW882YBM,vmstorfl.sys,C:\Windows\System32\drivers\
WW882YBM,processr.sys,C:\Windows\System32\drivers\
WW882YBM,vpcivsp.sys,C:\Windows\System32\drivers\
WW882YBM,1394ohci.sys,C:\Windows\System32\drivers\
WW882YBM,usbhub.sys,C:\Windows\System32\drivers\
WW882YBM,vhdmp.sys,C:\Windows\System32\drivers\
WW882YBM,i8042prt.sys,C:\Windows\System32\drivers\
WW882YBM,nvraid.sys,C:\Windows\System32\drivers\
WW882YBM,rdpvideominiport.sys,C:\Windows\System32\drivers\
WW882YBM,rdpbus.sys,C:\Windows\System32\drivers\
WW882YBM,fcvsc.sys,C:\Windows\System32\drivers\
WW882YBM,pcw.sys,C:\Windows\System32\drivers\
WW882YBM,xeniface.sys,C:\Windows\System32\drivers\
WW882YBM,ksthunk.sys,C:\Windows\System32\drivers\
WW882YBM,BasicDisplay.sys,C:\Windows\System32\drivers\
WW882YBM,cdfs.sys,C:\Windows\System32\drivers\
WW882YBM,TsUsbFlt.sys,C:\Windows\System32\drivers\
WW882YBM,sermouse.sys,C:\Windows\System32\drivers\
WW882YBM,USBHUB3.SYS,C:\Windows\System32\drivers\
WW882YBM,volmgrx.sys,C:\Windows\System32\drivers\
WW882YBM,stexstor.sys,C:\Windows\System32\drivers\
WW882YBM,winverbs.sys,C:\Windows\System32\drivers\
WW882YBM,volsnap.sys,C:\Windows\System32\drivers\
WW882YBM,VMBusHID.sys,C:\Windows\System32\drivers\
WW882YBM,usbprint.sys,C:\Windows\System32\drivers\
WW882YBM,bfadfcoei.sys,C:\Windows\System32\drivers\
WW882YBM,vsmraid.sys,C:\Windows\System32\drivers\
WW882YBM,megasr.sys,C:\Windows\System32\drivers\
WW882YBM,fdc.sys,C:\Windows\System32\drivers\
WW882YBM,srvnet.sys,C:\Windows\System32\drivers\
WW882YBM,ULIAGPKX.SYS,C:\Windows\System32\drivers\
WW882YBM,serial.sys,C:\Windows\System32\drivers\
WW882YBM,NV_AGP.SYS,C:\Windows\System32\drivers\
WW882YBM,ndiswan.sys,C:\Windows\System32\drivers\
WW882YBM,acpitime.sys,C:\Windows\System32\drivers\
WW882YBM,arcsas.sys,C:\Windows\System32\drivers\
WW882YBM,dxgkrnl.sys,C:\Windows\System32\drivers\
WW882YBM,luafv.sys,C:\Windows\System32\drivers\
WW882YBM,AGP440.sys,C:\Windows\System32\drivers\
WW882YBM,mvumis.sys,C:\Windows\System32\drivers\
WW882YBM,ql2300i.sys,C:\Windows\System32\drivers\
WW882YBM,tdx.sys,C:\Windows\System32\drivers\
WW882YBM,HpSAMD.sys,C:\Windows\System32\drivers\
WW882YBM,ibbus.sys,C:\Windows\System32\drivers\
WW882YBM,xennet.sys,C:\Windows\System32\drivers\
WW882YBM,rassstp.sys,C:\Windows\System32\drivers\
WW882YBM,msgpioclx.sys,C:\Windows\System32\drivers\
WW882YBM,winmad.sys,C:\Windows\System32\drivers\
WW882YBM,bridge.sys,C:\Windows\System32\drivers\
WW882YBM,SerCx.sys,C:\Windows\System32\drivers\
WW882YBM,pdc.sys,C:\Windows\System32\drivers\
WW882YBM,amdsata.sys,C:\Windows\System32\drivers\
WW882YBM,acpiex.sys,C:\Windows\System32\drivers\
WW882YBM,dmvsc.sys,C:\Windows\System32\drivers\
WW882YBM,VSTXRAID.SYS,C:\Windows\System32\drivers\
WW882YBM,AWSNVMe.sys,C:\Windows\System32\drivers\
WW882YBM,scfilter.sys,C:\Windows\System32\drivers\
WW882YBM,srv2.sys,C:\Windows\System32\drivers\
WW882YBM,ql40xx2i.sys,C:\Windows\System32\drivers\
WW882YBM,serenum.sys,C:\Windows\System32\drivers\
WW882YBM,MsLbfoProvider.sys,C:\Windows\System32\drivers\
WW882YBM,mrxsmb10.sys,C:\Windows\System32\drivers\
WW882YBM,sbp2port.sys,C:\Windows\System32\drivers\
WW882YBM,atapi.sys,C:\Windows\System32\drivers\
WW882YBM,bowser.sys,C:\Windows\System32\drivers\
WW882YBM,tcpip.sys,C:\Windows\System32\drivers\
WW882YBM,xenvbd.sys,C:\Windows\System32\drivers\
WW882YBM,bxfcoe.sys,C:\Windows\System32\drivers\
WW882YBM,svchost.exe,C:\Windows\System32\
WW882YBM,rdbss.sys,C:\Windows\System32\drivers\
WW882YBM,WUDFPf.sys,C:\Windows\System32\drivers\
WW882YBM,ksecpkg.sys,C:\Windows\System32\drivers\
