hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
NN659XDW,2212,C:\Windows\System32\svchost.exe,0cde0bdd9e6ee02f3eb1d68793c1a92f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,2332,C:\Windows\System32\rasadhlp.dll,fd766782e4ba37f3654f7191ff5d689e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,5776,C:\Windows\System32\rsaenh.dll,7ffb405e55f658bccb189354504e3a6f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,4076,C:\Windows\System32\nsi.dll,b0c007f8928fd5812e1a75ad4feb8533,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,76,C:\Windows\System32\nsi.dll,b0c007f8928fd5812e1a75ad4feb8533,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,180,C:\Windows\System32\usp10.dll,061aab5ae40ec69a3a9d84c98492fc92,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,28,C:\Windows\System32\en-US\KernelBase.dll.mui,65a4a5798ae90e23a4fd363ab82cf0c9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,2868,C:\Windows\System32\provsvc.dll,93f8f8dc3de5f74dbc1df33cab8d5a7e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,5636,C:\Windows\System32\crypt32.dll,d8f9df9a804b1cba6a58c2eae26cf4fd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,5904,C:\Windows\System32\msxml3r.dll,154716751c46ad21de8bd6cd4f816cc8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,4976,C:\Windows\System32\locale.nls,9889b204ccd5fe3b21bf09278e5f2dd6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,4584,C:\Windows\System32\cryptbase.dll,0e1d205781cfdc41a61579fc578409b5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,1488,C:\Windows\System32\crypt32.dll,d8f9df9a804b1cba6a58c2eae26cf4fd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,2916,C:\Windows\System32\cryptsp.dll,bfe8177b161eff78ba8f3c02aeced734,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,1036,C:\Windows\System32\rpcrt4.dll,f100759786e2ff4fe8f91ad320f919f1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,2868,C:\Program Files\Internet Explorer\ieproxy.dll,be4bbb5816f9c675ff4bba721c08b2d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,412,C:\Windows\System32\ncrypt.dll,83c5ecad849ad91ea5be6cde84b73af8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,76,C:\Windows\System32\gpapi.dll,e42264ce0b573bbbb7c2c55dac785275,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,6312,C:\Windows\System32\shlwapi.dll,d72d2e145e6a94e919b4a4db58e6a13b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,4132,C:\Windows\System32\credssp.dll,6dc24ca6fb447b8d830479c2c29971e5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,1824,C:\Windows\System32\imm32.dll,ea93f4b7e7ab98c0a423d8348f21a007,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,648,C:\Windows\System32\locale.nls,9889b204ccd5fe3b21bf09278e5f2dd6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,3188,C:\Windows\System32\ssdpapi.dll,e287eb12cfd67c0cd5df4f7e2462b963,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
NN659XDW,4280,C:\Windows\System32\P2PGraph.dll,f15cd70ed65fef7e41ab7d897a9f2c0d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
