hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
SC486JLO,2012,C:\Windows\System32\rpcrt4.dll,2146a7ba6dc3084461b176df1ea7efaf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,6148,C:\Windows\System32\locale.nls,5c7d28a97e542ec848a05ea68fe89f8b,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,5860,C:\Windows\System32\UIAnimation.dll,cd57de4071c15a080b959d4236af7e45,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,272,C:\Windows\System32\user32.dll,f3a7445028df3a938651bd49ccaceda7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,1052,C:\Windows\System32\userenv.dll,35f64aa2843100d1570297a642780a3e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,3728,C:\Windows\System32\cryptsp.dll,4d132077db66c26bccf4210627ed351a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,2012,C:\Windows\System32\credssp.dll,8b28a6bd95c647ad34dafaa4e1f576b2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,1052,C:\Windows\System32\cryptbase.dll,d161b8d96a130848bc39a9fbf7c51b77,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,3728,C:\Windows\System32\advapi32.dll,854b8073d9cd967ee17f5191b6e18178,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,2176,C:\Windows\System32\clbcatq.dll,07792d1c83bc9a4d09fa6b9b514ed657,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SC486JLO,276,C:\Windows\System32\ole32.dll,c5808c9f7a5e0e6987cdd6ab5310bde6,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
