hostname,pid,name,md5sum,signatureexists,signatureverified,description,certificatesubject,certificateissuer
SL457VRJ,5388,C:\Windows\System32\locale.nls,f7bce0fba24492a2051dc403aaa823a5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,528,C:\Windows\System32\sechost.dll,6d7df77332e5299c0f731cf38ce170ea,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1084,C:\Windows\System32\en-US\dwm.exe.mui,f0792ea822bfb3f5b9f58a0b332504a3,true,true,The file is signed and the signature was verified.,Microsoft Windows,
SL457VRJ,6356,C:\Windows\Globalization\Sorting\SortDefault.nls,c4ce14ef7e3f7496c6b0a657e83ee5d1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1084,C:\Windows\System32\KernelBase.dll,c1d7361937f8a4c138fe528809b1583a,true,true,The file is signed and the signature was verified.,Microsoft Windows,
SL457VRJ,528,C:\Windows\System32\clbcatq.dll,86eaa4716881c3ad4289925847b5bce5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,6356,C:\Windows\System32\netjoin.dll,022587f63ad3ab6fc8d27f99237ae5bb,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\en-US\shell32.dll.mui,b489546174b502ec1dc953cdf9da08ba,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\wwapi.dll,51d5e4840b3515d58e42f54f914bb034,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3732,C:\Windows\System32\ws2_32.dll,31f6dc6e613f94712eb84ac1eb1e017c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3732,C:\Windows\Globalization\Sorting\SortDefault.nls,c4ce14ef7e3f7496c6b0a657e83ee5d1,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\en-US\ieframe.dll.mui,ef343034ffc1260bcadac6c6c357eabf,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,4952,C:\Windows\System32\mswsock.dll,e97bc882c78f3ce85124305fe2438a8e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\iertutil.dll,d3f50b9190e85727e0906b446183f2dd,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3732,C:\Windows\System32\schannel.dll,d14992c01938cc21404dfe74fc2a37c7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\en-US\FXSRESM.dll.mui,f68c408d57ec897675506ee302ce3200,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,596,C:\Windows\System32\svchost.exe,f8bab354ff3af5b146e817943d4799c8,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\FXSST.dll,6d603641b0910398ec8a5ba7a0da24e0,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,5100,C:\Windows\System32\ntdll.dll,90e27f2c7bddaffa5e4f8cf54e00272e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,2806,C:\Program Files\Common Files\McAfee\ModuleCore\ProtectedModuleHost.exe,af5228c31e00db0fa4d245fef78c9942,false,false,,,
SL457VRJ,20,C:\Windows\System32\netutils.dll,3851f908e4bc468366ddba52e46b3a3d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\winsta.dll,acbabcaa06f72f924cc4925271f74869,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1640,C:\Windows\System32\shlwapi.dll,5ff525979da40a1f8f717406f3619bc5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,6492,C:\Windows\System32\slc.dll,20cd2ae1d2db973a28b0b6098fb2cfc7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,6492,C:\Windows\System32\pnrpnsp.dll,012bfa661bd25addb59c7ee3ac4493a9,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,2032,C:\Windows\System32\imm32.dll,24550e20549cf48590d538c7dd26faf4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,600,C:\Windows\System32\credssp.dll,ec3d2c17fcb0498161285e1e3f492b34,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3732,C:\Windows\System32\kernel32.dll,1a30817fc82b3a0695fe47131166e72d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,20,C:\Windows\System32\apphelp.dll,d5a7b523babe8b5272928339dd1a511f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1780,C:\Windows\System32\drt.dll,c9f2938c230357bb7e37cfce29f990cc,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,4952,C:\Windows\System32\bcrypt.dll,f32aa9c699af65efa1cdaacde83bbb9a,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,4168,C:\Windows\System32\P2PGraph.dll,405b476948ffccb79bcb486d18a18688,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\netshell.dll,f5b50094d683b9e86558b533671e220e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3372,C:\Windows\System32\winnsi.dll,d8dfbb24d94b2f6be93f9f625941850f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3400,C:\Windows\System32\ws2_32.dll,31f6dc6e613f94712eb84ac1eb1e017c,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,6356,C:\Windows\System32\usp10.dll,1873fd1a0337f794c206eb5adcc9ac63,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3416,C:\Windows\System32\netutils.dll,3851f908e4bc468366ddba52e46b3a3d,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,6356,C:\Windows\System32\rpcrt4.dll,4cfdd38174fe80188eca465f80cfd8d4,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1780,C:\Windows\System32\userenv.dll,72d12e3e86ddd56e895deaa1fb377b77,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,5388,C:\Windows\System32\winnsi.dll,d8dfbb24d94b2f6be93f9f625941850f,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1836,C:\Program Files (x86)\Common Files\Microsoft Shared\Ink\TabTip32.exe,264f3a770e9e13d6a5291ce84e16e9b8,false,false,,,
SL457VRJ,596,C:\Windows\System32\en-US\crypt32.dll.mui,435006b429ca58a37d0f09a26d436832,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,5388,C:\Windows\System32\en-US\crypt32.dll.mui,435006b429ca58a37d0f09a26d436832,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1780,C:\Windows\System32\slc.dll,20cd2ae1d2db973a28b0b6098fb2cfc7,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,2032,C:\Windows\System32\authz.dll,eb41492626a0aa0de943dd351d3b0a68,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,724,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe\powershell.exe,b3df066e2b3ca045a0543d38a614c193,false,false,,,
SL457VRJ,5388,C:\Windows\System32\user32.dll,a2e414548bb03dba20c2f35bee96f6f2,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3732,C:\Windows\System32\esent.dll,9494aa777f60b0bd3f127c9d4ab02eff,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,4032,C:\Windows\System32\locale.nls,f7bce0fba24492a2051dc403aaa823a5,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,528,C:\Windows\System32\nsi.dll,6d77bff069bd85a5d098838ece5ed999,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,600,C:\Windows\System32\msvcrt.dll,ae5b50c85e29c0fa750aa7a21119e32e,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,528,C:\Windows\System32\secur32.dll,96219ea8366922c2da50fbb37462b759,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,6356,C:\Windows\System32\ole32.dll,b4cf7c4f2b6d392862da4f1c60882a84,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3400,C:\Windows\System32\sechost.dll,6d7df77332e5299c0f731cf38ce170ea,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,1640,C:\Windows\System32\credssp.dll,ec3d2c17fcb0498161285e1e3f492b34,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
SL457VRJ,3732,C:\Windows\System32\P2PGraph.dll,405b476948ffccb79bcb486d18a18688,true,true,The file is signed and the signature was verified.,Microsoft Windows,Microsoft Windows Verification PCA
