hostname,name,arguments,username,path,pid
ST869VRJ,modulecoreservice.exe,"""c:\program files\common files\mcafee\modulecore\modulecoreservice.exe""",elean.washin,c:\program files\common files\mcafee\modulecore,6457
ST869VRJ,OneDrive.exe,"""C:\Users\codyhoward\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",codyhoward,C:\Users\codyhoward\AppData\Local\Microsoft\OneDrive,5227
ST869VRJ,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,824
ST869VRJ,svchost.exe,C:\Windows\system32\svchost.exe -k LocalService,NT AUTHORITY\SYSTEM,C:\Windows\system32,5908
ST869VRJ,winlogon.exe,winlogon.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5876
ST869VRJ,McCSPServiceHost.exe,"""C:\Program Files\Common Files\McAfee\CSP\3.0.127.0\\McCSPServiceHost.exe""",elean.washin,C:\Program Files\Common Files\McAfee\CSP\3.0.127.0,3677
ST869VRJ,putty.exe,"""C:\Program Files\PuTTY\putty.exe"" ",jessicturne75,C:\Program Files\PuTTY,4801
ST869VRJ,Wireshark.exe,"""C:\Program Files\Wireshark\Wireshark.exe"" ",jessicturne75,C:\Program Files\Wireshark,2202
ST869VRJ,MicrosoftEdgeCP.exe,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",jessicturne75,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,1915
ST869VRJ,sqlservr.exe,"""C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn\sqlservr.exe"" -sSQLEXPRESS",elean.washin,C:\Program Files\Microsoft SQL Server\MSSQL14.SQLEXPRESS\MSSQL\Binn,601
ST869VRJ,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",elean.washin,C:\Program Files\McAfee\WebAdvisor,5542
ST869VRJ,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",elean.washin,C:\Program Files\Common Files\McAfee\ModuleCore,4926
ST869VRJ,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\system32,296
ST869VRJ,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,2004
ST869VRJ,vmware-authd.exe,"""C:\Program Files (x86)\VMware\VMware Player\vmware-authd.exe""",elean.washin,C:\Program Files (x86)\VMware\VMware Player,2612
ST869VRJ,mcshield.exe,"""C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe""",elean.washin,C:\Program Files\Common Files\McAfee\AMCore,4323
ST869VRJ,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,3268
ST869VRJ,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,C:\Windows\system32,1124
ST869VRJ,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",elean.washin,C:\Program Files\Common Files\McAfee\PEF\CORE,6310
ST869VRJ,vmware-usbarbitrator64.exe,"""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""",elean.washin,C:\Program Files (x86)\Common Files\VMware\USB,481
ST869VRJ,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\system32,2672
ST869VRJ,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",elean.washin,C:\Program Files\McAfee\MAT,1563
ST869VRJ,msdtc.exe,C:\Windows\System32\msdtc.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,4712
ST869VRJ,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,68
ST869VRJ,svchost.exe,C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,2172
ST869VRJ,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",elean.washin,C:\Program Files\Common Files\mcafee\Platform,5642
ST869VRJ,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,elean.washin,C:\ProgramData\McAfee\Direct,890
ST869VRJ,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",elean.washin,C:\Program Files\Common Files\McAfee\VSCore_18_6,2677
ST869VRJ,LogonUI.exe,"""LogonUI.exe"" /flags:0x0",NT AUTHORITY\SYSTEM,C:\Windows\system32,1756
ST869VRJ,McInstruTrack.exe,C:\ProgramData\McAfee\McInstruTrack\McInstruTrack.exe /SP:0,elean.washin,C:\ProgramData\McAfee\McInstruTrack,5570
ST869VRJ,MMSSHOST.EXE,"""C:\Program Files\Common Files\McAfee\MMSSHost\MMSSHOST.EXE"" MMSCOM homenetsvc",elean.washin,C:\Program Files\Common Files\McAfee\MMSSHost,6251
ST869VRJ,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,904
ST869VRJ,svchost.exe,C:\Windows\system32\svchost.exe -k RPCSS,NT AUTHORITY\SYSTEM,C:\Windows\system32,764
ST869VRJ,taskhostex.exe,taskhostex.exe ,NT AUTHORITY\SYSTEM,C:\Windows\system32,5464
ST869VRJ,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",elean.washin,C:\Program Files\McAfee\WebAdvisor,2571
ST869VRJ,SkypeBackgroundHost.exe,"""C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c\SkypeBackgroundHost.exe"" -ServerName:SkypeBackgroundHost",codyhoward,C:\Program Files\WindowsApps\Microsoft.SkypeApp_14.33.41.0_x64__kzf8qxf38zg5c,1444
ST869VRJ,wininit.exe,wininit.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,5932
ST869VRJ,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,4860
ST869VRJ,wmiprvse.exe,C:\Windows\system32\wbem\wmiprvse.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32\wbem,3884
ST869VRJ,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,1480
ST869VRJ,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -controlservice -slave",codyhoward,C:\Program Files\TightVNC,1736
ST869VRJ,svchost.exe,C:\Windows\System32\svchost.exe -k utcsvc,NT AUTHORITY\SYSTEM,C:\Windows\System32,5184
ST869VRJ,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",elean.washin,C:\Program Files\McAfee\MfeAV,674
ST869VRJ,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",codyhoward,C:\Program Files\TightVNC,4005
ST869VRJ,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",elean.washin,C:\Program Files\Common Files\McAfee\Platform\Core,1328
ST869VRJ,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,elean.washin,c:\program files\common files\mcafee\modulecore,623
ST869VRJ,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",elean.washin,C:\ProgramData\McAfee\Direct,3167
ST869VRJ,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",elean.washin,C:\Program Files\Common Files\McAfee\TaskScheduler,1016
ST869VRJ,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,4540
ST869VRJ,svchost.exe,C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted,NT AUTHORITY\SYSTEM,C:\Windows\System32,736
ST869VRJ,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",codyhoward,C:\Program Files\RealVNC\VNC Viewer,4828
ST869VRJ,mcafee_trial_setup_433.0207.3919_key.exe,"""C:\Users\elean.washin\AppData\Local\Temp\scoped_dir9616_4071\mcafee_trial_setup_433.0207.3919_key.exe"" ",elean.washin,C:\Users\elean.washin\AppData\Local\Temp\scoped_dir9616_4071,957
