hostname,name,arguments,username,path,pid
WB572SNL,OneDrive.exe,"""C:\Users\noataylo29\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" ",noataylo29,C:\Users\noataylo29\AppData\Local\Microsoft\OneDrive,301
WB572SNL,McApExe.exe,"""C:\Program Files\Common Files\McAfee\VSCore_18_6\McApExe.exe""",noataylo29,C:\Program Files\Common Files\McAfee\VSCore_18_6,2633
WB572SNL,taskhostw.exe,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},NT AUTHORITY\SYSTEM,C:\Windows\System32,3576
WB572SNL,mcuicnt.exe,"""C:\Program Files\Common Files\mcafee\Platform\mcuicnt.exe"" ""C:\Program Files\Common Files\McAfee\ActWiz\mcactwiz.dll"" nosplash:",noataylo29,C:\Program Files\Common Files\mcafee\Platform,4120
WB572SNL,PEFService.exe,"""C:\Program Files\Common Files\McAfee\PEF\CORE\PEFService.exe""",noataylo29,C:\Program Files\Common Files\McAfee\PEF\CORE,565
WB572SNL,ProtectedModuleHost.exe,"""C:\\Program Files\\Common Files\\McAfee\ModuleCore\\ProtectedModuleHost.exe""",noataylo29,C:\Program Files\Common Files\McAfee\ModuleCore,6490
WB572SNL,MicrosoftEdgeCP.exe,"""C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe\MicrosoftEdgeCP.exe"" -ServerName:ContentProcess.AppX6z3cwk4fvgady6zya12j1cw28d228a7k.mca",noataylo29,C:\Windows\SystemApps\Microsoft.MicrosoftEdge_8wekyb3d8bbwe,3883
WB572SNL,LogonUI.exe,"""LogonUI.exe"" /flags:0x0 /state0:0xa3a5d855 /state1:0x41c64e6d",NT AUTHORITY\SYSTEM,C:\Windows\system32,4312
WB572SNL,McAMTaskAgent.exe,"""C:\Program Files\Common Files\McAfee\TaskScheduler\McAMTaskAgent.exe"" -Embedding",noataylo29,C:\Program Files\Common Files\McAfee\TaskScheduler,5217
WB572SNL,svchost.exe,C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork,NT AUTHORITY\SYSTEM,C:\Windows\system32,1144
WB572SNL,UIHost.exe,"""C:\Program Files\McAfee\WebAdvisor\UIHost.exe"" ",noataylo29,C:\Program Files\McAfee\WebAdvisor,1196
WB572SNL,tvnserver.exe,"""C:\Program Files\TightVNC\tvnserver.exe"" -service",samu.hill17,C:\Program Files\TightVNC,1507
WB572SNL,dwm.exe,"""dwm.exe""",NT AUTHORITY\SYSTEM,C:\Windows\system32,2452
WB572SNL,bash.exe,"""C:\Program Files\Git\usr\bin\bash.exe""",devinel,C:\Program Files\Git\usr\bin,3286
WB572SNL,vncviewer.exe,"""C:\Program Files\RealVNC\VNC Viewer\vncviewer.exe"" ",samu.hill17,C:\Program Files\RealVNC\VNC Viewer,4025
WB572SNL,svchost.exe,C:\Windows\system32\svchost.exe -k UnistackSvcGroup,NT AUTHORITY\SYSTEM,C:\Windows\system32,5384
WB572SNL,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{A7CCA429-5F8F-4A5B-B524-82C38D561286},NT AUTHORITY\SYSTEM,C:\Windows\system32,3840
WB572SNL,Explorer.EXE,C:\Windows\Explorer.EXE,NT AUTHORITY\SYSTEM,C:\Windows,2536
WB572SNL,dllhost.exe,C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235},NT AUTHORITY\SYSTEM,C:\Windows\system32,1744
WB572SNL,svchost.exe,C:\Windows\system32\svchost.exe -k NetworkService,NT AUTHORITY\SYSTEM,C:\Windows\system32,6144
WB572SNL,spoolsv.exe,C:\Windows\System32\spoolsv.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,2344
WB572SNL,ServiceHost.exe,"""C:\Program Files\McAfee\WebAdvisor\ServiceHost.exe""",noataylo29,C:\Program Files\McAfee\WebAdvisor,1299
WB572SNL,svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,NT AUTHORITY\SYSTEM,C:\Windows\system32,5660
WB572SNL,git-bash.exe,"""C:\Program Files\Git\git-bash.exe"" ""--cd=C:\Users\devinel\Desktop.""",devinel,C:\Program Files\Git,3694
WB572SNL,SearchUI.exe,"""C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy\SearchUI.exe"" -ServerName:CortanaUI.AppXa50dqqa5gqv4a428c9y1jjw7m3btvepj.mca",NT AUTHORITY\SYSTEM,C:\Windows\SystemApps\Microsoft.Windows.Cortana_cw5n1h2txyewy,184
WB572SNL,ModuleCoreService.exe,ModuleCoreService.exe /startUserModeHosting=4_TIME_TO_DIE,noataylo29,c:\program files\common files\mcafee\modulecore,5256
WB572SNL,sihost.exe,sihost.exe,NT AUTHORITY\SYSTEM,C:\Windows\System32,4256
WB572SNL,McPvTray.exe,"""C:\Program Files\McAfee\MAT\McPvTray.exe""",noataylo29,C:\Program Files\McAfee\MAT,6360
WB572SNL,McDiReg.exe,C:\ProgramData\McAfee\Direct\McDiReg.exe -MONITOR_PI2 9508,noataylo29,C:\ProgramData\McAfee\Direct,6142
WB572SNL,McDiReg.exe,"""C:\ProgramData\McAfee\Direct\McDiReg.exe"" ",noataylo29,C:\ProgramData\McAfee\Direct,2266
WB572SNL,MFEAvSvc.exe,"""C:\Program Files\McAfee\MfeAV\MFEAvSvc.exe""",noataylo29,C:\Program Files\McAfee\MfeAV,4027
WB572SNL,svchost.exe,C:\Windows\System32\svchost.exe -k termsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,4856
WB572SNL,svchost.exe,C:\Windows\System32\svchost.exe -k netsvcs,NT AUTHORITY\SYSTEM,C:\Windows\System32,3768
WB572SNL,lsass.exe,C:\Windows\system32\lsass.exe,NT AUTHORITY\SYSTEM,C:\Windows\system32,1796
WB572SNL,RuntimeBroker.exe,C:\Windows\System32\RuntimeBroker.exe -Embedding,NT AUTHORITY\SYSTEM,C:\Windows\System32,4404
WB572SNL,mchost.exe,"""C:\Program Files\Common Files\McAfee\Platform\Core\mchost.exe"" {e05dd3fd-ba47-4235-85a5-3789db83c8e1} /pid=444",noataylo29,C:\Program Files\Common Files\McAfee\Platform\Core,1755
