hostname,modulename,modulepath
EB466KUW,monitor.sys,C:\Windows\System32\drivers\
EB466KUW,iaLPSS2i_GPIO2_BXT_P.sys,C:\Windows\System32\drivers\
EB466KUW,volsnap.sys,C:\Windows\System32\drivers\
EB466KUW,winnat.sys,C:\Windows\System32\drivers\
EB466KUW,iaLPSSi_I2C.sys,C:\Windows\System32\drivers\
EB466KUW,vhdmp.sys,C:\Windows\System32\drivers\
EB466KUW,nsiproxy.sys,C:\Windows\System32\drivers\
EB466KUW,TeeDriverW8x64.sys,C:\Windows\System32\drivers\
EB466KUW,iaStorAVC.sys,C:\Windows\System32\drivers\
EB466KUW,arcsas.sys,C:\Windows\System32\drivers\
EB466KUW,mrxsmb20.sys,C:\Windows\System32\drivers\
EB466KUW,1394ohci.sys,C:\Windows\System32\drivers\
EB466KUW,asyncmac.sys,C:\Windows\System32\drivers\
EB466KUW,ndproxy.sys,C:\Windows\System32\drivers\
EB466KUW,terminpt.sys,C:\Windows\System32\drivers\
EB466KUW,hwpolicy.sys,C:\Windows\System32\drivers\
EB466KUW,pciide.sys,C:\Windows\System32\drivers\
EB466KUW,VmsProxyHNic.sys,C:\Windows\System32\drivers\
EB466KUW,SPUVCbv64.sys,C:\Windows\System32\drivers\
EB466KUW,rasl2tp.sys,C:\Windows\System32\drivers\
EB466KUW,kbdhid.sys,C:\Windows\System32\drivers\
EB466KUW,rasacd.sys,C:\Windows\System32\drivers\
EB466KUW,netvsc.sys,C:\Windows\System32\drivers\
EB466KUW,mlx4_bus.sys,C:\Windows\System32\drivers\
EB466KUW,mslldp.sys,C:\Windows\System32\drivers\
EB466KUW,WindowsTrustedRT.sys,C:\Windows\System32\drivers\
EB466KUW,bam.sys,C:\Windows\System32\drivers\
EB466KUW,CAD.sys,C:\Windows\System32\drivers\
EB466KUW,cdrom.sys,C:\Windows\System32\drivers\
EB466KUW,mrxsmb10.sys,C:\Windows\System32\drivers\
EB466KUW,lltdio.sys,C:\Windows\System32\drivers\
EB466KUW,ramdisk.sys,C:\Windows\System32\drivers\
EB466KUW,iaLPSSi_GPIO.sys,C:\Windows\System32\drivers\
EB466KUW,wcnfs.sys,C:\Windows\System32\drivers\
EB466KUW,UcmCx.sys,C:\Windows\System32\drivers\
EB466KUW,mmcss.sys,C:\Windows\System32\drivers\
EB466KUW,amdxata.sys,C:\Windows\System32\drivers\
EB466KUW,adp80xx.sys,C:\Windows\System32\drivers\
EB466KUW,ufxsynopsys.sys,C:\Windows\System32\drivers\
EB466KUW,Wdf01000.sys,C:\Windows\System32\drivers\
EB466KUW,amdsata.sys,C:\Windows\System32\drivers\
EB466KUW,UcmTcpciCx.sys,C:\Windows\System32\drivers\
EB466KUW,irenum.sys,C:\Windows\System32\drivers\
EB466KUW,evbda.sys,C:\Windows\System32\drivers\
EB466KUW,USBHUB3.SYS,C:\Windows\System32\drivers\
EB466KUW,bthhfenum.sys,C:\Windows\System32\drivers\
EB466KUW,acpitime.sys,C:\Windows\System32\drivers\
EB466KUW,vmbus.sys,C:\Windows\System32\drivers\
EB466KUW,appid.sys,C:\Windows\System32\drivers\
EB466KUW,usbehci.sys,C:\Windows\System32\drivers\
EB466KUW,umpass.sys,C:\Windows\System32\drivers\
EB466KUW,luafv.sys,C:\Windows\System32\drivers\
EB466KUW,BasicDisplay.sys,C:\Windows\System32\drivers\
EB466KUW,afunix.sys,C:\Windows\System32\drivers\
EB466KUW,ibtusb.sys,C:\Windows\System32\drivers\
EB466KUW,nvstor.sys,C:\Windows\System32\drivers\
EB466KUW,VmsProxy.sys,C:\Windows\System32\drivers\
EB466KUW,gpuenergydrv.sys,C:\Windows\System32\drivers\
EB466KUW,hyperkbd.sys,C:\Windows\System32\drivers\
EB466KUW,uaspstor.sys,C:\Windows\System32\drivers\
EB466KUW,ipfltdrv.sys,C:\Windows\System32\drivers\
EB466KUW,tpm.sys,C:\Windows\System32\drivers\
EB466KUW,dptf_cpu.sys,C:\Windows\System32\drivers\
EB466KUW,dam.sys,C:\Windows\System32\drivers\
EB466KUW,rassstp.sys,C:\Windows\System32\drivers\
EB466KUW,ipt.sys,C:\Windows\System32\drivers\
EB466KUW,rfcomm.sys,C:\Windows\System32\drivers\
EB466KUW,ETDSMBus.sys,C:\Windows\System32\drivers\
EB466KUW,hvcrash.sys,C:\Windows\System32\drivers\
EB466KUW,intelppm.sys,C:\Windows\System32\drivers\
EB466KUW,lsi_sss.sys,C:\Windows\System32\drivers\
EB466KUW,EhStorTcgDrv.sys,C:\Windows\System32\drivers\
EB466KUW,wcifs.sys,C:\Windows\System32\drivers\
EB466KUW,storahci.sys,C:\Windows\System32\drivers\
EB466KUW,vmgencounter.sys,C:\Windows\System32\drivers\
EB466KUW,mshidumdf.sys,C:\Windows\System32\drivers\
EB466KUW,Netwtw04.sys,C:\Windows\System32\drivers\
EB466KUW,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
EB466KUW,vwifibus.sys,C:\Windows\System32\drivers\
EB466KUW,cnghwassist.sys,C:\Windows\System32\drivers\
EB466KUW,sdbus.sys,C:\Windows\System32\drivers\
EB466KUW,cldflt.sys,C:\Windows\System32\drivers\
EB466KUW,ibbus.sys,C:\Windows\System32\drivers\
EB466KUW,ksthunk.sys,C:\Windows\System32\drivers\
EB466KUW,CHDRT64.sys,C:\Windows\System32\drivers\
EB466KUW,sisraid4.sys,C:\Windows\System32\drivers\
EB466KUW,srv2.sys,C:\Windows\System32\drivers\
EB466KUW,bcmfn2.sys,C:\Windows\System32\drivers\
EB466KUW,serial.sys,C:\Windows\System32\drivers\
EB466KUW,mrxdav.sys,C:\Windows\System32\drivers\
EB466KUW,HdAudio.sys,C:\Windows\System32\drivers\
EB466KUW,usbohci.sys,C:\Windows\System32\drivers\
EB466KUW,mountmgr.sys,C:\Windows\System32\drivers\
EB466KUW,vhf.sys,C:\Windows\System32\drivers\
EB466KUW,partmgr.sys,C:\Windows\System32\drivers\
EB466KUW,scmbus.sys,C:\Windows\System32\drivers\
EB466KUW,WdNisDrv.sys,C:\Windows\System32\drivers\wd\
EB466KUW,ufx01000.sys,C:\Windows\System32\drivers\
EB466KUW,usbuhci.sys,C:\Windows\System32\drivers\
EB466KUW,nvraid.sys,C:\Windows\System32\drivers\
EB466KUW,fileinfo.sys,C:\Windows\System32\drivers\
EB466KUW,volume.sys,C:\Windows\System32\drivers\
EB466KUW,NetAdapterCx.sys,C:\Windows\System32\drivers\
EB466KUW,rdyboost.sys,C:\Windows\System32\drivers\
EB466KUW,winmad.sys,C:\Windows\System32\drivers\
EB466KUW,wanarp.sys,C:\Windows\System32\drivers\
EB466KUW,ahcache.sys,C:\Windows\System32\drivers\
EB466KUW,dxgkrnl.sys,C:\Windows\System32\drivers\
EB466KUW,lsi_sas.sys,C:\Windows\System32\drivers\
EB466KUW,ndiswan.sys,C:\Windows\System32\drivers\
EB466KUW,mshwnclx.sys,C:\Windows\System32\drivers\
EB466KUW,intelpep.sys,C:\Windows\System32\drivers\
EB466KUW,disk.sys,C:\Windows\System32\drivers\
EB466KUW,sermouse.sys,C:\Windows\System32\drivers\
EB466KUW,WUDFPf.sys,C:\Windows\System32\drivers\
EB466KUW,stexstor.sys,C:\Windows\System32\drivers\
EB466KUW,http.sys,C:\Windows\System32\drivers\
EB466KUW,volmgrx.sys,C:\Windows\System32\drivers\
EB466KUW,mup.sys,C:\Windows\System32\drivers\
EB466KUW,intelide.sys,C:\Windows\System32\drivers\
EB466KUW,acpipagr.sys,C:\Windows\System32\drivers\
EB466KUW,mspclock.sys,C:\Windows\System32\drivers\
EB466KUW,vmswitch.sys,C:\Windows\System32\drivers\
EB466KUW,acpipmi.sys,C:\Windows\System32\drivers\
EB466KUW,dmvsc.sys,C:\Windows\System32\drivers\
EB466KUW,npsvctrig.sys,C:\Windows\System32\drivers\
EB466KUW,cht4vx64.sys,C:\Windows\System32\drivers\
EB466KUW,ksecdd.sys,C:\Windows\System32\drivers\
EB466KUW,pcmcia.sys,C:\Windows\System32\drivers\
EB466KUW,fltMgr.sys,C:\Windows\System32\drivers\
EB466KUW,Ucx01000.sys,C:\Windows\System32\drivers\
EB466KUW,fdc.sys,C:\Windows\System32\drivers\
EB466KUW,acpiex.sys,C:\Windows\System32\drivers\
EB466KUW,netbt.sys,C:\Windows\System32\drivers\
EB466KUW,lsi_sas2i.sys,C:\Windows\System32\drivers\
EB466KUW,ndis.sys,C:\Windows\System32\drivers\
EB466KUW,mrxsmb.sys,C:\Windows\System32\drivers\
EB466KUW,AcpiDev.sys,C:\Windows\System32\drivers\
EB466KUW,percsas3i.sys,C:\Windows\System32\drivers\
EB466KUW,ndistapi.sys,C:\Windows\System32\drivers\
EB466KUW,scfilter.sys,C:\Windows\System32\drivers\
EB466KUW,vmstorfl.sys,C:\Windows\System32\drivers\
EB466KUW,BasicRender.sys,C:\Windows\System32\drivers\
EB466KUW,WdFilter.sys,C:\Windows\System32\drivers\wd\
EB466KUW,hidusb.sys,C:\Windows\System32\drivers\
EB466KUW,Microsoft.Bluetooth.Legacy.LEEnumerator.sys,C:\Windows\System32\drivers\
EB466KUW,afd.sys,C:\Windows\System32\drivers\
EB466KUW,errdev.sys,C:\Windows\System32\drivers\
EB466KUW,CompositeBus.sys,C:\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_bcb89b3386563bd7\
EB466KUW,hdaudbus.sys,C:\Windows\System32\drivers\
EB466KUW,bthpan.sys,C:\Windows\System32\drivers\
EB466KUW,NdisImPlatform.sys,C:\Windows\System32\drivers\
EB466KUW,serenum.sys,C:\Windows\System32\drivers\
EB466KUW,iaLPSS2i_GPIO2.sys,C:\Windows\System32\drivers\
EB466KUW,urschipidea.sys,C:\Windows\System32\drivers\
EB466KUW,raspptp.sys,C:\Windows\System32\drivers\
EB466KUW,raspppoe.sys,C:\Windows\System32\drivers\
EB466KUW,IPMIDrv.sys,C:\Windows\System32\drivers\
EB466KUW,TsUsbFlt.sys,C:\Windows\System32\drivers\
EB466KUW,hidbth.sys,C:\Windows\System32\drivers\
EB466KUW,bttflt.sys,C:\Windows\System32\drivers\
EB466KUW,pcw.sys,C:\Windows\System32\drivers\
EB466KUW,hidi2c.sys,C:\Windows\System32\drivers\
EB466KUW,nvdimm.sys,C:\Windows\System32\drivers\
EB466KUW,i8042prt.sys,C:\Windows\System32\drivers\
EB466KUW,sisraid2.sys,C:\Windows\System32\drivers\
EB466KUW,dfsc.sys,C:\Windows\System32\drivers\
EB466KUW,percsas2i.sys,C:\Windows\System32\drivers\
EB466KUW,vpci.sys,C:\Windows\System32\drivers\
EB466KUW,winusb.sys,C:\Windows\System32\drivers\
EB466KUW,kbdclass.sys,C:\Windows\System32\drivers\
EB466KUW,SpatialGraphFilter.sys,C:\Windows\System32\drivers\
EB466KUW,tcpipreg.sys,C:\Windows\System32\drivers\
EB466KUW,pacer.sys,C:\Windows\System32\drivers\
EB466KUW,storufs.sys,C:\Windows\System32\drivers\
EB466KUW,amdk8.sys,C:\Windows\System32\drivers\
EB466KUW,HyperVideo.sys,C:\Windows\System32\drivers\
EB466KUW,volmgr.sys,C:\Windows\System32\drivers\
EB466KUW,pci.sys,C:\Windows\System32\drivers\
EB466KUW,mssmbios.sys,C:\Windows\System32\drivers\
EB466KUW,agilevpn.sys,C:\Windows\System32\drivers\
EB466KUW,msisadrv.sys,C:\Windows\System32\drivers\
EB466KUW,UfxChipidea.sys,C:\Windows\System32\drivers\
EB466KUW,ndiscap.sys,C:\Windows\System32\drivers\
EB466KUW,isapnp.sys,C:\Windows\System32\drivers\
EB466KUW,mpsdrv.sys,C:\Windows\System32\drivers\
EB466KUW,FsDepends.sys,C:\Windows\System32\drivers\
EB466KUW,mouclass.sys,C:\Windows\System32\drivers\
EB466KUW,rdpvideominiport.sys,C:\Windows\System32\drivers\
EB466KUW,UcmUcsi.sys,C:\Windows\System32\drivers\
EB466KUW,netbios.sys,C:\Windows\System32\drivers\
EB466KUW,qwavedrv.sys,C:\Windows\System32\drivers\
EB466KUW,rspndr.sys,C:\Windows\System32\drivers\
EB466KUW,vmgid.sys,C:\Windows\System32\drivers\
EB466KUW,amdsbs.sys,C:\Windows\System32\drivers\
EB466KUW,sfloppy.sys,C:\Windows\System32\drivers\
EB466KUW,vwififlt.sys,C:\Windows\System32\drivers\
EB466KUW,SDFRd.sys,C:\Windows\System32\drivers\
EB466KUW,WdBoot.sys,C:\Windows\System32\drivers\wd\
EB466KUW,irda.sys,C:\Windows\System32\drivers\
EB466KUW,kdnic.sys,C:\Windows\System32\drivers\
EB466KUW,wfplwfs.sys,C:\Windows\System32\drivers\
EB466KUW,mshidkmdf.sys,C:\Windows\System32\drivers\
EB466KUW,cht4sx64.sys,C:\Windows\System32\drivers\
EB466KUW,acpi.sys,C:\Windows\System32\drivers\
