hostname,modulename,modulepath
EC231RRK,storport.sys,C:\Windows\system32\drivers\
EC231RRK,pvpanic.sys,C:\Windows\system32\drivers\
EC231RRK,partmgr.sys,C:\Windows\System32\drivers\
EC231RRK,srvnet.sys,C:\Windows\System32\DRIVERS\
EC231RRK,NETIO.SYS,C:\Windows\system32\DRIVERS\
EC231RRK,fwpkclnt.sys,C:\Windows\System32\drivers\
EC231RRK,netbt.sys,C:\Windows\System32\DRIVERS\
EC231RRK,ntoskrnl.exe,C:\Windows\system32\
EC231RRK,msisadrv.sys,C:\Windows\system32\drivers\
EC231RRK,blbdrive.sys,C:\Windows\system32\drivers\
EC231RRK,afd.sys,C:\Windows\system32\drivers\
EC231RRK,RDPCDD.sys,C:\Windows\System32\DRIVERS\
EC231RRK,wanarp.sys,C:\Windows\system32\DRIVERS\
EC231RRK,CLFS.SYS,C:\Windows\system32\
EC231RRK,volmgrx.sys,C:\Windows\System32\drivers\
EC231RRK,Msfs.SYS,C:\Windows\System32\Drivers\
EC231RRK,tcpip.sys,C:\Windows\System32\drivers\
EC231RRK,Dxapi.sys,C:\Windows\System32\drivers\
EC231RRK,CI.dll,C:\Windows\system32\
EC231RRK,netkvm.sys,C:\Windows\system32\DRIVERS\
EC231RRK,dfsc.sys,C:\Windows\System32\Drivers\
EC231RRK,TSDDD.dll,C:\Windows\System32\
EC231RRK,hal.dll,C:\Windows\system32\
EC231RRK,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EC231RRK,i8042prt.sys,C:\Windows\system32\drivers\
EC231RRK,ks.sys,C:\Windows\system32\drivers\
EC231RRK,pcw.sys,C:\Windows\System32\drivers\
EC231RRK,hwpolicy.sys,C:\Windows\System32\drivers\
EC231RRK,kbdclass.sys,C:\Windows\system32\drivers\
EC231RRK,discache.sys,C:\Windows\System32\drivers\
EC231RRK,srv2.sys,C:\Windows\System32\DRIVERS\
EC231RRK,serial.sys,C:\Windows\system32\drivers\
EC231RRK,intelppm.sys,C:\Windows\system32\DRIVERS\
EC231RRK,amdxata.sys,C:\Windows\system32\drivers\
EC231RRK,rdprefmp.sys,C:\Windows\system32\drivers\
EC231RRK,kdcom.dll,C:\Windows\system32\
EC231RRK,tunnel.sys,C:\Windows\system32\DRIVERS\
EC231RRK,mpsdrv.sys,C:\Windows\System32\drivers\
EC231RRK,RDPWD.SYS,C:\Windows\System32\Drivers\
EC231RRK,rdpdr.sys,C:\Windows\System32\drivers\
EC231RRK,Fs_Rec.sys,C:\Windows\System32\Drivers\
EC231RRK,mssmbios.sys,C:\Windows\system32\drivers\
EC231RRK,mouclass.sys,C:\Windows\system32\drivers\
EC231RRK,cng.sys,C:\Windows\System32\Drivers\
EC231RRK,mountmgr.sys,C:\Windows\System32\drivers\
EC231RRK,VIDEOPRT.SYS,C:\Windows\System32\drivers\
EC231RRK,vga.sys,C:\Windows\System32\drivers\
EC231RRK,luafv.sys,C:\Windows\system32\drivers\
EC231RRK,NDProxy.SYS,C:\Windows\System32\Drivers\
EC231RRK,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EC231RRK,dump_vioscsi.sys,C:\Windows\System32\Drivers\
EC231RRK,ksecpkg.sys,C:\Windows\System32\Drivers\
EC231RRK,pci.sys,C:\Windows\system32\drivers\
EC231RRK,fltmgr.sys,C:\Windows\system32\drivers\
EC231RRK,disk.sys,C:\Windows\system32\drivers\
EC231RRK,bowser.sys,C:\Windows\system32\DRIVERS\
EC231RRK,TDI.SYS,C:\Windows\system32\DRIVERS\
EC231RRK,rdbss.sys,C:\Windows\system32\DRIVERS\
EC231RRK,mup.sys,C:\Windows\System32\Drivers\
EC231RRK,WDFLDR.SYS,C:\Windows\system32\drivers\
EC231RRK,ACPI.sys,C:\Windows\system32\drivers\
EC231RRK,crashdmp.sys,C:\Windows\System32\Drivers\
EC231RRK,pacer.sys,C:\Windows\system32\DRIVERS\
EC231RRK,PSHED.dll,C:\Windows\system32\
EC231RRK,vioscsi.sys,C:\Windows\system32\drivers\
EC231RRK,rspndr.sys,C:\Windows\system32\DRIVERS\
EC231RRK,rdpbus.sys,C:\Windows\system32\drivers\
EC231RRK,netbios.sys,C:\Windows\system32\DRIVERS\
EC231RRK,raspptp.sys,C:\Windows\system32\DRIVERS\
EC231RRK,wfplwf.sys,C:\Windows\system32\DRIVERS\
EC231RRK,msrpc.sys,C:\Windows\system32\DRIVERS\
EC231RRK,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EC231RRK,tcpipreg.sys,C:\Windows\System32\drivers\
EC231RRK,ksecdd.sys,C:\Windows\System32\Drivers\
EC231RRK,srv.sys,C:\Windows\System32\DRIVERS\
EC231RRK,CompositeBus.sys,C:\Windows\system32\drivers\
EC231RRK,volmgr.sys,C:\Windows\system32\drivers\
EC231RRK,CLASSPNP.SYS,C:\Windows\system32\drivers\
EC231RRK,umbus.sys,C:\Windows\system32\drivers\
EC231RRK,lltdio.sys,C:\Windows\system32\DRIVERS\
EC231RRK,watchdog.sys,C:\Windows\System32\drivers\
EC231RRK,vmstorfl.sys,C:\Windows\system32\drivers\
EC231RRK,rasl2tp.sys,C:\Windows\system32\DRIVERS\
EC231RRK,RDPDD.dll,C:\Windows\System32\
EC231RRK,NDIS.SYS,C:\Windows\system32\DRIVERS\
EC231RRK,WMILIB.SYS,C:\Windows\system32\drivers\
EC231RRK,spldr.sys,C:\Windows\System32\Drivers\
EC231RRK,tdx.sys,C:\Windows\system32\DRIVERS\
EC231RRK,tssecsrv.sys,C:\Windows\System32\DRIVERS\
EC231RRK,serenum.sys,C:\Windows\system32\drivers\
EC231RRK,volsnap.sys,C:\Windows\system32\drivers\
EC231RRK,Wdf01000.sys,C:\Windows\system32\drivers\
EC231RRK,spsys.sys,C:\Windows\system32\drivers\
EC231RRK,nsiproxy.sys,C:\Windows\system32\drivers\
EC231RRK,sacdrv.sys,C:\Windows\system32\DRIVERS\
EC231RRK,HTTP.sys,C:\Windows\system32\drivers\
EC231RRK,swenum.sys,C:\Windows\system32\drivers\
EC231RRK,win32k.sys,C:\Windows\System32\
EC231RRK,termdd.sys,C:\Windows\system32\drivers\
EC231RRK,mcupdate.dll,C:\Windows\system32\mcupdate_Genu
EC231RRK,asyncmac.sys,C:\Windows\system32\DRIVERS\
EC231RRK,Ntfs.sys,C:\Windows\System32\Drivers\
EC231RRK,tdtcp.sys,C:\Windows\system32\drivers\
EC231RRK,ndistapi.sys,C:\Windows\system32\DRIVERS\
EC231RRK,rdpencdd.sys,C:\Windows\system32\drivers\
EC231RRK,Null.SYS,C:\Windows\System32\Drivers\
EC231RRK,ndiswan.sys,C:\Windows\system32\DRIVERS\
EC231RRK,AgileVpn.sys,C:\Windows\system32\DRIVERS\
EC231RRK,dump_storport.sys,C:\Windows\System32\Drivers\
EC231RRK,Npfs.SYS,C:\Windows\System32\Drivers\
EC231RRK,peauth.sys,C:\Windows\system32\drivers\
EC231RRK,vdrvroot.sys,C:\Windows\system32\drivers\
EC231RRK,raspppoe.sys,C:\Windows\system32\DRIVERS\
EC231RRK,dxg.sys,C:\Windows\System32\drivers\
EC231RRK,rassstp.sys,C:\Windows\system32\DRIVERS\
