hostname,modulename,modulepath
EC456TIH,bowser.sys,C:\Windows\system32\DRIVERS\
EC456TIH,vioscsi.sys,C:\Windows\System32\drivers\
EC456TIH,terminpt.sys,C:\Windows\System32\drivers\
EC456TIH,serenum.sys,C:\Windows\System32\drivers\
EC456TIH,peauth.sys,C:\Windows\system32\drivers\
EC456TIH,tcpip.sys,C:\Windows\System32\drivers\
EC456TIH,mountmgr.sys,C:\Windows\System32\drivers\
EC456TIH,Wdf01000.sys,C:\Windows\system32\drivers\
EC456TIH,Null.SYS,C:\Windows\System32\Drivers\
EC456TIH,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EC456TIH,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EC456TIH,nsiproxy.sys,C:\Windows\system32\drivers\
EC456TIH,monitor.sys,C:\Windows\System32\drivers\
EC456TIH,luafv.sys,C:\Windows\system32\drivers\
EC456TIH,WMILIB.SYS,C:\Windows\System32\drivers\
EC456TIH,TDI.SYS,C:\Windows\system32\DRIVERS\
EC456TIH,NTFS.sys,C:\Windows\System32\Drivers\
EC456TIH,srv2.sys,C:\Windows\System32\DRIVERS\
EC456TIH,rdpbus.sys,C:\Windows\System32\drivers\
EC456TIH,CEA.sys,C:\Windows\system32\drivers\
EC456TIH,gpuenergydrv.sys,C:\Windows\System32\drivers\
EC456TIH,rdpdr.sys,C:\Windows\System32\drivers\
EC456TIH,NdisVirtualBus.sys,C:\Windows\System32\drivers\
EC456TIH,afd.sys,C:\Windows\system32\drivers\
EC456TIH,TSDDD.dll,C:\Windows\System32\
EC456TIH,ks.sys,C:\Windows\System32\drivers\
EC456TIH,ntosext.sys,C:\Windows\System32\drivers\
EC456TIH,kdnic.sys,C:\Windows\System32\drivers\
EC456TIH,FLTMGR.SYS,C:\Windows\System32\drivers\
EC456TIH,NETIO.SYS,C:\Windows\system32\DRIVERS\
EC456TIH,vdrvroot.sys,C:\Windows\System32\drivers\
EC456TIH,WindowsTrustedRTProxy.sys,C:\Windows\System32\drivers\
EC456TIH,wcifs.sys,C:\Windows\system32\drivers\
EC456TIH,CLASSPNP.SYS,C:\Windows\System32\drivers\
EC456TIH,umbus.sys,C:\Windows\System32\drivers\
EC456TIH,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
EC456TIH,CI.dll,C:\Windows\system32\
EC456TIH,crashdmp.sys,C:\Windows\System32\Drivers\
EC456TIH,Npfs.SYS,C:\Windows\System32\Drivers\
EC456TIH,BasicRender.sys,C:\Windows\System32\drivers\
EC456TIH,netbt.sys,C:\Windows\System32\DRIVERS\
EC456TIH,dxgkrnl.sys,C:\Windows\System32\drivers\
EC456TIH,storqosflt.sys,C:\Windows\system32\drivers\
EC456TIH,volmgr.sys,C:\Windows\System32\drivers\
EC456TIH,mouclass.sys,C:\Windows\System32\drivers\
EC456TIH,PSHED.dll,C:\Windows\system32\
EC456TIH,rdpvideominiport.sys,C:\Windows\System32\drivers\
EC456TIH,win32kbase.sys,C:\Windows\System32\
EC456TIH,serial.sys,C:\Windows\System32\drivers\
EC456TIH,pvpanic.sys,C:\Windows\System32\drivers\
EC456TIH,clipsp.sys,C:\Windows\System32\drivers\
EC456TIH,intelppm.sys,C:\Windows\System32\drivers\
EC456TIH,HTTP.sys,C:\Windows\system32\drivers\
EC456TIH,BasicDisplay.sys,C:\Windows\System32\drivers\
EC456TIH,ksecdd.sys,C:\Windows\System32\drivers\
EC456TIH,RDPUDD.dll,C:\Windows\System32\
EC456TIH,storport.sys,C:\Windows\System32\drivers\
EC456TIH,intelpep.sys,C:\Windows\System32\drivers\
