hostname,modulename,modulepath
EE827RRK,ksthunk.sys,C:\Windows\system32\drivers\
EE827RRK,blbdrive.sys,C:\Windows\system32\DRIVERS\
EE827RRK,tunnel.sys,C:\Windows\system32\DRIVERS\
EE827RRK,pci.sys,C:\Windows\system32\drivers\
EE827RRK,pacer.sys,C:\Windows\system32\DRIVERS\
EE827RRK,ataport.SYS,C:\Windows\system32\drivers\
EE827RRK,USBD.SYS,C:\Windows\system32\DRIVERS\
EE827RRK,dxg.sys,C:\Windows\System32\drivers\
EE827RRK,HdAudio.sys,C:\Windows\system32\drivers\
EE827RRK,usbohci.sys,C:\Windows\system32\DRIVERS\
EE827RRK,msahci.sys,C:\Windows\system32\drivers\
EE827RRK,fwpkclnt.sys,C:\Windows\System32\drivers\
EE827RRK,msisadrv.sys,C:\Windows\system32\drivers\
EE827RRK,peauth.sys,C:\Windows\system32\drivers\
EE827RRK,afd.sys,C:\Windows\system32\drivers\
EE827RRK,luafv.sys,C:\Windows\system32\drivers\
EE827RRK,rdprefmp.sys,C:\Windows\system32\drivers\
EE827RRK,raspptp.sys,C:\Windows\system32\DRIVERS\
EE827RRK,srv2.sys,C:\Windows\System32\DRIVERS\
EE827RRK,monitor.sys,C:\Windows\system32\DRIVERS\
EE827RRK,hal.dll,C:\Windows\system32\
EE827RRK,Null.SYS,C:\Windows\System32\Drivers\
EE827RRK,rdbss.sys,C:\Windows\system32\DRIVERS\
EE827RRK,rdpbus.sys,C:\Windows\system32\DRIVERS\
EE827RRK,csc.sys,C:\Windows\system32\drivers\
EE827RRK,bowser.sys,C:\Windows\system32\DRIVERS\
EE827RRK,CmBatt.sys,C:\Windows\system32\DRIVERS\
EE827RRK,ksecpkg.sys,C:\Windows\System32\Drivers\
EE827RRK,disk.sys,C:\Windows\system32\drivers\
EE827RRK,mouhid.sys,C:\Windows\system32\DRIVERS\
EE827RRK,mrxsmb.sys,C:\Windows\system32\DRIVERS\
EE827RRK,Wdf01000.sys,C:\Windows\system32\drivers\
EE827RRK,drmk.sys,C:\Windows\system32\drivers\
EE827RRK,VBoxMouse.sys,C:\Windows\system32\DRIVERS\
EE827RRK,E1G6032E.sys,C:\Windows\system32\DRIVERS\
EE827RRK,srvnet.sys,C:\Windows\System32\DRIVERS\
EE827RRK,pcw.sys,C:\Windows\System32\drivers\
EE827RRK,mrxsmb10.sys,C:\Windows\system32\DRIVERS\
EE827RRK,kdcom.dll,C:\Windows\system32\
EE827RRK,ndis.sys,C:\Windows\system32\drivers\
EE827RRK,mrxsmb20.sys,C:\Windows\system32\DRIVERS\
