hostname,modulename,modulepath
EN377CQX,capimg.sys,C:\Windows\System32\drivers\
EN377CQX,BasicRender.sys,C:\Windows\System32\drivers\
EN377CQX,iaLPSS2i_GPIO2.sys,C:\Windows\System32\drivers\
EN377CQX,bowser.sys,C:\Windows\System32\drivers\
EN377CQX,CmBatt.sys,C:\Windows\System32\drivers\
EN377CQX,amdxata.sys,C:\Windows\System32\drivers\
EN377CQX,msisadrv.sys,C:\Windows\System32\drivers\
EN377CQX,ramdisk.sys,C:\Windows\System32\drivers\
EN377CQX,EhStorTcgDrv.sys,C:\Windows\System32\drivers\
EN377CQX,bridge.sys,C:\Windows\System32\drivers\
EN377CQX,intelide.sys,C:\Windows\System32\drivers\
EN377CQX,errdev.sys,C:\Windows\System32\drivers\
EN377CQX,mmcss.sys,C:\Windows\System32\drivers\
EN377CQX,adp80xx.sys,C:\Windows\System32\drivers\
EN377CQX,lsi_sas3i.sys,C:\Windows\System32\drivers\
EN377CQX,ipnat.sys,C:\Windows\System32\drivers\
EN377CQX,raspptp.sys,C:\Windows\System32\drivers\
EN377CQX,WUDFPf.sys,C:\Windows\System32\drivers\
EN377CQX,SDFRd.sys,C:\Windows\System32\drivers\
EN377CQX,lsi_sss.sys,C:\Windows\System32\drivers\
EN377CQX,winverbs.sys,C:\Windows\System32\drivers\
EN377CQX,rasl2tp.sys,C:\Windows\System32\drivers\
EN377CQX,vmstorfl.sys,C:\Windows\System32\drivers\
EN377CQX,circlass.sys,C:\Windows\System32\drivers\
EN377CQX,rdpdr.sys,C:\Windows\System32\drivers\
EN377CQX,usbhub.sys,C:\Windows\System32\drivers\
EN377CQX,netbios.sys,C:\Windows\System32\drivers\
EN377CQX,kbdhid.sys,C:\Windows\System32\drivers\
EN377CQX,iaLPSSi_I2C.sys,C:\Windows\System32\drivers\
EN377CQX,IntcDAud.sys,C:\Windows\System32\drivers\
EN377CQX,mvumis.sys,C:\Windows\System32\drivers\
EN377CQX,BTHUSB.SYS,C:\Windows\System32\drivers\
EN377CQX,acpi.sys,C:\Windows\System32\drivers\
EN377CQX,SerCx2.sys,C:\Windows\System32\drivers\
EN377CQX,mup.sys,C:\Windows\System32\drivers\
EN377CQX,pcmcia.sys,C:\Windows\System32\drivers\
EN377CQX,CAD.sys,C:\Windows\System32\drivers\
EN377CQX,vhf.sys,C:\Windows\System32\drivers\
EN377CQX,nvdimm.sys,C:\Windows\System32\drivers\
EN377CQX,bthenum.sys,C:\Windows\System32\drivers\
