hostname,modulename,modulepath
ES796NGM,iaLPSS2i_GPIO2.sys,C:\Windows\System32\drivers\
ES796NGM,irenum.sys,C:\Windows\System32\drivers\
ES796NGM,sdstor.sys,C:\Windows\System32\drivers\
ES796NGM,srv2.sys,C:\Windows\System32\drivers\
ES796NGM,CmBatt.sys,C:\Windows\System32\drivers\
ES796NGM,stexstor.sys,C:\Windows\System32\drivers\
ES796NGM,percsas3i.sys,C:\Windows\System32\drivers\
ES796NGM,msgpioclx.sys,C:\Windows\System32\drivers\
ES796NGM,winnat.sys,C:\Windows\System32\drivers\
ES796NGM,ws2ifsl.sys,C:\Windows\System32\drivers\
ES796NGM,lsi_sas2i.sys,C:\Windows\System32\drivers\
ES796NGM,hidinterrupt.sys,C:\Windows\System32\drivers\
ES796NGM,afd.sys,C:\Windows\System32\drivers\
ES796NGM,rasl2tp.sys,C:\Windows\System32\drivers\
ES796NGM,applockerfltr.sys,C:\Windows\System32\drivers\
ES796NGM,msisadrv.sys,C:\Windows\System32\drivers\
ES796NGM,cnghwassist.sys,C:\Windows\System32\drivers\
ES796NGM,bttflt.sys,C:\Windows\System32\drivers\
ES796NGM,pciide.sys,C:\Windows\System32\drivers\
ES796NGM,cldflt.sys,C:\Windows\System32\drivers\
ES796NGM,TeeDriverW8x64.sys,C:\Windows\System32\drivers\
ES796NGM,intelppm.sys,C:\Windows\System32\drivers\
ES796NGM,pdc.sys,C:\Windows\System32\drivers\
ES796NGM,Netwtw04.sys,C:\Windows\System32\drivers\
ES796NGM,capimg.sys,C:\Windows\System32\drivers\
ES796NGM,iaLPSS2i_I2C.sys,C:\Windows\System32\drivers\
ES796NGM,CHDRT64.sys,C:\Windows\System32\drivers\
ES796NGM,disk.sys,C:\Windows\System32\drivers\
ES796NGM,msiscsi.sys,C:\Windows\System32\drivers\
ES796NGM,dxgkrnl.sys,C:\Windows\System32\drivers\
ES796NGM,rspndr.sys,C:\Windows\System32\drivers\
ES796NGM,iaLPSSi_GPIO.sys,C:\Windows\System32\drivers\
ES796NGM,nvstor.sys,C:\Windows\System32\drivers\
ES796NGM,hwpolicy.sys,C:\Windows\System32\drivers\
ES796NGM,amdk8.sys,C:\Windows\System32\drivers\
ES796NGM,acpiex.sys,C:\Windows\System32\drivers\
ES796NGM,megasas.sys,C:\Windows\System32\drivers\
ES796NGM,flpydisk.sys,C:\Windows\System32\drivers\
ES796NGM,wcifs.sys,C:\Windows\System32\drivers\
ES796NGM,rasacd.sys,C:\Windows\System32\drivers\
ES796NGM,rdpvideominiport.sys,C:\Windows\System32\drivers\
ES796NGM,iaStorAVC.sys,C:\Windows\System32\drivers\
ES796NGM,volmgr.sys,C:\Windows\System32\drivers\
ES796NGM,ndisuio.sys,C:\Windows\System32\drivers\
ES796NGM,intelide.sys,C:\Windows\System32\drivers\
ES796NGM,mrxsmb.sys,C:\Windows\System32\drivers\
ES796NGM,Ndu.sys,C:\Windows\System32\drivers\
ES796NGM,netbt.sys,C:\Windows\System32\drivers\
ES796NGM,SerCx2.sys,C:\Windows\System32\drivers\
ES796NGM,atapi.sys,C:\Windows\System32\drivers\
ES796NGM,stornvme.sys,C:\Windows\System32\drivers\
ES796NGM,serial.sys,C:\Windows\System32\drivers\
ES796NGM,mskssrv.sys,C:\Windows\System32\drivers\
ES796NGM,sisraid4.sys,C:\Windows\System32\drivers\
ES796NGM,usbser.sys,C:\Windows\System32\drivers\
ES796NGM,mrxsmb10.sys,C:\Windows\System32\drivers\
ES796NGM,i8042prt.sys,C:\Windows\System32\drivers\
ES796NGM,Synth3dVsc.sys,C:\Windows\System32\drivers\
ES796NGM,wimmount.sys,C:\Windows\System32\drivers\
ES796NGM,MegaSas2i.sys,C:\Windows\System32\drivers\
ES796NGM,Microsoft.Bluetooth.Legacy.LEEnumerator.sys,C:\Windows\System32\drivers\
ES796NGM,urssynopsys.sys,C:\Windows\System32\drivers\
ES796NGM,nsiproxy.sys,C:\Windows\System32\drivers\
ES796NGM,bxvbda.sys,C:\Windows\System32\drivers\
ES796NGM,USBHUB3.SYS,C:\Windows\System32\drivers\
ES796NGM,usbcir.sys,C:\Windows\System32\drivers\
ES796NGM,intelpep.sys,C:\Windows\System32\drivers\
ES796NGM,amdppm.sys,C:\Windows\System32\drivers\
ES796NGM,mssmbios.sys,C:\Windows\System32\drivers\
ES796NGM,vpci.sys,C:\Windows\System32\drivers\
ES796NGM,vmgid.sys,C:\Windows\System32\drivers\
ES796NGM,spaceport.sys,C:\Windows\System32\drivers\
ES796NGM,ipnat.sys,C:\Windows\System32\drivers\
ES796NGM,iorate.sys,C:\Windows\System32\drivers\
ES796NGM,cht4sx64.sys,C:\Windows\System32\drivers\
ES796NGM,lsi_sas.sys,C:\Windows\System32\drivers\
ES796NGM,lxss.sys,C:\Windows\System32\drivers\
ES796NGM,cht4vx64.sys,C:\Windows\System32\drivers\
ES796NGM,irda.sys,C:\Windows\System32\drivers\
ES796NGM,rassstp.sys,C:\Windows\System32\drivers\
ES796NGM,ndfltr.sys,C:\Windows\System32\drivers\
ES796NGM,UcmUcsi.sys,C:\Windows\System32\drivers\
ES796NGM,bcmfn2.sys,C:\Windows\System32\drivers\
ES796NGM,ipt.sys,C:\Windows\System32\drivers\
ES796NGM,usbccgp.sys,C:\Windows\System32\drivers\
ES796NGM,vwifibus.sys,C:\Windows\System32\drivers\
ES796NGM,mshidkmdf.sys,C:\Windows\System32\drivers\
ES796NGM,http.sys,C:\Windows\System32\drivers\
ES796NGM,npsvctrig.sys,C:\Windows\System32\drivers\
ES796NGM,ksecpkg.sys,C:\Windows\System32\drivers\
ES796NGM,usbhub.sys,C:\Windows\System32\drivers\
ES796NGM,dfsc.sys,C:\Windows\System32\drivers\
ES796NGM,mup.sys,C:\Windows\System32\drivers\
ES796NGM,dptf_cpu.sys,C:\Windows\System32\drivers\
ES796NGM,1394ohci.sys,C:\Windows\System32\drivers\
ES796NGM,genericusbfn.sys,C:\Windows\System32\drivers\
ES796NGM,adp80xx.sys,C:\Windows\System32\drivers\
ES796NGM,scmbus.sys,C:\Windows\System32\drivers\
ES796NGM,iai2c.sys,C:\Windows\System32\drivers\
ES796NGM,EhStorTcgDrv.sys,C:\Windows\System32\drivers\
ES796NGM,mrxsmb20.sys,C:\Windows\System32\drivers\
ES796NGM,mausbip.sys,C:\Windows\System32\drivers\
ES796NGM,srvnet.sys,C:\Windows\System32\drivers\
ES796NGM,ndiscap.sys,C:\Windows\System32\drivers\
ES796NGM,Ucx01000.sys,C:\Windows\System32\drivers\
ES796NGM,volmgrx.sys,C:\Windows\System32\drivers\
ES796NGM,hvservice.sys,C:\Windows\System32\drivers\
ES796NGM,UfxChipidea.sys,C:\Windows\System32\drivers\
ES796NGM,swenum.sys,C:\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_ea7b19c04e7a8136\
ES796NGM,mouclass.sys,C:\Windows\System32\drivers\
ES796NGM,WdFilter.sys,C:\Windows\System32\drivers\wd\
ES796NGM,ksthunk.sys,C:\Windows\System32\drivers\
ES796NGM,WdmCompanionFilter.sys,C:\Windows\System32\drivers\
ES796NGM,winverbs.sys,C:\Windows\System32\drivers\
ES796NGM,storahci.sys,C:\Windows\System32\drivers\
ES796NGM,AcpiDev.sys,C:\Windows\System32\drivers\
ES796NGM,uaspstor.sys,C:\Windows\System32\drivers\
ES796NGM,UcmTcpciCx.sys,C:\Windows\System32\drivers\
ES796NGM,rdpdr.sys,C:\Windows\System32\drivers\
ES796NGM,SPUVCbv64.sys,C:\Windows\System32\drivers\
ES796NGM,IndirectKmd.sys,C:\Windows\System32\drivers\
ES796NGM,bthmodem.sys,C:\Windows\System32\drivers\
ES796NGM,MTConfig.sys,C:\Windows\System32\drivers\
ES796NGM,modem.sys,C:\Windows\System32\drivers\
ES796NGM,vmstorfl.sys,C:\Windows\System32\drivers\
ES796NGM,dmvsc.sys,C:\Windows\System32\drivers\
ES796NGM,usbvideo.sys,C:\Windows\System32\drivers\
ES796NGM,mvumis.sys,C:\Windows\System32\drivers\
ES796NGM,buttonconverter.sys,C:\Windows\System32\drivers\
ES796NGM,monitor.sys,C:\Windows\System32\drivers\
ES796NGM,serenum.sys,C:\Windows\System32\drivers\
ES796NGM,qwavedrv.sys,C:\Windows\System32\drivers\
ES796NGM,asyncmac.sys,C:\Windows\System32\drivers\
ES796NGM,bowser.sys,C:\Windows\System32\drivers\
ES796NGM,lsi_sss.sys,C:\Windows\System32\drivers\
ES796NGM,svchost.exe,C:\Windows\System32\
ES796NGM,tdx.sys,C:\Windows\System32\drivers\
ES796NGM,bindflt.sys,C:\Windows\System32\drivers\
ES796NGM,lltdio.sys,C:\Windows\System32\drivers\
ES796NGM,VerifierExt.sys,C:\Windows\System32\drivers\
ES796NGM,raspppoe.sys,C:\Windows\System32\drivers\
ES796NGM,VmsProxyHNic.sys,C:\Windows\System32\drivers\
ES796NGM,rdpbus.sys,C:\Windows\System32\drivers\
ES796NGM,RtsUer.sys,C:\Windows\System32\drivers\
ES796NGM,umbus.sys,C:\Windows\System32\drivers\
ES796NGM,IPMIDrv.sys,C:\Windows\System32\drivers\
ES796NGM,uefi.sys,C:\Windows\System32\drivers\
ES796NGM,urschipidea.sys,C:\Windows\System32\drivers\
ES796NGM,bthpan.sys,C:\Windows\System32\drivers\
ES796NGM,mountmgr.sys,C:\Windows\System32\drivers\
ES796NGM,iagpio.sys,C:\Windows\System32\drivers\
ES796NGM,appid.sys,C:\Windows\System32\drivers\
ES796NGM,amdxata.sys,C:\Windows\System32\drivers\
ES796NGM,iaLPSSi_I2C.sys,C:\Windows\System32\drivers\
ES796NGM,storqosflt.sys,C:\Windows\System32\drivers\
ES796NGM,BasicRender.sys,C:\Windows\System32\drivers\
ES796NGM,WUDFPf.sys,C:\Windows\System32\drivers\
ES796NGM,luafv.sys,C:\Windows\System32\drivers\
ES796NGM,clfs.sys,C:\Windows\System32\drivers\
ES796NGM,FsDepends.sys,C:\Windows\System32\drivers\
